"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","31.0","20.0","242.1","1.7","0.6","10.8","57.3","0.3","0.2","22.7"
"Patrick Mahomes","KC","36.9","25.1","327.8","2.3","0.7","2.9","11.5","0.1","0.1","22.2"
"Matt Ryan","ATL","40.1","28.6","328.2","2.1","0.8","2.0","7.4","0.1","0.2","20.6"
"Deshaun Watson","HOU","33.5","21.5","270.3","1.8","0.8","5.3","30.9","0.2","0.3","20.3"
"Dak Prescott","DAL","32.8","22.9","277.7","1.7","0.5","3.2","16.8","0.2","0.2","19.7"
"Russell Wilson","SEA","30.2","21.2","252.4","1.9","0.4","4.9","26.4","0.1","0.2","19.5"
"Tom Brady","NE","36.6","25.4","299.6","2.0","0.5","1.3","2.3","0.1","0.1","19.5"
"Kyler Murray","ARI","37.5","23.8","259.6","1.8","1.1","6.6","34.6","0.2","0.3","19.4"
"Aaron Rodgers","GB","34.3","21.7","266.9","1.8","0.3","3.1","14.7","0.0","0.2","18.5"
"Jared Goff","LAR","37.3","23.3","281.1","2.0","0.9","2.3","5.5","0.1","0.2","18.2"
"Jameis Winston","TB","35.5","23.1","290.2","1.7","1.1","2.7","11.9","0.1","0.2","17.7"
"Gardner Minshew","JAC","32.6","21.9","248.2","1.5","0.7","4.1","17.5","0.1","0.2","16.5"
"Carson Wentz","PHI","35.0","23.9","244.2","1.6","0.6","3.0","10.8","0.1","0.2","16.2"
"Philip Rivers","LAC","35.3","23.3","259.9","1.7","0.6","1.0","1.9","0.0","0.1","16.0"
"Kirk Cousins","MIN","31.1","21.8","237.6","1.6","0.5","2.1","7.0","0.1","0.2","15.7"
"Kyle Allen","CAR","36.3","22.8","262.4","1.7","0.9","1.5","4.7","0.0","0.3","15.4"
"Andy Dalton","CIN","37.1","22.5","258.5","1.5","1.0","1.5","5.2","0.1","0.2","14.8"
"Baker Mayfield","CLE","33.3","22.4","259.6","1.4","1.0","1.6","5.1","0.0","0.2","14.3"
"Jimmy Garoppolo","SF","31.9","20.3","249.3","1.5","0.9","2.2","4.1","0.0","0.2","14.1"
"Marcus Mariota","TEN","28.5","18.6","212.1","1.0","0.5","4.3","24.0","0.1","0.2","14.1"
"Matthew Stafford","DET","33.2","20.2","243.7","1.3","0.9","2.2","9.1","0.0","0.2","14.0"
"Case Keenum","WAS","32.9","22.7","242.8","1.3","0.8","1.6","5.7","0.1","0.1","14.0"
"Teddy Bridgewater","NO","31.9","21.4","218.7","1.1","0.8","2.3","8.8","0.0","0.1","12.5"
"Sam Darnold","NYJ","34.3","21.6","219.9","1.2","1.1","2.3","8.0","0.1","0.2","12.3"
"Daniel Jones","NYG","34.2","20.2","222.5","0.9","1.2","4.1","20.3","0.1","0.2","12.0"
"Joe Flacco","DEN","34.8","23.0","228.1","1.1","0.9","1.2","2.9","0.0","0.1","11.9"
"Devlin Hodges","PIT","32.3","21.1","226.4","1.0","1.0","2.2","7.9","0.0","0.1","11.8"
"Josh Rosen","MIA","31.7","19.6","212.9","1.2","1.1","1.9","9.5","0.0","0.2","11.6"
"Colt McCoy","WAS","11.1","6.6","77.4","0.3","0.4","0.9","2.8","0.0","0.0","3.7"
"Taysom Hill","NO","6.5","3.9","40.4","0.1","0.2","1.8","6.8","0.0","0.1","2.3"
"Jeff Driskel","DET","1.4","0.8","9.6","0.1","0.0","0.4","2.7","0.0","0.0","1.1"
"Blake Bortles","LAR","3.6","2.0","19.0","0.1","0.2","0.7","3.6","0.0","0.1","1.0"
"Matt Moore","KC","1.5","1.0","12.8","0.1","0.0","0.2","0.3","0.0","0.0","0.9"
"Tyrod Taylor","LAC","1.4","0.9","10.8","0.1","0.0","0.2","0.8","0.0","0.0","0.9"
"Ryan Tannehill","TEN","4.9","3.0","31.6","0.1","0.3","0.5","1.2","0.0","0.1","0.9"
"Jarrett Stidham","NE","5.9","3.2","28.6","0.1","0.2","0.6","0.9","0.0","0.1","0.9"
"Robert Griffin","BAL","4.5","2.5","24.9","0.1","0.2","0.6","2.1","0.0","0.1","0.9"
"Ryan Fitzpatrick","MIA","3.5","1.9","22.6","0.1","0.3","0.5","1.7","0.0","0.0","0.9"
"Josh McCown","PHI","1.4","0.9","9.0","0.1","0.0","0.3","0.9","0.0","0.0","0.9"
"Dwayne Haskins","WAS","6.0","3.3","29.6","0.1","0.3","0.6","1.0","0.0","0.1","0.8"
"Ryan Griffin","TB","1.0","0.7","8.3","0.1","0.0","0.1","0.2","0.0","0.0","0.8"
"Tim Boyle","GB","1.1","0.7","8.2","0.1","0.0","0.1","0.2","0.0","0.0","0.7"
"Brett Hundley","ARI","8.3","3.9","22.9","0.1","0.5","1.1","3.4","0.0","0.1","0.7"
"Geno Smith","SEA","7.3","4.2","38.5","0.0","0.4","0.6","0.5","0.0","0.1","0.7"
"AJ McCarron","HOU","3.2","2.0","17.2","0.0","0.0","0.1","0.1","0.0","0.0","0.6"
"Nick Mullens","SF","2.4","1.4","13.4","0.1","0.1","0.5","1.2","0.0","0.0","0.5"
"Ryan Finley","CIN","3.3","1.8","17.0","0.1","0.2","0.3","0.6","0.0","0.0","0.5"
"Garrett Gilbert","CLE","3.7","2.2","21.5","0.0","0.2","0.3","0.3","0.0","0.1","0.5"
"Eli Manning","NYG","6.1","3.4","33.4","0.0","0.3","0.4","1.0","0.0","0.2","0.4"
"Paxton Lynch","PIT","6.1","3.2","31.0","0.0","0.5","0.8","2.4","0.0","0.1","0.4"
"Joshua Dobbs","JAC","3.7","2.2","19.7","0.0","0.2","0.4","0.8","0.0","0.1","0.4"
"Matt Schaub","ATL","0.8","0.6","4.8","0.1","0.0","0.1","0.1","0.0","0.0","0.4"
"Cooper Rush","DAL","1.1","0.7","7.1","0.0","0.0","0.2","0.7","0.0","0.0","0.4"
"Sean Mannion","MIN","4.1","2.2","19.2","0.0","0.2","0.5","0.6","0.0","0.1","0.3"
"Will Grier","CAR","0.6","0.3","3.0","0.0","0.3","1.5","2.6","0.0","0.1","-0.3"
""
""
