,Player,Salary
0,A.J. Green,6500
1,Sammy Watkins,6200
2,Todd Gurley,6200
3,DeSean Jackson,5700
4,Drew Brees,5600
5,Luke Falk,4600
6,Josh Dobbs,4400
7,Nick Foles,4300
8,Kenny Stills,4200
9,DeVante Parker,4200
10,Vernon Davis,4100
11,Brandon Allen,4100
12,David Fales,4100
13,Trace McSorley,4000
14,Jake Dolegala,4000
15,Alex McGough,4000
16,Jordan Reed,4000
17,Nate Sudfeld,4000
18,C.J. Beathard,4000
19,Jakeem Grant,3700
20,Tre'Quan Smith,3500
21,Derrius Guice,3500
22,Chris Herndon,3500
23,James O'Shaughnessy,3400
24,Darren Sproles,3400
25,Corey Clement,3200
26,JJ Arcega-Whiteside,3200
27,Stanley Morgan,3100
28,David Njoku,3100
29,Davion Davis,3100
30,Jaleel Scott,3000
31,Kareem Hunt,3000
32,John Ursua,3000
33,Gary Jennings,3000
34,KhaDarel Hodge,3000
35,Devine Ozigbo,3000
36,Roc Thomas,3000
37,C.J. Board,3000
38,C.J. Ham,3000
39,Irv Smith,3000
40,Olamide Zaccheaus,3000
41,Kyle Juszczyk,3000
42,Nsimba Webster,3000
43,Josh Oliver,2800
44,Clark Harris,2500
45,Tyler Ott,2500
46,Rico Gathers,2500
47,Matt Orzech,2500
48,James Winchester,2500
49,Garrison Sanborn,2500
50,Johnny Mundt,2500
51,Beau Brinkley,2500
