,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
207,Patrick Mahomes,Alvin Kamara,Nick Chubb,Michael Thomas,Courtland Sutton,Marvin Jones,Travis Kelce,Sammy Watkins,Denver Broncos,154.276,49500
208,Cam Newton,Alvin Kamara,Kareem Hunt,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Kenny Golladay,Denver Broncos,154.256,49700
209,Cam Newton,Alvin Kamara,Nick Chubb,DeAndre Hopkins,Tre'Quan Smith,Marvin Jones,David Njoku,Travis Kelce,Denver Broncos,154.25599999999997,49700
210,Jared Goff,Alvin Kamara,Adrian Peterson,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Kareem Hunt,Denver Broncos,154.20400000000004,49600
211,Cam Newton,Alvin Kamara,Nick Chubb,Michael Thomas,Tre'Quan Smith,Sammy Watkins,David Njoku,Kareem Hunt,Denver Broncos,154.196,49700
212,Jared Goff,Alvin Kamara,Nick Chubb,Adam Thielen,Tre'Quan Smith,Marvin Jones,David Njoku,Sammy Watkins,Chicago Bears,154.18400000000003,49800
213,Jared Goff,Alvin Kamara,Nick Chubb,Adam Thielen,Tre'Quan Smith,Kenny Golladay,David Njoku,Travis Kelce,Denver Broncos,154.17400000000004,49900
214,Jared Goff,Alvin Kamara,Nick Chubb,Michael Thomas,Courtland Sutton,Sammy Watkins,David Njoku,Travis Kelce,Chicago Bears,154.174,49500
215,Cam Newton,Adrian Peterson,Todd Gurley,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Marvin Jones,Denver Broncos,154.13600000000002,50000
216,Jared Goff,Alvin Kamara,Nick Chubb,DeAndre Hopkins,Tre'Quan Smith,Kenny Golladay,David Njoku,Marvin Jones,Chicago Bears,154.13400000000001,49800
217,Patrick Mahomes,Alvin Kamara,Nick Chubb,Adam Thielen,Tre'Quan Smith,Kenny Golladay,David Njoku,Marvin Jones,Denver Broncos,154.106,49700
218,Patrick Mahomes,Alvin Kamara,Kareem Hunt,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Marvin Jones,Denver Broncos,154.06600000000003,50000
219,Jared Goff,Alvin Kamara,Adrian Peterson,Michael Thomas,Tre'Quan Smith,Sammy Watkins,David Njoku,Travis Kelce,Denver Broncos,154.06400000000002,49500
220,Jared Goff,Alvin Kamara,Adrian Peterson,Michael Thomas,Kenny Golladay,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,154.05400000000003,49500
221,Jared Goff,Alvin Kamara,Adrian Peterson,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,Travis Kelce,Sammy Watkins,Denver Broncos,154.04399999999998,49500
