,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
207,Darren Waller,TE,5700,15.37,370.8523096942095,2,3,7.1,1.31,802.8169014084508
208,Vance McDonald,TE,3500,9.23,379.1982665222101,8,4,1.1,38.66,3181.818181818181
209,Greg Olsen,TE,4100,10.8,379.6296296296296,4,5,9.4,3.63,436.1702127659574
210,Jared Cook,TE,4500,11.7,384.6153846153846,3,6,21.9,0.64,205.47945205479454
211,Zach Ertz,TE,6000,15.56,385.60411311053986,1,7,27.1,6.75,221.40221402214019
212,Ryan Griffin,TE,4200,9.85,426.39593908629433,5,8,10.3,2.89,407.7669902912621
213,Dallas Goedert,TE,3700,8.56,432.24299065420564,10,9,9.2,44.34,402.1739130434783
214,Dawson Knox,TE,3000,6.5500000000000025,458.0152671755725,14,10,3.1,0.25,967.741935483871
215,Jacob Hollister,TE,4300,9.29,462.86329386437035,7,11,4.2,2.79,1023.8095238095236
216,Noah Fant,TE,3900,8.360000000000001,466.50717703349284,11,12,4.4,1.43,886.3636363636364
217,Cameron Brate,TE,3600,7.6400000000000015,471.2041884816753,12,13,0.0,1.33,9999.0
218,Ben Braunecker,TE,2700,5.670000000000001,476.19047619047615,19,14,2.9,0.04,931.0344827586208
219,Tyler Eifert,TE,3100,6.460000000000001,479.876160990712,15,15,1.7,0.39,1823.5294117647054
220,T.J. Hockenson,TE,3400,6.6,515.1515151515151,13,16,0.0,0.21,9999.0
221,O.J. Howard,TE,3300,6.09,541.8719211822662,18,17,2.0,0.32,1650.0
222,Luke Stocker,TE,3100,5.529999999999999,560.5786618444847,20,18,0.0,0.07,9999.0
223,Foster Moreau,TE,2800,4.859999999999999,576.1316872427984,24,19,1.3,0.07,2153.846153846154
224,Ricky Seals-Jones,TE,3000,5.1800000000000015,579.1505791505791,21,20,0.0,0.08,9999.0
225,Jonnu Smith,TE,3600,6.19,581.5831987075928,17,21,0.4,0.6,9999.0
226,Jeremy Sprinkle,TE,2900,4.98,582.3293172690762,23,22,1.4,0.1,2071.428571428572
227,C.J. Uzomah,TE,2500,4.25,588.2352941176471,27,23,0.0,0.01,9999.0
228,Delanie Walker,TE,3800,6.290000000000001,604.1335453100157,16,24,0.0,0.01,9999.0
229,Blake Jarwin,TE,2900,4.59,631.8082788671023,25,25,4.7,0.12,617.0212765957448
230,Tyler Kroft,TE,2500,3.8,657.8947368421052,28,26,2.4,0.0,1041.6666666666667
231,Jaeden Graham,TE,3300,4.99,661.3226452905811,22,27,6.3,0.29,523.8095238095239
232,Ben Koyack,TE,2500,3.44,726.7441860465117,32,28,0.0,0.0,9999.0
233,Nick Vannett,TE,2500,3.3800000000000003,739.644970414201,33,29,0.0,0.01,9999.0
234,Demetrius Harris,TE,3200,4.3100000000000005,742.4593967517401,26,30,4.0,0.04,800.0
235,Matt LaCosse,TE,2600,3.45,753.623188405797,31,31,1.5,0.02,1733.333333333333
236,Anthony Firkser,TE,2800,3.68,760.8695652173913,29,32,0.0,0.02,9999.0
237,Josh Hill,TE,2700,3.49,773.6389684813753,30,33,2.2,0.04,1227.2727272727273
238,Hale Hentges,TE,2500,3.0800000000000005,811.6883116883115,35,34,0.0,0.0,9999.0
239,Kaden Smith,TE,2500,3.0400000000000005,822.3684210526312,36,35,12.7,0.8,196.85039370078738
240,Nick O'Leary,TE,2700,3.22,838.5093167701863,34,36,7.6,0.01,355.2631578947369
241,Troy Fumagalli,TE,2500,2.82,886.5248226950356,37,37,0.0,0.02,9999.0
242,Logan Thomas,TE,2500,2.78,899.2805755395682,38,38,0.0,0.0,9999.0
243,Ryan Izzo,TE,2500,2.72,919.1176470588234,39,39,0.0,0.0,9999.0
244,Scott Simonson,TE,2600,2.62,992.3664122137404,40,40,2.0,0.21,1300.0
245,Stephen Carlson,TE,2500,2.24,1116.0714285714284,41,41,1.8,0.0,1388.888888888889
246,J.P. Holtz,TE,2500,2.22,1126.1261261261259,42,42,0.0,0.0,9999.0
247,Daniel Brown,TE,2500,2.0700000000000003,1207.7294685990335,43,43,0.0,0.0,9999.0
248,Derek Carrier,TE,2500,1.96,1275.5102040816328,44,44,0.0,0.0,9999.0
249,Luke Willson,TE,2500,1.9,1315.7894736842104,45,45,0.0,0.0,9999.0
250,Jeff Heuerman,TE,2500,1.81,1381.2154696132595,47,46,0.0,0.0,9999.0
251,Jesse James,TE,2600,1.83,1420.7650273224044,46,47,0.0,0.0,9999.0
252,Clive Walford,TE,2500,1.71,1461.9883040935672,48,48,0.0,0.0,9999.0
253,Tanner Hudson,TE,2500,1.46,1712.3287671232874,49,49,0.0,0.0,9999.0
254,Zach Gentry,TE,2500,1.4,1785.7142857142856,50,50,0.0,0.0,9999.0
255,Durham Smythe,TE,2500,1.34,1865.6716417910445,51,51,0.0,0.0,9999.0
256,Ian Thomas,TE,2500,1.23,2032.520325203252,52,52,0.0,0.0,9999.0
257,Pharaoh Brown,TE,2500,1.23,2032.520325203252,53,53,0.0,0.0,9999.0
258,Andrew Beck,TE,2500,1.05,2380.952380952381,54,54,0.0,0.0,9999.0
259,Trevon Wesco,TE,2500,1.04,2403.846153846154,55,55,0.0,0.0,9999.0
260,Lee Smith,TE,2500,1.03,2427.184466019417,56,56,0.0,0.0,9999.0
261,Tommy Sweeney,TE,2500,1.02,2450.980392156863,57,57,0.0,0.0,9999.0
262,MyCole Pruitt,TE,2500,1.01,2475.247524752476,58,58,0.0,0.0,9999.0
194,Jack Doyle,TE,3300,11.06,298.372513562387,8,1,19.3,26.72,170.9844559585492
195,Travis Kelce,TE,7200,19.25,374.0259740259741,1,2,14.0,3.0,514.2857142857143
196,Greg Olsen,TE,4400,11.64,378.00687285223364,7,3,5.2,0.78,846.1538461538461
197,George Kittle,TE,6100,15.84,385.1010101010101,3,4,3.4,0.93,1794.1176470588236
198,Mike Gesicki,TE,3600,9.07,396.91289966923927,11,5,18.9,0.19,190.47619047619045
199,Zach Ertz,TE,6700,16.85,397.6261127596439,2,6,5.4,0.29,1240.7407407407404
200,Darren Waller,TE,5500,13.65,402.9304029304029,5,7,20.0,2.11,275.0
201,Hunter Henry,TE,5800,14.170000000000002,409.31545518701483,4,8,3.0,1.04,1933.333333333333
202,Mark Andrews,TE,5700,13.26,429.86425339366514,6,9,14.0,0.24,407.1428571428572
203,Ryan Griffin,TE,4300,9.87,435.6636271529888,9,10,8.0,1.17,537.5
204,Dallas Goedert,TE,4100,9.4,436.1702127659574,10,11,12.6,1.06,325.39682539682536
205,Tyler Eifert,TE,2800,6.19,452.3424878836834,16,12,2.2,0.24,1272.7272727272725
206,Noah Fant,TE,3700,7.960000000000001,464.8241206030152,12,13,1.5,0.19,2466.6666666666665
207,Jonnu Smith,TE,3300,6.91,477.56874095513746,15,14,2.0,0.24,1650.0
208,Vance McDonald,TE,3400,7.08,480.225988700565,14,15,5.1,0.1,666.6666666666667
209,Cameron Brate,TE,3100,6.130000000000001,505.7096247960848,17,16,1.5,0.05,2066.6666666666665
210,Jimmy Graham,TE,3800,7.24,524.8618784530387,13,17,2.6,0.16,1461.5384615384617
211,Tyler Higbee,TE,2500,4.550000000000002,549.4505494505494,21,18,26.7,76.21,93.63295880149813
212,Nick Boyle,TE,2700,4.84,557.8512396694215,19,19,1.4,0.16,1928.571428571429
213,O.J. Howard,TE,3000,5.19,578.0346820809249,18,20,11.1,0.01,270.27027027027026
214,Foster Moreau,TE,2500,4.18,598.0861244019139,22,21,2.5,0.01,1000.0
215,C.J. Uzomah,TE,2500,4.01,623.4413965087283,25,22,0.0,0.0,9999.0
216,Hayden Hurst,TE,2500,3.82,654.4502617801047,26,23,5.1,0.01,490.1960784313726
217,Jeremy Sprinkle,TE,2700,4.1,658.5365853658537,23,24,5.6,0.01,482.1428571428572
218,Mo Alie-Cox,TE,2500,3.73,670.2412868632707,27,25,0.0,0.0,9999.0
219,Nick O'Leary,TE,3200,4.67,685.2248394004282,20,26,1.6,0.08,2000.0
220,Anthony Firkser,TE,2500,3.64,686.8131868131867,29,27,0.0,0.0,9999.0
221,Charles Clay,TE,2600,3.69,704.6070460704608,28,28,4.9,0.01,530.6122448979592
222,Maxx Williams,TE,2600,3.47,749.2795389048991,31,29,0.0,0.01,9999.0
223,Kaden Smith,TE,2900,3.61,803.3240997229918,30,30,13.0,0.97,223.0769230769231
224,Demetrius Harris,TE,2900,3.45,840.5797101449275,32,31,3.3,0.01,878.7878787878789
225,Clive Walford,TE,2500,2.97,841.7508417508417,34,32,0.0,0.0,9999.0
226,Ricky Seals-Jones,TE,2600,3.02,860.9271523178807,33,33,0.0,0.02,9999.0
227,David Njoku,TE,3500,4.01,872.8179551122197,24,34,0.0,0.01,9999.0
228,Marcedes Lewis,TE,2500,2.7,925.9259259259261,35,35,0.0,0.0,9999.0
229,Ben Koyack,TE,2500,2.62,954.1984732824428,36,36,0.0,0.0,9999.0
230,Deon Yelder,TE,2500,2.33,1072.9613733905578,37,37,0.0,0.01,9999.0
231,Ian Thomas,TE,2500,2.26,1106.1946902654865,38,38,0.0,0.0,9999.0
232,Hale Hentges,TE,2500,2.05,1219.5121951219514,40,39,0.0,0.0,9999.0
233,Durham Smythe,TE,2500,1.91,1308.9005235602094,41,40,0.0,0.0,9999.0
234,Jace Sternberger,TE,2500,1.9,1315.7894736842104,42,41,0.0,0.0,9999.0
235,Jeff Heuerman,TE,2500,1.87,1336.898395721925,43,42,0.0,0.0,9999.0
236,MyCole Pruitt,TE,2500,1.83,1366.120218579235,45,43,0.0,0.0,9999.0
237,Nick Vannett,TE,2500,1.79,1396.6480446927374,46,44,0.0,0.0,9999.0
238,Derek Carrier,TE,2500,1.77,1412.4293785310733,47,45,0.0,0.0,9999.0
239,Scott Simonson,TE,2800,1.86,1505.3763440860214,44,46,0.0,0.0,9999.0
240,Robert Tonyan,TE,2500,1.55,1612.9032258064515,48,47,0.0,0.0,9999.0
241,Daniel Brown,TE,2500,1.52,1644.7368421052633,49,48,0.0,0.0,9999.0
242,Ross Dwelley,TE,3500,2.1100000000000003,1658.767772511848,39,49,0.0,0.01,9999.0
243,Andrew Beck,TE,2500,1.48,1689.1891891891892,50,50,0.0,0.0,9999.0
244,Virgil Green,TE,2500,1.4,1785.7142857142858,51,51,0.0,0.0,9999.0
245,Zach Gentry,TE,2500,1.31,1908.3969465648847,52,52,0.0,0.0,9999.0
246,Jordan Leggett,TE,2500,1.16,2155.172413793104,53,53,0.0,0.0,9999.0
247,Troy Fumagalli,TE,2500,1.16,2155.172413793104,54,54,0.0,0.0,9999.0
248,Tanner Hudson,TE,2500,1.1,2272.7272727272725,55,55,0.0,0.0,9999.0
249,Blake Bell,TE,2600,1.04,2500.0,56,56,0.0,0.01,9999.0
250,Stephen Carlson,TE,2500,1.0,2500.0,57,57,0.0,0.0,9999.0
219,Jack Doyle,TE,4600,13.56,339.23303834808263,4,1,4.7,18.5,978.7234042553192
220,Darren Waller,TE,5800,16.07,360.9209707529558,2,2,12.3,8.84,471.5447154471544
221,Jared Cook,TE,4200,11.42,367.7758318739054,8,3,20.4,0.56,205.8823529411765
222,George Kittle,TE,5900,15.95,369.9059561128528,3,4,18.7,3.13,315.5080213903743
223,Hunter Henry,TE,5100,13.53,376.940133037694,5,5,11.9,1.31,428.57142857142856
224,Ian Thomas,TE,2500,6.58,379.9392097264438,18,6,16.7,63.24,149.70059880239518
225,Travis Kelce,TE,6200,16.119999999999994,384.6153846153847,1,7,19.0,1.21,326.3157894736842
226,Mike Gesicki,TE,4000,10.34,386.84719535783364,9,8,1.6,1.68,2500.0
227,Noah Fant,TE,3400,8.69,391.25431530494825,12,9,24.3,0.21,139.91769547325103
228,Ryan Griffin,TE,4100,9.57,428.4221525600837,11,10,1.8,0.23,2277.777777777778
229,Mark Andrews,TE,5600,12.75,439.2156862745097,6,11,2.4,0.19,2333.333333333333
230,Kyle Rudolph,TE,4400,9.760000000000002,450.81967213114746,10,12,3.1,0.81,1419.354838709677
231,Jonnu Smith,TE,3100,6.6999999999999975,462.68656716417917,15,13,11.9,0.15,260.5042016806723
232,Dawson Knox,TE,2900,6.19,468.4975767366722,20,14,4.7,0.02,617.0212765957448
233,Darren Fells,TE,3200,6.8000000000000025,470.5882352941177,14,15,2.2,0.27,1454.5454545454545
234,O.J. Howard,TE,3200,6.68,479.0419161676648,16,16,11.3,0.16,283.18584070796464
235,Austin Hooper,TE,6000,12.22,490.9983633387889,7,17,5.2,0.09,1153.8461538461538
236,Tyler Eifert,TE,2800,5.35,523.3644859813085,21,18,8.9,0.06,314.6067415730337
237,Jeremy Sprinkle,TE,2800,5.300000000000002,528.3018867924527,22,19,0.0,0.02,9999.0
238,Jimmy Graham,TE,3600,6.65,541.3533834586466,17,20,7.9,0.12,455.69620253164567
239,Vance McDonald,TE,4300,7.88,545.6852791878173,13,21,1.3,0.71,3307.6923076923076
240,Hayden Hurst,TE,2500,4.54,550.6607929515418,25,22,16.3,0.06,153.3742331288344
241,David Njoku,TE,3500,6.3400000000000025,552.0504731861198,19,23,1.4,0.44,2500.0
242,Cameron Brate,TE,2900,5.050000000000002,574.2574257425741,23,24,13.0,0.02,223.0769230769231
