,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
81,David Johnson,RB,4200,7.17,585.7740585774059,38,41,13.3,0.02,315.7894736842105
82,Adrian Peterson,RB,4000,6.7700000000000005,590.8419497784342,40,42,13.6,0.05,294.11764705882354
83,Raheem Mostert,RB,4600,7.49,614.1522029372496,35,43,24.9,0.06,184.7389558232932
84,Jalen Richard,RB,3900,6.3000000000000025,619.0476190476187,42,44,6.6,0.02,590.909090909091
85,Dare Ogunbowale,RB,3100,4.9700000000000015,623.7424547283701,52,45,8.8,0.01,352.27272727272725
86,J.D. McKissic,RB,3600,5.76,625.0,47,46,5.8,0.01,620.6896551724138
87,Latavius Murray,RB,4500,7.0,642.8571428571429,39,47,11.4,0.01,394.7368421052631
88,Frank Gore,RB,3800,5.8500000000000005,649.5726495726495,45,48,0.6,0.01,9999.0
89,Bilal Powell,RB,3500,5.040000000000001,694.4444444444442,51,49,10.8,82.88,324.07407407407413
90,Brian Hill,RB,4000,5.62,711.7437722419928,48,50,0.0,0.0,9999.0
91,Ty Johnson,RB,3200,4.34,737.3271889400924,55,51,2.0,0.01,1600.0
92,Matt Breida,RB,4600,6.23,738.3627608346709,43,52,6.8,0.02,676.4705882352941
93,Dion Lewis,RB,3500,4.53,772.6269315673288,54,53,4.1,0.01,853.6585365853659
94,Giovani Bernard,RB,4000,5.15,776.6990291262135,50,54,0.0,0.0,9999.0
95,Gus Edwards,RB,4300,4.9300000000000015,872.2109533468557,53,55,2.0,0.06,2150.0
96,Jordan Wilkins,RB,3700,3.86,958.5492227979275,57,56,0.0,0.0,9999.0
97,Ty Montgomery,RB,4000,4.080000000000001,980.3921568627447,56,57,9.1,0.07,439.5604395604396
98,Brandon Bolden,RB,3100,2.85,1087.719298245614,60,58,0.0,0.0,9999.0
99,Kyle Juszczyk,RB,3000,2.74,1094.890510948905,61,59,5.2,0.01,576.9230769230769
100,Kerrith Whyte,RB,3000,2.37,1265.8227848101264,63,60,0.0,0.0,9999.0
101,Ryquell Armstead,RB,4300,3.08,1396.103896103896,59,61,0.0,0.0,9999.0
102,Jonathan Williams,RB,4700,3.1700000000000004,1482.6498422712937,58,62,0.0,0.0,9999.0
103,Justice Hill,RB,3000,1.98,1515.1515151515152,64,63,0.8,0.01,9999.0
104,Chase Edmonds,RB,3900,2.5700000000000003,1517.5097276264594,62,64,0.0,0.0,9999.0
105,Kenjon Barner,RB,3000,1.73,1734.1040462427743,65,65,0.0,0.0,9999.0
106,Ameer Abdullah,RB,3000,1.7200000000000002,1744.1860465116274,66,66,0.0,0.0,9999.0
107,Jeff Wilson,RB,3000,1.66,1807.2289156626505,67,67,0.0,0.0,9999.0
