,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
118,Mohamed Sanu,WR,5100,12.090000000000002,421.8362282878412,25,14,3.2,21.31,1593.75
119,Courtland Sutton,WR,6000,14.21,422.237860661506,12,15,21.82,2.58,274.9770852428964
120,Demaryius Thomas,WR,3900,9.22,422.99349240780913,34,16,8.4,0.45,464.28571428571433
121,D.J. Chark,WR,6200,14.4,430.5555555555555,10,17,33.4,1.12,185.6287425149701
122,Dede Westbrook,WR,4500,10.38,433.5260115606936,27,18,7.2,8.44,625.0
123,Auden Tate,WR,4200,9.550000000000002,439.79057591623024,31,19,9.6,3.65,437.5
124,DeAndre Hopkins,WR,8100,18.28,443.1072210065645,5,20,15.0,3.34,540.0
125,Chris Godwin,WR,7300,16.47,443.23011536126296,8,21,13.7,2.52,532.8467153284672
126,Russell Gage,WR,3300,7.439999999999999,443.5483870967742,44,22,5.2,14.84,634.6153846153846
127,John Brown,WR,6400,14.3,447.5524475524475,11,23,37.7,1.76,169.76127320954902
128,Kenny Stills,WR,4600,10.25,448.780487804878,28,24,6.7,3.16,686.5671641791046
129,Randall Cobb,WR,4300,9.54,450.7337526205452,32,25,24.5,3.39,175.51020408163262
130,Julian Edelman,WR,7600,16.79,452.6503871351995,6,26,14.9,3.98,510.0671140939597
131,Michael Gallup,WR,6500,14.170000000000002,458.7155963302752,13,27,26.8,1.61,242.53731343283584
132,Zach Pascal,WR,5800,12.43,466.6130329847144,22,28,3.7,0.41,1567.5675675675675
133,Trey Quinn,WR,3300,7.0500000000000025,468.0851063829786,47,29,4.9,0.12,673.469387755102
134,Nelson Agholor,WR,4000,8.52,469.4835680751173,37,30,8.0,0.36,500.0
135,Jamison Crowder,WR,5700,12.12,470.29702970297035,24,31,18.6,2.61,306.45161290322585
136,Stefon Diggs,WR,6900,14.6,472.6027397260273,9,32,26.1,1.0,264.367816091954
137,Marquise Brown,WR,5600,11.72,477.8156996587032,26,33,4.3,3.02,1302.325581395349
138,Hunter Renfrow,WR,4000,8.280000000000001,483.0917874396135,38,34,11.6,1.26,344.82758620689657
139,Kendrick Bourne,WR,3000,6.15,487.8048780487805,49,35,13.1,0.54,229.0076335877863
140,Alex Erickson,WR,3900,7.92,492.4242424242424,40,36,1.0,0.2,9999.0
141,Cole Beasley,WR,4700,9.52,493.6974789915968,33,37,7.8,1.21,602.5641025641024
142,Larry Fitzgerald,WR,5000,9.92,504.0322580645162,30,38,13.7,0.2,364.9635036496352
143,Kenny Golladay,WR,6700,13.16,509.1185410334346,19,39,4.4,0.43,1522.7272727272727
144,Jakeem Grant,WR,3300,6.3900000000000015,516.4319248826291,48,40,18.9,0.01,174.60317460317458
145,Ted Ginn,WR,4100,7.8000000000000025,525.6410256410256,42,41,9.4,0.4,436.1702127659574
146,Allen Hurns,WR,3200,6.029999999999999,530.6799336650083,50,42,8.3,3.76,385.5421686746988
147,Danny Amendola,WR,4200,7.8900000000000015,532.319391634981,41,43,8.7,0.37,482.7586206896552
