,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Dolphins,3.5,2.6,2.9,1.6,0.9,1.2,1.0,0.4,0.7,1.4,1.0,1.2,0.3,0.1,0.2,0.1,0.0,0.0,20.3,14.4,16.8,288.0,354.3,325.2,10.8,7.0,8.9,13,DST
1,Seahawks,3.7,2.6,3.2,1.6,0.9,1.1,1.1,0.6,0.7,1.4,0.9,1.2,0.2,0.1,0.2,0.1,0.0,0.0,19.8,17.3,18.4,300.0,350.7,324.6,11.5,7.2,8.9,13,DST
2,Steelers,4.2,2.9,3.6,1.4,0.5,0.9,1.1,0.4,0.7,1.5,0.8,1.1,0.3,0.0,0.1,0.1,0.0,0.1,24.0,16.5,18.1,267.0,330.0,300.8,10.9,6.3,8.8,13,DST
3,Ravens,3.2,2.5,2.8,1.2,0.8,1.0,1.3,0.6,0.8,1.7,1.1,1.3,0.3,0.1,0.2,0.1,0.0,0.0,21.0,14.6,17.8,317.0,339.0,325.8,9.2,7.3,8.6,13,DST
4,Packers,3.5,2.5,3.1,1.4,0.8,1.1,0.8,0.5,0.7,1.1,0.7,0.9,0.2,0.0,0.1,0.1,0.0,0.0,21.0,18.5,19.8,320.8,344.2,336.3,8.9,7.0,8.4,13,DST
5,Chiefs,3.2,1.2,2.1,1.9,0.8,1.3,0.8,0.5,0.6,1.0,0.8,0.9,0.3,0.2,0.2,0.1,0.0,0.0,20.0,16.6,18.5,312.0,367.5,337.8,9.0,6.4,8.1,13,DST
6,Raiders,2.6,1.9,2.4,1.4,0.9,1.1,0.6,0.4,0.5,1.1,0.6,0.8,0.2,0.0,0.2,0.1,0.0,0.0,19.5,17.8,18.8,281.0,304.1,291.4,8.2,6.0,7.5,13,DST
7,Bears,3.2,2.4,2.6,1.0,0.6,0.8,0.7,0.5,0.6,1.0,0.7,0.8,0.2,0.1,0.1,0.1,0.0,0.0,20.8,18.1,19.5,310.0,344.4,332.6,7.7,6.4,7.3,13,DST
8,Saints,3.5,2.7,2.9,1.5,0.7,1.0,0.7,0.4,0.5,0.9,0.7,0.8,0.2,0.0,0.1,0.0,0.0,0.0,22.6,18.8,21.4,316.0,367.5,345.6,9.1,6.2,6.8,13,DST
9,Bills,3.0,2.1,2.5,1.5,0.8,1.1,1.0,0.5,0.6,1.4,0.8,1.1,0.2,0.0,0.2,0.0,0.0,0.0,24.0,19.0,22.7,319.0,380.3,358.8,8.7,6.3,6.8,13,DST
10,Vikings,3.4,0.2,2.2,1.1,0.0,0.8,0.8,0.4,0.5,1.1,0.6,0.8,0.2,0.0,0.1,0.0,0.0,0.0,20.5,16.7,19.1,311.0,351.4,336.0,7.6,2.9,6.6,13,DST
11,Colts,3.1,2.5,2.7,1.1,0.7,0.8,0.7,0.5,0.6,1.1,0.8,0.9,0.2,0.0,0.1,0.1,0.0,0.1,23.8,20.8,22.4,338.4,348.0,344.5,7.5,6.1,6.6,13,DST
12,Giants,3.4,2.5,2.9,1.0,0.5,0.8,0.7,0.4,0.6,1.0,0.7,0.8,0.2,0.0,0.1,0.1,0.0,0.0,29.5,23.0,27.2,373.5,384.0,378.6,7.6,5.4,6.6,13,DST
