,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,RB,Dalvin Cook (15862553),Dalvin Cook,15862553.0,RB/FLEX,9500.0,JAX@MIN 12/06/2020 01:00PM ET,MIN,26.95
1,RB,Derrick Henry (15862555),Derrick Henry,15862555.0,RB/FLEX,9200.0,CLE@TEN 12/06/2020 01:00PM ET,TEN,22.0
2,WR,Davante Adams (15862805),Davante Adams,15862805.0,WR/FLEX,9000.0,PHI@GB 12/06/2020 04:25PM ET,GB,26.87
3,WR,DK Metcalf (15862807),DK Metcalf,15862807.0,WR/FLEX,8200.0,NYG@SEA 12/06/2020 04:05PM ET,SEA,20.9
4,WR,Keenan Allen (15862809),Keenan Allen,15862809.0,WR/FLEX,8100.0,NE@LAC 12/06/2020 04:25PM ET,LAC,20.59
5,WR,DeAndre Hopkins (15862811),DeAndre Hopkins,15862811.0,WR/FLEX,7800.0,LAR@ARI 12/06/2020 04:05PM ET,ARI,19.24
6,RB,Nick Chubb (15862557),Nick Chubb,15862557.0,RB/FLEX,7700.0,CLE@TEN 12/06/2020 01:00PM ET,CLE,18.97
7,QB,Russell Wilson (15862487),Russell Wilson,15862487.0,QB,7700.0,NYG@SEA 12/06/2020 04:05PM ET,SEA,27.32
8,WR,A.J. Brown (15862813),AJ Brown,15862813.0,WR/FLEX,7600.0,CLE@TEN 12/06/2020 01:00PM ET,TEN,18.2
9,QB,Kyler Murray (15862488),Kyler Murray,15862488.0,QB,7600.0,LAR@ARI 12/06/2020 04:05PM ET,ARI,28.32
10,QB,Deshaun Watson (15862489),Deshaun Watson,15862489.0,QB,7500.0,IND@HOU 12/06/2020 01:00PM ET,HOU,25.48
11,RB,Josh Jacobs (15862559),Josh Jacobs,15862559.0,RB/FLEX,7400.0,LV@NYJ 12/06/2020 01:00PM ET,LV,16.43
12,WR,Tyler Lockett (15862815),Tyler Lockett,15862815.0,WR/FLEX,7400.0,NYG@SEA 12/06/2020 04:05PM ET,SEA,18.28
13,RB,James Robinson (15862561),James Robinson,15862561.0,RB/FLEX,7300.0,JAX@MIN 12/06/2020 01:00PM ET,JAC,19.46
14,WR,Adam Thielen (15862817),Adam Thielen,15862817.0,WR/FLEX,7300.0,JAX@MIN 12/06/2020 01:00PM ET,MIN,19.21
15,RB,Aaron Jones (15862563),Aaron Jones,15862563.0,RB/FLEX,7200.0,PHI@GB 12/06/2020 04:25PM ET,GB,19.17
16,WR,Calvin Ridley (15862819),Calvin Ridley,15862819.0,WR/FLEX,7200.0,NO@ATL 12/06/2020 01:00PM ET,ATL,19.11
17,WR,Will Fuller V (15862821),Will Fuller,15862821.0,WR/FLEX,7100.0,IND@HOU 12/06/2020 01:00PM ET,HOU,18.54
18,RB,Austin Ekeler (15862565),Austin Ekeler,15862565.0,RB/FLEX,7100.0,NE@LAC 12/06/2020 04:25PM ET,LAC,17.22
19,RB,Alvin Kamara (15862567),Alvin Kamara,15862567.0,RB/FLEX,7000.0,NO@ATL 12/06/2020 01:00PM ET,NO,24.19
20,WR,Michael Thomas (15862823),Michael Thomas,15862823.0,WR/FLEX,7000.0,NO@ATL 12/06/2020 01:00PM ET,NO,10.2
21,RB,Alexander Mattison (15862569),Alexander Mattison,15862569.0,RB/FLEX,6900.0,JAX@MIN 12/06/2020 01:00PM ET,MIN,5.26
22,WR,Justin Jefferson (15862825),Justin Jefferson,15862825.0,WR/FLEX,6900.0,JAX@MIN 12/06/2020 01:00PM ET,MIN,17.62
23,QB,Justin Herbert (15862490),Justin Herbert,15862490.0,QB,6900.0,NE@LAC 12/06/2020 04:25PM ET,LAC,26.11
24,QB,Aaron Rodgers (15862491),Aaron Rodgers,15862491.0,QB,6800.0,PHI@GB 12/06/2020 04:25PM ET,GB,25.49
25,RB,Antonio Gibson (15862571),Antonio Gibson,15862571.0,RB/FLEX,6800.0,Postponed,WAS,17.26
26,WR,Terry McLaurin (15862827),Terry McLaurin,15862827.0,WR/FLEX,6800.0,Postponed,WAS,17.66
27,RB,Miles Sanders (15862573),Miles Sanders,15862573.0,RB/FLEX,6700.0,PHI@GB 12/06/2020 04:25PM ET,PHI,14.29
28,WR,Allen Robinson II (15862829),Allen Robinson,15862829.0,WR/FLEX,6700.0,DET@CHI 12/06/2020 01:00PM ET,CHI,17.26
29,WR,Julio Jones (15862831),Julio Jones,15862831.0,WR/FLEX,6600.0,NO@ATL 12/06/2020 01:00PM ET,ATL,17.46
30,RB,D'Andre Swift (15862575),D'Andre Swift,15862575.0,RB/FLEX,6500.0,DET@CHI 12/06/2020 01:00PM ET,DET,14.51
31,QB,Ben Roethlisberger (15862492),Ben Roethlisberger,15862492.0,QB,6500.0,Postponed,PIT,19.84
32,WR,Diontae Johnson (15862833),Diontae Johnson,15862833.0,WR/FLEX,6500.0,Postponed,PIT,14.56
33,QB,Kirk Cousins (15862493),Kirk Cousins,15862493.0,QB,6400.0,JAX@MIN 12/06/2020 01:00PM ET,MIN,19.4
34,WR,DeVante Parker (15862835),DeVante Parker,15862835.0,WR/FLEX,6400.0,CIN@MIA 12/06/2020 01:00PM ET,MIA,13.29
35,QB,Taysom Hill (15862494),Taysom Hill,15862494.0,QB,6300.0,NO@ATL 12/06/2020 01:00PM ET,NO,8.11
36,WR,Chase Claypool (15862837),Chase Claypool,15862837.0,WR/FLEX,6300.0,Postponed,PIT,15.48
37,RB,Chris Carson (15862577),Chris Carson,15862577.0,RB/FLEX,6300.0,NYG@SEA 12/06/2020 04:05PM ET,SEA,16.99
38,QB,Ryan Tannehill (15862495),Ryan Tannehill,15862495.0,QB,6200.0,CLE@TEN 12/06/2020 01:00PM ET,TEN,20.86
39,WR,Jarvis Landry (15862839),Jarvis Landry,15862839.0,WR/FLEX,6200.0,CLE@TEN 12/06/2020 01:00PM ET,CLE,11.21
40,RB,James Conner (15862579),James Conner,15862579.0,RB/FLEX,6200.0,Postponed,PIT,14.3
41,RB,Jamaal Williams (15862581),Jamaal Williams,15862581.0,RB/FLEX,6100.0,PHI@GB 12/06/2020 04:25PM ET,GB,11.11
42,TE,Darren Waller (15863135),Darren Waller,15863135.0,TE/FLEX,6100.0,LV@NYJ 12/06/2020 01:00PM ET,LV,13.66
43,QB,Drew Brees (15862496),Drew Brees,15862496.0,QB,6100.0,NO@ATL 12/06/2020 01:00PM ET,NO,19.22
44,WR,Cooper Kupp (15862841),Cooper Kupp,15862841.0,WR/FLEX,6100.0,LAR@ARI 12/06/2020 04:05PM ET,LAR,15.06
45,RB,Boston Scott (15862585),Boston Scott,15862585.0,RB/FLEX,6000.0,PHI@GB 12/06/2020 04:25PM ET,PHI,7.16
46,WR,Kenny Golladay (15862843),Kenny Golladay,15862843.0,WR/FLEX,6000.0,DET@CHI 12/06/2020 01:00PM ET,DET,14.36
47,QB,Ryan Fitzpatrick (15862497),Ryan Fitzpatrick,15862497.0,QB,6000.0,CIN@MIA 12/06/2020 01:00PM ET,MIA,19.93
48,RB,Joe Mixon (15862583),Joe Mixon,15862583.0,RB/FLEX,6000.0,CIN@MIA 12/06/2020 01:00PM ET,CIN,17.27
49,QB,Philip Rivers (15862499),Philip Rivers,15862499.0,QB,5900.0,IND@HOU 12/06/2020 01:00PM ET,IND,16.62
50,RB,Latavius Murray (15862589),Latavius Murray,15862589.0,RB/FLEX,5900.0,NO@ATL 12/06/2020 01:00PM ET,NO,10.03
51,QB,Tua Tagovailoa (15862498),Tua Tagovailoa,15862498.0,QB,5900.0,CIN@MIA 12/06/2020 01:00PM ET,MIA,10.1
52,RB,Myles Gaskin (15862587),Myles Gaskin,15862587.0,RB/FLEX,5900.0,CIN@MIA 12/06/2020 01:00PM ET,MIA,14.21
53,WR,Robert Woods (15862845),Robert Woods,15862845.0,WR/FLEX,5900.0,LAR@ARI 12/06/2020 04:05PM ET,LAR,17.04
54,RB,Duke Johnson (15862591),Duke Johnson,15862591.0,RB/FLEX,5800.0,IND@HOU 12/06/2020 01:00PM ET,HOU,7.59
55,QB,Derek Carr (15862501),Derek Carr,15862501.0,QB,5800.0,LV@NYJ 12/06/2020 01:00PM ET,LV,17.11
56,WR,JuJu Smith-Schuster (15862847),JuJu Smith-Schuster,15862847.0,WR/FLEX,5800.0,Postponed,PIT,14.66
57,QB,Jared Goff (15862502),Jared Goff,15862502.0,QB,5800.0,LAR@ARI 12/06/2020 04:05PM ET,LAR,18.67
58,QB,Cam Newton (15862500),Cam Newton,15862500.0,QB,5800.0,NE@LAC 12/06/2020 04:25PM ET,NE,18.87
59,RB,Jonathan Taylor (15862593),Jonathan Taylor,15862593.0,RB/FLEX,5700.0,IND@HOU 12/06/2020 01:00PM ET,IND,12.65
60,QB,Jameis Winston (15862503),Jameis Winston,15862503.0,QB,5700.0,NO@ATL 12/06/2020 01:00PM ET,NO,1.25
61,QB,Matthew Stafford (15862504),Matthew Stafford,15862504.0,QB,5700.0,DET@CHI 12/06/2020 01:00PM ET,DET,17.87
62,WR,Marvin Jones Jr. (15862849),Marvin Jones,15862849.0,WR/FLEX,5700.0,DET@CHI 12/06/2020 01:00PM ET,DET,11.21
63,RB,Kenyan Drake (15862595),Kenyan Drake,15862595.0,RB/FLEX,5700.0,LAR@ARI 12/06/2020 04:05PM ET,ARI,14.23
64,WR,Brandin Cooks (15862851),Brandin Cooks,15862851.0,WR/FLEX,5600.0,IND@HOU 12/06/2020 01:00PM ET,HOU,13.17
65,QB,Matt Ryan (15862506),Matt Ryan,15862506.0,QB,5600.0,NO@ATL 12/06/2020 01:00PM ET,ATL,19.08
66,QB,Gardner Minshew II (15862505),Gardner Minshew,15862505.0,QB,5600.0,JAX@MIN 12/06/2020 01:00PM ET,JAC,21.2
67,RB,Wayne Gallman Jr. (15862597),Wayne Gallman,15862597.0,RB/FLEX,5600.0,NYG@SEA 12/06/2020 04:05PM ET,NYG,10.68
68,RB,Devontae Booker (15862601),Devontae Booker,15862601.0,RB/FLEX,5500.0,LV@NYJ 12/06/2020 01:00PM ET,LV,6.8
69,RB,David Montgomery (15862599),David Montgomery,15862599.0,RB/FLEX,5500.0,DET@CHI 12/06/2020 01:00PM ET,CHI,13.97
