,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Travis Kelce,KC,6.8,6.0,6.3,88.7,74.5,79.2,1.0,0.5,0.7,0.0,0.1,0.1,13.8,10.8,11.8,13,TE
1,Darren Waller,LV,7.4,6.0,6.4,80.4,60.7,68.3,1.0,0.4,0.6,0.0,0.1,0.1,13.5,8.9,10.0,13,TE
2,Hunter Henry,LAC,5.0,3.8,4.4,56.1,43.6,50.4,1.0,0.3,0.5,0.0,0.1,0.0,11.6,6.4,7.7,13,TE
3,TJ Hockenson,DET,6.0,4.1,4.4,64.0,46.3,50.0,1.0,0.2,0.4,0.0,0.0,0.0,12.4,5.8,7.6,13,TE
4,Dallas Goedert,PHI,4.6,3.2,3.9,50.0,35.3,43.4,1.0,0.3,0.4,0.0,0.1,0.0,11.0,5.1,6.9,13,TE
5,Robert Tonyan,GB,4.6,2.8,3.3,57.4,31.8,39.2,1.0,0.1,0.4,0.0,0.0,0.0,10.4,4.8,6.6,13,TE
6,Evan Engram,NYG,5.3,3.6,4.5,62.0,44.2,51.6,0.3,0.0,0.2,0.0,0.1,0.0,6.6,6.0,6.1,13,TE
7,Eric Ebron,PIT,5.2,3.4,4.0,58.7,37.7,42.8,0.4,0.0,0.2,0.0,0.1,0.0,6.4,4.5,5.7,13,TE
8,Noah Fant,DEN,4.9,3.3,4.0,55.3,38.2,46.3,0.3,0.0,0.2,0.0,0.1,0.0,6.7,4.6,5.6,13,TE
9,Hayden Hurst,ATL,4.4,3.2,3.9,51.2,34.7,43.5,0.3,0.0,0.2,0.0,0.0,0.0,6.6,4.3,5.5,13,TE
10,Mike Gesicki,MIA,4.6,2.8,3.3,53.9,34.4,41.2,0.4,0.0,0.2,0.0,0.1,0.0,6.5,4.0,5.5,13,TE
11,Austin Hooper,CLE,4.8,3.0,3.8,54.0,34.1,41.0,0.4,0.0,0.2,0.0,0.0,0.0,6.9,3.6,5.3,13,TE
12,Jordan Reed,SF,5.2,2.9,3.9,51.4,25.8,39.8,0.3,0.0,0.2,0.0,0.1,0.0,7.1,4.2,5.2,13,TE
13,Kyle Rudolph,MIN,5.0,2.4,3.4,49.6,24.0,37.0,0.4,0.0,0.2,0.0,0.1,0.0,6.3,3.1,5.0,13,TE
14,Mark Andrews,BAL,4.3,1.7,2.9,46.0,22.4,34.9,0.5,0.0,0.2,0.0,0.0,0.0,6.3,3.8,4.7,13,TE
15,Jordan Akins,HOU,4.0,2.4,3.2,45.9,28.4,36.7,0.3,0.0,0.2,0.0,0.0,0.0,5.4,4.0,4.6,13,TE
16,Anthony Firkser,TEN,4.0,2.6,3.1,41.9,29.9,34.8,0.3,0.0,0.2,0.0,0.0,0.0,5.0,4.1,4.6,13,TE
17,Trey Burton,IND,4.8,2.5,3.2,46.0,26.8,33.3,0.4,0.0,0.2,0.0,0.0,0.0,6.2,3.5,4.6,13,TE
18,Dalton Schultz,DAL,4.9,3.0,3.8,48.6,32.3,36.8,0.3,0.0,0.1,0.0,0.1,0.0,5.2,3.3,4.5,13,TE
19,Zach Ertz,PHI,4.4,2.6,3.5,47.0,25.9,36.0,0.2,0.0,0.1,0.0,0.0,0.0,6.0,3.5,4.4,13,TE
20,Jimmy Graham,CHI,3.5,2.0,2.9,40.0,25.0,32.2,0.3,0.0,0.2,0.0,0.0,0.0,5.4,2.5,4.3,13,TE
21,Tyler Higbee,LAR,3.1,2.0,2.7,38.0,23.0,30.7,0.3,0.0,0.2,0.0,0.0,0.0,5.2,2.3,4.1,13,TE
22,Logan Thomas,WAS,4.7,2.5,3.3,43.3,24.4,32.6,0.3,0.0,0.1,0.0,0.0,0.0,4.4,2.6,4.1,13,TE
23,Tyler Eifert,JAC,3.4,2.0,2.7,38.2,21.6,27.9,0.2,0.0,0.1,0.0,0.0,0.0,4.2,2.7,3.6,13,TE
24,Jared Cook,NO,3.0,1.3,2.0,35.0,17.7,27.7,0.3,0.0,0.1,0.0,0.0,0.0,4.3,2.5,3.5,13,TE
25,Gerald Everett,LAR,3.5,1.0,2.5,39.1,14.0,27.6,0.2,0.0,0.1,0.0,0.1,0.0,4.3,1.4,3.3,13,TE
26,Jacob Hollister,SEA,3.4,2.0,2.6,29.9,19.8,24.8,0.2,0.0,0.1,0.0,0.0,0.0,3.8,2.6,3.2,13,TE
27,Mo Alie-Cox,IND,2.2,1.0,1.7,35.0,12.0,23.6,0.2,0.0,0.1,0.0,0.1,0.0,4.6,1.2,3.0,13,TE
28,Harrison Bryant,CLE,2.4,1.4,1.9,28.0,15.3,20.4,0.3,0.0,0.2,0.0,0.2,0.0,4.6,1.8,2.9,13,TE
29,Darren Fells,HOU,2.3,0.8,1.6,30.1,8.3,19.1,0.3,0.0,0.1,0.0,0.0,0.0,4.8,1.3,2.8,13,TE
30,Drew Sample,CIN,3.3,1.8,2.5,30.2,18.5,24.0,0.1,0.0,0.1,0.0,0.1,0.0,3.7,2.1,2.7,13,TE
31,Will Dissly,SEA,2.1,0.9,1.5,25.8,11.5,18.0,0.2,0.0,0.1,0.0,0.0,0.0,3.9,1.3,2.5,13,TE
32,Chris Herndon,NYJ,2.3,1.0,1.7,25.9,13.5,18.9,0.2,0.0,0.1,0.0,0.2,0.1,3.3,1.5,2.5,13,TE
33,Dan Arnold,ARI,1.9,1.0,1.5,22.8,15.0,18.6,0.2,0.0,0.1,0.0,0.0,0.0,2.9,1.5,2.4,13,TE
34,Dawson Knox,BUF,2.0,1.2,1.6,25.6,16.0,19.6,0.1,0.0,0.1,0.0,0.1,0.0,2.7,1.8,2.4,13,TE
35,David Njoku,CLE,2.1,0.7,1.3,24.4,8.5,15.5,0.3,0.0,0.1,0.0,0.0,0.0,4.2,1.4,2.2,13,TE
36,Ryan Izzo,NE,1.5,1.0,1.3,23.0,12.6,18.2,0.1,0.0,0.1,0.0,0.1,0.0,3.0,1.6,2.2,13,TE
