,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Tyreek Hill,KC,6.2,5.8,6.0,102.0,77.7,87.2,1.0,0.7,0.8,1.4,0.8,1.0,9.9,3.0,6.0,0.1,0.0,0.1,0.0,0.1,0.1,16.2,13.3,14.5,13,WR
1,Davante Adams,GB,9.0,6.7,7.5,108.0,82.8,91.7,1.0,0.7,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,16.8,12.7,14.2,13,WR
2,DK Metcalf,SEA,6.0,5.1,5.4,109.0,79.4,89.4,1.0,0.6,0.7,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,16.9,11.7,13.2,13,WR
3,AJ Brown,TEN,6.0,4.1,4.7,87.0,63.2,78.3,1.0,0.5,0.7,0.2,0.0,0.1,3.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,9.8,12.3,13,WR
4,Adam Thielen,MIN,7.0,5.1,5.7,84.0,69.0,75.8,1.0,0.6,0.7,0.4,0.0,0.2,1.8,0.0,1.1,0.0,0.0,0.0,0.0,0.1,0.1,14.4,10.9,12.0,13,WR
5,Justin Jefferson,MIN,5.8,4.5,5.0,94.8,69.2,82.5,1.0,0.5,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,14.0,9.8,11.9,13,WR
6,Stefon Diggs,BUF,8.0,5.7,6.7,96.0,75.0,83.1,1.0,0.4,0.5,0.5,0.0,0.2,2.6,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,15.6,10.1,11.5,13,WR
7,Keenan Allen,LAC,7.5,6.1,7.0,86.4,72.8,80.6,1.0,0.5,0.6,0.3,0.0,0.1,1.8,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.1,14.3,10.0,11.4,13,WR
8,Robert Woods,LAR,6.8,5.6,6.1,87.2,65.7,72.8,1.0,0.2,0.4,1.7,1.1,1.4,11.6,7.0,9.1,0.1,0.1,0.1,0.0,0.1,0.1,14.0,9.9,11.3,13,WR
9,Tyler Lockett,SEA,6.3,5.0,5.7,81.0,65.0,72.6,1.0,0.5,0.6,0.6,0.0,0.2,4.2,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,12.5,9.4,11.2,13,WR
10,Allen Robinson,CHI,7.0,5.8,6.2,84.0,73.2,78.2,1.0,0.5,0.6,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,14.4,10.2,11.1,13,WR
11,Calvin Ridley,ATL,6.0,4.7,5.2,85.0,66.2,73.9,1.0,0.4,0.6,0.3,0.0,0.2,2.2,0.0,1.2,0.0,0.0,0.0,0.0,0.1,0.1,13.5,9.0,11.0,13,WR
12,DeAndre Hopkins,ARI,7.6,4.7,6.5,87.9,69.3,79.6,1.0,0.3,0.5,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,14.3,9.3,10.9,13,WR
13,Brandin Cooks,HOU,8.0,4.8,5.6,89.0,71.8,79.2,1.0,0.3,0.5,0.5,0.0,0.2,3.1,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,14.9,8.9,10.9,13,WR
