,Unnamed: 0,Unnamed: 0.1,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
47,47,47,RB,Wayne Gallman Jr. (16006196) (LOCKED),Wayne Gallman,16006196.0,RB/FLEX,5700.0,Final,NYG,10.24
48,48,48,WR,Marquise Brown (16006386) (LOCKED),Marquise Brown,16006386.0,WR/FLEX,5700.0,Final,BAL,10.99
49,49,49,TE,Mark Andrews (16006638) (LOCKED),Mark Andrews,16006638.0,TE/FLEX,5700.0,Final,BAL,12.57
50,50,50,QB,Mitchell Trubisky (16006107) (LOCKED),Mitchell Trubisky,16006107.0,QB,5700.0,Final,CHI,16.95
51,51,51,WR,Amari Cooper (16006384) (LOCKED),Amari Cooper,16006384.0,WR/FLEX,5700.0,Final,DAL,15.91
52,52,52,QB,Philip Rivers (16006108) (LOCKED),Philip Rivers,16006108.0,QB,5600.0,Final,IND,16.64
53,53,53,RB,Melvin Gordon III (16006198) (LOCKED),Melvin Gordon,16006198.0,RB/FLEX,5600.0,Final,DEN,13.39
54,54,54,WR,Robby Anderson (16006388) (LOCKED),Robby Anderson,16006388.0,WR/FLEX,5500.0,Final,CAR,15.14
55,55,55,WR,T.Y. Hilton (16006390) (LOCKED),TY Hilton,16006390.0,WR/FLEX,5500.0,Final,IND,10.96
56,56,56,RB,Joe Mixon (16006200) (LOCKED),Joe Mixon,16006200.0,RB/FLEX,5500.0,Final,CIN,17.27
57,57,57,QB,Andy Dalton (16006109) (LOCKED),Andy Dalton,16006109.0,QB,5500.0,Final,DAL,13.53
58,58,58,WR,Keke Coutee (16006392) (LOCKED),Keke Coutee,16006392.0,WR/FLEX,5400.0,Final,HOU,11.14
59,59,59,QB,Carson Wentz (16006110) (LOCKED),Carson Wentz,16006110.0,QB,5400.0,Final,PHI,18.37
60,60,60,QB,Teddy Bridgewater (16006112) (LOCKED),Teddy Bridgewater,16006112.0,QB,5300.0,Final,CAR,18.46
61,61,61,RB,Benny Snell Jr. (16006204) (LOCKED),Benny Snell,16006204.0,RB/FLEX,5300.0,Final,PIT,5.56
62,62,62,QB,Tyrod Taylor (16006111) (LOCKED),Tyrod Taylor,16006111.0,QB,5300.0,Final,LAC,4.51
63,63,63,RB,Carlos Hyde (16006202) (LOCKED),Carlos Hyde,16006202.0,RB/FLEX,5300.0,Final,SEA,8.49
64,64,64,WR,CeeDee Lamb (16006394) (LOCKED),CeeDee Lamb,16006394.0,WR/FLEX,5300.0,Final,DAL,14.34
65,65,65,QB,Alex Smith (16006114) (LOCKED),Alex Smith,16006114.0,QB,5200.0,Final,WAS,10.44
66,66,66,QB,Dwayne Haskins Jr. (16006115) (LOCKED),Dwayne Haskins,16006115.0,QB,5200.0,Final,WAS,11.59
67,67,67,QB,Gardner Minshew II (16006113) (LOCKED),Gardner Minshew,16006113.0,QB,5200.0,Final,JAC,19.85
68,68,68,WR,Russell Gage (16006396) (LOCKED),Russell Gage,16006396.0,WR/FLEX,5100.0,Final,ATL,10.59
69,69,69,QB,Nick Foles (16006116) (LOCKED),Nick Foles,16006116.0,QB,5100.0,Final,CHI,12.8
70,70,70,RB,Nyheim Hines (16006206) (LOCKED),Nyheim Hines,16006206.0,RB/FLEX,5000.0,Final,IND,12.1
71,71,71,WR,Sammy Watkins (16006398) (LOCKED),Sammy Watkins,16006398.0,WR/FLEX,5000.0,Final,KC,8.94
72,72,72,QB,Drew Lock (16006118) (LOCKED),Drew Lock,16006118.0,QB,5000.0,Final,DEN,14.84
73,73,73,QB,Sam Darnold (16006117) (LOCKED),Sam Darnold,16006117.0,QB,5000.0,Final,NYJ,12.19
74,74,74,QB,Daniel Jones (16006119) (LOCKED),Daniel Jones,16006119.0,QB,5000.0,Final,NYG,13.78
75,75,75,QB,Colt McCoy (16006120) (LOCKED),Colt McCoy,16006120.0,QB,5000.0,Final,NYG,5.05
76,76,76,RB,Duke Johnson (16006208) (LOCKED),Duke Johnson,16006208.0,RB/FLEX,5000.0,Final,HOU,7.86
77,77,77,WR,Curtis Samuel (16006402) (LOCKED),Curtis Samuel,16006402.0,WR/FLEX,4900.0,Final,CAR,14.21
78,78,78,TE,Logan Thomas (16006640) (LOCKED),Logan Thomas,16006640.0,TE/FLEX,4900.0,Final,WAS,11.13
79,79,79,QB,Joe Flacco (16006121) (LOCKED),Joe Flacco,16006121.0,QB,4900.0,Final,NYJ,11.55
80,80,80,WR,Tyler Boyd (16006400) (LOCKED),Tyler Boyd,16006400.0,WR/FLEX,4900.0,Final,CIN,14.03
81,81,81,RB,Boston Scott (16006210) (LOCKED),Boston Scott,16006210.0,RB/FLEX,4900.0,Final,PHI,5.71
82,82,82,QB,Brett Rypien (16006126) (LOCKED),Brett Rypien,16006126.0,QB,4800.0,Final,DEN,7.65
83,83,83,TE,Noah Fant (16006642) (LOCKED),Noah Fant,16006642.0,TE/FLEX,4800.0,Final,DEN,10.81
84,84,84,QB,Case Keenum (16006125) (LOCKED),Case Keenum,16006125.0,QB,4800.0,Final,CLE,1.84
85,85,85,WR,Rashard Higgins (16006406) (LOCKED),Rashard Higgins,16006406.0,WR/FLEX,4800.0,Final,CLE,10.58
86,86,86,QB,Brandon Allen (16006122) (LOCKED),Brandon Allen,16006122.0,QB,4800.0,Final,CIN,14.4
87,87,87,QB,Ryan Finley (16006127) (LOCKED),Ryan Finley,16006127.0,QB,4800.0,Final,CIN,4.23
88,88,88,RB,Giovani Bernard (16006212) (LOCKED),Giovani Bernard,16006212.0,RB/FLEX,4800.0,Final,CIN,10.56
89,89,89,QB,Mike Glennon (16006124) (LOCKED),Mike Glennon,16006124.0,QB,4800.0,Final,JAC,12.48
90,90,90,WR,DJ Chark Jr. (16006404) (LOCKED),DJ Chark,16006404.0,WR/FLEX,4800.0,Final,JAC,12.05
91,91,91,QB,Ben DiNucci (16006123) (LOCKED),Ben DiNucci,16006123.0,QB,4800.0,Final,DAL,4.48
92,92,92,RB,Todd Gurley II (16006214) (LOCKED),Todd Gurley,16006214.0,RB/FLEX,4700.0,Final,ATL,11.55
93,93,93,TE,Hunter Henry (16006644) (LOCKED),Hunter Henry,16006644.0,TE/FLEX,4700.0,Final,LAC,10.38
94,94,94,WR,Tee Higgins (16006408) (LOCKED),Tee Higgins,16006408.0,WR/FLEX,4700.0,Final,CIN,14.4
95,95,95,QB,Garrett Gilbert (16006128) (LOCKED),Garrett Gilbert,16006128.0,QB,4700.0,Final,DAL,15.52
96,96,96,WR,Jalen Reagor (16006416) (LOCKED),Jalen Reagor,16006416.0,WR/FLEX,4600.0,Final,PHI,8.47
97,97,97,QB,P.J. Walker (16006130) (LOCKED),PJ Walker,16006130.0,QB,4500.0,Final,CAR,4.24
98,98,98,WR,Mike Williams (16006414) (LOCKED),Mike Williams,16006414.0,WR/FLEX,4500.0,Final,LAC,10.3
99,99,99,RB,Ty Johnson (16006216) (LOCKED),Ty Johnson,16006216.0,RB/FLEX,4500.0,Final,NYJ,5.23
100,100,100,WR,Jamison Crowder (16006412) (LOCKED),Jamison Crowder,16006412.0,WR/FLEX,4500.0,Final,NYJ,15.81
101,101,101,RB,Devonta Freeman (16006218) (LOCKED),Devonta Freeman,16006218.0,RB/FLEX,4500.0,Final,NYG,7.2
102,102,102,WR,Sterling Shepard (16006410) (LOCKED),Sterling Shepard,16006410.0,WR/FLEX,4500.0,Final,NYG,11.72
103,103,103,QB,John Wolford (16006129) (LOCKED),John Wolford,16006129.0,QB,4500.0,Final,LAR,0.0
104,104,104,RB,Darrell Henderson Jr. (16006220) (LOCKED),Darrell Henderson,16006220.0,RB/FLEX,4500.0,Final,LAR,8.89
105,105,105,RB,Peyton Barber (16006224) (LOCKED),Peyton Barber,16006224.0,RB/FLEX,4400.0,Final,WAS,4.15
