,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Philip Rivers,IND,QB,5600.0,Philip Rivers (16006108) (LOCKED),18.617999999999995,22.449000000000005,27.639999999999997
1,Dak Prescott,DAL,QB,4000.0,Dak Prescott (16006144) (LOCKED),7.762,15.936000000000003,22.948
2,Jared Goff,LAR,QB,5900.0,Jared Goff (16006105) (LOCKED),17.082,21.514000000000006,26.210000000000004
0,Saquon Barkley,NYG,RB,4000.0,Saquon Barkley (16006294) (LOCKED),11.580000000000002,18.709999999999997,24.91
1,Todd Gurley,ATL,RB,4700.0,Todd Gurley II (16006214) (LOCKED),11.900000000000002,20.63,32.26
2,Devonta Freeman,NYG,RB,4500.0,Devonta Freeman (16006218) (LOCKED),12.260000000000003,15.64,20.0
3,Melvin Gordon,DEN,RB,5600.0,Melvin Gordon III (16006198) (LOCKED),14.81,18.130000000000003,22.569999999999997
4,David Johnson,HOU,RB,6100.0,David Johnson (16006186) (LOCKED),12.78,19.23,32.849999999999994
5,Kareem Hunt,CLE,RB,5900.0,Kareem Hunt (16006190) (LOCKED),15.3,18.560000000000002,21.489999999999995
0,AJ Green,CIN,WR,3400.0,A.J. Green (16006456) (LOCKED),18.199999999999996,21.049999999999997,25.75
1,Odell Beckham,CLE,WR,3000.0,Odell Beckham Jr. (16006580) (LOCKED),8.96,14.340000000000002,20.0
2,Dede Westbrook,JAC,WR,3000.0,Dede Westbrook (16006514) (LOCKED),7.250000000000001,10.47,15.8
3,Golden Tate,NYG,WR,3400.0,Golden Tate (16006458) (LOCKED),4.5,11.840000000000002,20.5
4,DeSean Jackson,PHI,WR,3000.0,DeSean Jackson (16006490) (LOCKED),7.560000000000001,10.270000000000001,16.0
5,Josh Gordon,SEA,WR,3000.0,Josh Gordon (16006502) (LOCKED),7.5,10.010000000000002,12.77
6,Randall Cobb,HOU,WR,3000.0,Randall Cobb (16006542) (LOCKED),3.4,10.0,17.0
7,Courtland Sutton,DEN,WR,3000.0,Courtland Sutton (16006594) (LOCKED),6.15,9.559999999999999,12.5
8,Julio Jones,ATL,WR,6800.0,Julio Jones (16006366) (LOCKED),17.449999999999996,21.325,26.8
0,Greg Olsen,SEA,TE,2500.0,Greg Olsen (16006696) (LOCKED),9.34,12.24,16.5
1,Zach Ertz,PHI,TE,3100.0,Zach Ertz (16006662) (LOCKED),12.8,14.88,19.67
2,Jack Doyle,IND,TE,2800.0,Jack Doyle (16006676) (LOCKED),9.540000000000001,12.5,15.700000000000001
3,Trey Burton,IND,TE,2700.0,Trey Burton (16006680) (LOCKED),7.46,10.81,17.0
4,David Njoku,CLE,TE,2500.0,David Njoku (16006756) (LOCKED),6.6000000000000005,9.23,14.0
0,Jaguars,JAC,DST,2200.0,Jaguars  (16006829) (LOCKED),6.3428571428571425,7.657142857142857,9.728571428571428
1,Seahawks,SEA,DST,2600.0,Seahawks  (16006824) (LOCKED),6.933333333333333,8.942857142857141,12.214285714285712
2,Falcons,ATL,DST,1900.0,Falcons  (16006831) (LOCKED),4.642857142857143,6.342857142857143,8.1
