"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","18.5","81.9","0.6","5.6","46.6","0.3","0.2","17.4"
"Dalvin Cook","MIN","18.7","94.8","0.7","4.2","33.5","0.2","0.2","17.3"
"Ezekiel Elliott","DAL","20.6","93.4","0.6","3.0","26.4","0.1","0.2","16.3"
"Alvin Kamara","NO","14.9","68.2","0.7","4.8","42.1","0.2","0.1","15.9"
"David Johnson","ARI","15.5","62.2","0.5","5.1","44.9","0.3","0.2","15.3"
"Nick Chubb","CLE","17.2","86.1","0.6","3.1","21.8","0.2","0.1","15.1"
"Leonard Fournette","JAC","19.1","81.1","0.4","4.0","26.9","0.1","0.1","13.8"
"Joe Mixon","CIN","16.1","74.7","0.5","3.0","22.1","0.1","0.1","13.2"
"Derrick Henry","TEN","17.1","78.3","0.7","1.1","9.5","0.1","0.1","13.1"
"Aaron Jones","GB","14.6","67.9","0.6","3.5","22.7","0.1","0.1","13.0"
"Austin Ekeler","LAC","10.5","50.2","0.4","3.9","40.4","0.3","0.1","12.9"
"Le'Veon Bell","NYJ","18.1","71.5","0.3","5.6","33.8","0.1","0.2","12.8"
"Chris Carson","SEA","16.4","72.5","0.4","2.4","17.8","0.1","0.2","11.7"
"Mark Ingram","BAL","14.7","70.0","0.5","2.1","15.8","0.0","0.1","11.7"
"Todd Gurley","LAR","13.7","59.6","0.5","2.9","22.9","0.1","0.1","11.6"
"Melvin Gordon","LAC","13.1","55.6","0.4","2.9","25.7","0.1","0.1","11.3"
"James Conner","PIT","12.9","51.3","0.5","3.5","27.1","0.1","0.1","11.3"
"David Montgomery","CHI","15.0","61.2","0.5","2.5","19.0","0.1","0.1","11.3"
"Marlon Mack","IND","13.8","65.1","0.5","1.3","9.6","0.0","0.1","10.4"
"Sony Michel","NE","17.9","73.0","0.5","0.5","2.1","0.0","0.1","10.2"
"Phillip Lindsay","DEN","12.4","58.4","0.4","2.7","18.4","0.0","0.1","10.0"
"Devonta Freeman","ATL","13.3","52.2","0.3","3.8","26.9","0.1","0.1","9.9"
"Wayne Gallman","NYG","12.9","51.3","0.3","3.2","20.5","0.2","0.2","9.8"
"Jordan Howard","PHI","14.3","58.4","0.4","1.4","9.1","0.1","0.1","9.5"
"LeSean McCoy","KC","12.2","52.4","0.3","2.6","19.3","0.1","0.1","9.4"
"Josh Jacobs","OAK","14.4","57.6","0.3","1.7","10.9","0.1","0.1","8.9"
"Carlos Hyde","HOU","14.8","59.9","0.3","1.6","8.4","0.0","0.1","8.8"
"Miles Sanders","PHI","12.0","50.4","0.3","1.9","15.5","0.1","0.1","8.5"
"Damien Williams","KC","8.5","33.7","0.3","3.1","25.0","0.2","0.1","8.4"
"Royce Freeman","DEN","10.8","47.2","0.3","2.9","15.5","0.0","0.1","8.0"
"Frank Gore","BUF","14.9","58.9","0.2","1.5","11.0","0.0","0.1","8.0"
