"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"New England Patriots","","3.1","1.5","0.6","1.0","0.2","0.1","13.5","296.8","9.6"
"Minnesota Vikings","","3.1","1.1","0.7","0.9","0.2","0.0","17.7","320.0","8.7"
"Philadelphia Eagles","","2.8","1.2","0.6","1.0","0.2","0.0","15.6","280.4","8.6"
"Tennessee Titans","","2.9","1.2","0.6","0.8","0.2","0.0","16.6","320.4","8.6"
"Carolina Panthers","","3.1","0.8","0.8","1.4","0.1","0.1","18.8","330.3","8.3"
"Chicago Bears","","3.3","0.7","0.8","1.2","0.2","0.0","16.4","295.3","8.3"
"New Orleans Saints","","2.9","1.2","0.8","1.3","0.2","0.0","20.7","388.7","8.1"
"Buffalo Bills","","3.1","0.9","0.6","0.9","0.1","0.1","19.2","287.6","8.0"
"Cincinnati Bengals","","3.4","1.0","0.6","0.7","0.2","0.0","20.8","341.9","7.6"
"Los Angeles Rams","","3.5","0.7","0.7","1.0","0.1","0.0","23.9","348.4","7.4"
"Los Angeles Chargers","","2.7","0.8","0.5","0.7","0.1","0.0","17.9","340.3","7.2"
"Arizona Cardinals","","3.2","0.9","0.6","1.0","0.1","0.0","24.2","329.0","7.1"
"Cleveland Browns","","2.6","0.9","0.8","1.3","0.1","0.0","24.5","370.9","6.9"
"Jacksonville Jaguars","","2.7","1.0","0.6","0.9","0.2","0.1","20.8","337.5","6.9"
"Atlanta Falcons","","3.2","0.9","0.6","0.8","0.1","0.0","25.1","354.9","6.9"
"San Francisco 49ers","","2.8","1.0","0.5","0.8","0.2","0.0","21.0","348.1","6.8"
"Pittsburgh Steelers","","2.9","0.8","0.7","1.1","0.1","0.0","22.7","366.3","6.8"
"Houston Texans","","2.8","0.8","0.7","1.2","0.1","0.0","21.2","370.8","6.6"
"Kansas City Chiefs","","2.5","0.9","0.6","1.0","0.2","0.0","21.8","343.1","6.4"
"Seattle Seahawks","","2.5","0.8","0.7","1.2","0.1","0.1","22.7","394.9","6.3"
"Baltimore Ravens","","2.0","1.1","0.5","0.8","0.2","0.0","20.2","331.4","6.2"
"Tampa Bay Buccaneers","","2.3","0.8","0.6","1.1","0.1","0.0","24.1","330.5","6.1"
"Green Bay Packers","","2.8","0.7","0.6","0.9","0.1","0.0","23.6","352.7","6.1"
"Denver Broncos","","2.6","0.7","0.6","0.9","0.1","0.0","24.9","381.9","6.0"
"Oakland Raiders","","1.9","1.0","0.6","0.9","0.1","0.0","22.5","345.6","5.9"
"Dallas Cowboys","","3.0","0.4","0.6","1.1","0.1","0.0","20.3","351.2","5.7"
"New York Jets","","2.1","0.7","0.6","0.9","0.1","0.0","26.8","357.7","5.3"
"New York Giants","","2.1","0.7","0.5","0.8","0.1","0.0","23.0","348.9","5.3"
"Indianapolis Colts","","1.9","0.6","0.6","0.9","0.1","0.0","31.0","421.0","5.0"
"Washington Redskins","","1.6","0.6","0.6","0.9","0.1","0.0","27.4","388.3","4.6"
""
""
