Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (13484232),Christian McCaffrey,13484232,RB/FLEX,8700,JAX@CAR 10/06/2019 01:00PM ET,CAR,29.48
RB,Alvin Kamara (13484234),Alvin Kamara,13484234,RB/FLEX,8600,TB@NO 10/06/2019 01:00PM ET,NO,19.98
RB,Dalvin Cook (13484236),Dalvin Cook,13484236,RB/FLEX,8400,MIN@NYG 10/06/2019 01:00PM ET,MIN,26.6
RB,Ezekiel Elliott (13484238),Ezekiel Elliott,13484238,RB/FLEX,8300,GB@DAL 10/06/2019 04:25PM ET,DAL,18.18
RB,Saquon Barkley (13484240),Saquon Barkley,13484240,RB/FLEX,8000,MIN@NYG 10/06/2019 01:00PM ET,NYG,18.03
WR,DeAndre Hopkins (13484436),DeAndre Hopkins,13484436,WR/FLEX,7800,ATL@HOU 10/06/2019 01:00PM ET,HOU,15.98
WR,Julio Jones (13484438),Julio Jones,13484438,WR/FLEX,7700,ATL@HOU 10/06/2019 01:00PM ET,ATL,21.2
WR,Davante Adams (13484440),Davante Adams,13484440,WR/FLEX,7600,GB@DAL 10/06/2019 04:25PM ET,GB,17.2
RB,David Johnson (13484242),David Johnson,13484242,RB/FLEX,7500,ARI@CIN 10/06/2019 01:00PM ET,ARI,18.62
WR,Keenan Allen (13484442),Keenan Allen,13484442,WR/FLEX,7300,DEN@LAC 10/06/2019 04:05PM ET,LAC,25.88
WR,Mike Evans (13484444),Mike Evans,13484444,WR/FLEX,7100,TB@NO 10/06/2019 01:00PM ET,TB,20.45
QB,Lamar Jackson (13484171),Lamar Jackson,13484171,QB,7100,BAL@PIT 10/06/2019 01:00PM ET,BAL,29.55
RB,Melvin Gordon III (13484244),Melvin Gordon III,13484244,RB/FLEX,7000,DEN@LAC 10/06/2019 04:05PM ET,LAC,0
WR,Chris Godwin (13484446),Chris Godwin,13484446,WR/FLEX,6900,TB@NO 10/06/2019 01:00PM ET,TB,23.65
RB,Le'Veon Bell (13484246),Le'Veon Bell,13484246,RB/FLEX,6800,NYJ@PHI 10/06/2019 01:00PM ET,NYJ,18.47
WR,Amari Cooper (13484448),Amari Cooper,13484448,WR/FLEX,6800,GB@DAL 10/06/2019 04:25PM ET,DAL,19.15
WR,A.J. Green (13484450),A.J. Green,13484450,WR/FLEX,6700,ARI@CIN 10/06/2019 01:00PM ET,CIN,0
QB,Deshaun Watson (13484172),Deshaun Watson,13484172,QB,6700,ATL@HOU 10/06/2019 01:00PM ET,HOU,21.76
WR,Adam Thielen (13484454),Adam Thielen,13484454,WR/FLEX,6700,MIN@NYG 10/06/2019 01:00PM ET,MIN,12.25
