,Player,Salary
0,Saquon Barkley,8000
1,Davante Adams,7600
2,A.J. Green,6700
3,Drew Brees,5900
4,DeSean Jackson,5900
5,Cam Newton,5500
6,Sam Darnold,5400
7,DJ Moore,5200
8,John Ross,5200
9,Mitch Trubisky,5100
10,DJ Chark,5000
11,Christian Kirk,5000
12,Ben Roethlisberger,5000
13,DeShone Kizer,4700
14,Ronald Jones,4600
15,Jamaal Williams,4500
16,Rex Burkhead,4400
17,Josh Dobbs,4200
18,Nick Foles,4100
19,Cody Kessler,4100
20,Brandon Allen,4100
21,Jake Dolegala,4000
22,Alex McGough,4000
23,Alex Tanney,4000
24,Nate Sudfeld,4000
25,Trace McSorley,4000
26,Easton Stick,4000
27,Taylor Gabriel,3900
28,JJ Arcega-Whiteside,3900
29,Ben Watson,3700
30,Hunter Henry,3600
31,Breshad Perriman,3500
32,Vernon Davis,3400
33,Dontrelle Inman,3400
34,Bennie Fowler,3300
35,Benny Snell,3300
36,Derrius Guice,3200
37,Jordan Reed,3200
38,Jon Hilliman,3100
39,Davion Davis,3100
40,Isaiah Crowell,3100
41,Devine Ozigbo,3000
42,Roc Thomas,3000
43,Chris Hogan,3000
44,C.J. Board,3000
45,Kenjon Barner,3000
46,Olamide Zaccheaus,3000
47,Scotty Miller,3000
48,C.J. Ham,3000
49,TJ Jones,3000
50,Irv Smith,3000
51,Jalin Marshall,3000
52,Roosevelt Nix,3000
53,Jaleel Scott,3000
54,David Fluellen,3000
55,James Develin,3000
56,Matthew Slater,3000
57,N'Keal Harry,3000
58,Robert Davis,3000
59,Danny Vitale,3000
60,Tyler Kroft,2800
61,Josh Oliver,2700
62,Kaden Smith,2600
63,Chris Manhertz,2500
64,Matt Orzech,2500
65,Clark Harris,2500
66,Tyler Conklin,2500
67,Patrick Scales,2500
68,Beau Brinkley,2500
69,Sean Culkin,2500
70,Evan Baylis,2500
