,Player,Position,Salary,DK_Points,DK_Value
0,Jameis Winston,QB,6200,23.896000000000004,259.4576498158687
1,Matt Ryan,QB,6700,25.044,267.529148698291
2,Baker Mayfield,QB,5900,21.032000000000004,280.5249144161278
3,Ryan Fitzpatrick,QB,5000,17.346,288.2508935777701
4,Carson Wentz,QB,5600,19.026,294.33406916850623
5,Dak Prescott,QB,6000,20.041999999999998,299.37132022752223
6,Jeff Driskel,QB,5500,17.796,309.05821532928746
7,Drew Brees,QB,6600,20.894,315.8801569828659
8,Russell Wilson,QB,6800,21.43,317.31217918805413
9,Tom Brady,QB,6000,18.543999999999997,323.55478861087147
10,Derek Carr,QB,6100,18.566,328.55757836906173
11,Sam Darnold,QB,5800,17.618000000000002,329.2087637643319
12,Ryan Tannehill,QB,5300,15.936000000000003,332.5803212851405
13,Kyle Allen,QB,5200,15.368000000000002,338.36543466944295
14,Nick Foles,QB,5400,15.844,340.8230244887655
15,Mitch Trubisky,QB,5100,14.836,343.7584254516042
16,Daniel Jones,QB,5700,16.338,348.879911861917
17,Josh Allen,QB,6400,18.264,350.4161191414805
18,Mason Rudolph,QB,5500,15.454,355.894913938139
19,Dwayne Haskins,QB,4900,13.494,363.1243515636579
20,Ryan Finley,QB,4700,12.408,378.7878787878788
21,Brandon Allen,QB,4600,11.998,383.39723287214537
22,Chase Daniel,QB,5000,7.1240000000000006,701.8528916339135
23,Devlin Hodges,QB,4700,6.321999999999999,743.4356216387221
24,Andy Dalton,QB,5000,5.821999999999999,858.8114050154587
25,Derrick Henry,RB,6900,19.250000000000004,358.44155844155836
26,Le'Veon Bell,RB,6400,17.79,359.75267003934795
27,Nick Chubb,RB,8100,22.220000000000002,364.5364536453645
28,Leonard Fournette,RB,7300,19.929999999999996,366.28198695434025
29,Alvin Kamara,RB,8200,22.319999999999997,367.3835125448029
30,Chris Carson,RB,6700,17.44,384.17431192660547
31,James White,RB,5300,13.549999999999999,391.14391143911445
32,Brian Hill,RB,4900,12.430000000000001,394.20756234915524
33,Devin Singletary,RB,5400,13.470000000000002,400.8908685968819
34,Sony Michel,RB,4600,11.440000000000001,402.0979020979021
35,Phillip Lindsay,RB,5200,12.8,406.25
36,Josh Jacobs,RB,7400,18.11,408.61402540033134
37,Miles Sanders,RB,5000,12.21,409.5004095004095
38,Ezekiel Elliott,RB,7500,18.27,410.5090311986864
39,David Montgomery,RB,5500,12.860000000000001,427.68273716951785
40,Tarik Cohen,RB,4800,11.200000000000001,428.57142857142856
41,Saquon Barkley,RB,7900,18.380000000000003,429.81501632208915
42,Joe Mixon,RB,5900,13.71,430.34281546316555
43,Jaylen Samuels,RB,7200,16.48,436.8932038834951
44,Christian McCaffrey,RB,10500,23.9,439.3305439330544
45,Kalen Ballage,RB,4400,10.010000000000002,439.5604395604395
46,Kareem Hunt,RB,5600,12.730000000000002,439.90573448546735
47,Rex Burkhead,RB,3700,8.06,459.0570719602977
48,Derrius Guice,RB,4700,10.21,460.3330068560235
49,Royce Freeman,RB,4500,9.250000000000002,486.4864864864864
50,Bo Scarbrough,RB,4200,8.430000000000001,498.2206405693949
51,Patrick Laird,RB,3400,6.1000000000000005,557.3770491803278
52,J.D. McKissic,RB,4400,7.790000000000001,564.8267008985879
53,Adrian Peterson,RB,4300,7.570000000000001,568.0317040951122
54,Latavius Murray,RB,6100,10.31,591.658583899127
55,Trey Edmunds,RB,3900,6.550000000000001,595.4198473282443
56,Peyton Barber,RB,3800,6.340000000000001,599.3690851735015
57,Frank Gore,RB,4100,6.28,652.8662420382166
58,Chris Thompson,RB,3800,5.800000000000001,655.1724137931034
59,Giovani Bernard,RB,4100,5.800000000000001,706.8965517241378
60,Ty Johnson,RB,3700,5.160000000000001,717.0542635658913
61,Jalen Richard,RB,4000,5.120000000000001,781.2499999999999
62,Jordan Howard,RB,4800,6.010000000000001,798.6688851913476
63,Julio Jones,WR,8000,24.08,332.22591362126246
64,Michael Thomas,WR,9300,26.77,347.4038102353381
65,Mike Evans,WR,7300,20.81,350.7928880345988
66,Demaryius Thomas,WR,3800,10.0,380.0
67,Odell Beckham Jr.,WR,7000,18.299999999999994,382.5136612021859
68,Alshon Jeffery,WR,4900,12.760000000000002,384.0125391849529
69,Chris Godwin,WR,7200,18.289999999999996,393.6577364680154
70,D.J. Chark,WR,6400,15.960000000000003,401.00250626566407
71,Calvin Ridley,WR,6500,15.9,408.80503144654085
72,Golden Tate,WR,5700,13.920000000000002,409.4827586206896
73,Julian Edelman,WR,6900,16.59,415.9132007233273
74,Amari Cooper,WR,6600,15.75,419.04761904761904
75,Jarvis Landry,WR,6300,14.930000000000001,421.9691895512391
76,Jamison Crowder,WR,6200,14.55,426.1168384879725
77,Michael Gallup,WR,5900,13.58,434.46244477172314
78,Courtland Sutton,WR,6200,14.020000000000001,442.22539229671895
79,Tyrell Williams,WR,5900,13.3,443.6090225563909
80,Cole Beasley,WR,4400,9.879999999999999,445.3441295546559
81,Tyler Lockett,WR,7600,17.02,446.53349001175087
82,Allen Robinson,WR,6500,14.51,447.96691936595454
83,Corey Davis,WR,4300,9.54,450.7337526205451
84,Tyler Boyd,WR,5000,11.05,452.4886877828054
85,Russell Gage,WR,3900,8.58,454.54545454545456
86,Terry McLaurin,WR,6000,13.14,456.62100456621005
87,Allen Hurns,WR,3300,7.210000000000001,457.6976421636615
88,Chris Conley,WR,4100,8.9,460.67415730337075
89,Dede Westbrook,WR,4600,9.89,465.1162790697674
90,James Washington,WR,5000,10.660000000000002,469.0431519699812
91,John Brown,WR,6700,14.27,469.51646811492645
92,Taylor Gabriel,WR,4200,8.920000000000002,470.8520179372196
93,Alex Erickson,WR,4000,8.38,477.326968973747
94,Kenny Golladay,WR,6600,13.67,482.80907095830287
95,Tim Patrick,WR,3000,6.18,485.4368932038835
96,D.K. Metcalf,WR,6300,12.910000000000002,487.99380325329196
97,Nelson Agholor,WR,4100,8.14,503.68550368550365
98,Marvin Jones,WR,6100,12.07,505.38525269262635
99,Sterling Shepard,WR,4900,9.46,517.9704016913319
100,Hunter Renfrow,WR,4500,8.68,518.4331797235023
101,A.J. Brown,WR,4700,9.04,519.9115044247789
102,Albert Wilson,WR,3200,6.15,520.3252032520325
103,Curtis Samuel,WR,5400,10.260000000000002,526.3157894736842
104,Adam Humphries,WR,3900,7.26,537.1900826446281
105,Randall Cobb,WR,4800,8.91,538.7205387205387
