,Player,Salary
0,James Conner,8000
1,DJ Moore,6400
2,Matthew Stafford,6300
3,Austin Hooper,6200
4,JuJu Smith-Schuster,6000
5,A.J. Green,5800
6,Evan Engram,5200
7,DeVante Parker,5200
8,Devonta Freeman,5100
9,Ronald Jones,4800
10,Benny Snell,4500
11,Alex Tanney,4000
12,Jake Dolegala,4000
13,Paxton Lynch,4000
14,Ben Roethlisberger,4000
15,Blaine Gabbert,4000
16,DeShone Kizer,4000
17,Josh Dobbs,4000
18,Cody Kessler,4000
19,Nate Sudfeld,4000
20,David Njoku,3500
21,Duke Williams,3300
22,Nick Bawden,3200
23,Vernon Davis,3200
24,Russell Shepard,3100
25,KhaDarel Hodge,3100
26,Scotty Miller,3100
27,Ben Watson,3100
28,Rhett Ellison,3000
29,Tony Brooks-James,3000
30,Stanley Morgan,3000
31,Gary Jennings,3000
32,Zach Line,3000
33,Deonte Harris,3000
34,Isaiah Crowell,3000
35,Dwayne Harris,3000
36,Jalin Marshall,3000
37,Roc Thomas,3000
38,James Develin,3000
39,Gunner Olszewski,3000
40,Matthew Slater,3000
41,JJ Arcega-Whiteside,3000
42,John Ursua,3000
43,Adam Shaheen,2700
44,Seth DeValve,2700
45,Josh Oliver,2700
46,Patrick Scales,2500
47,Drew Sample,2500
48,Clark Harris,2500
49,Xavier Grimble,2500
50,Rico Gathers,2500
51,Beau Brinkley,2500
52,Matt Orzech,2500
53,Tyler Ott,2500
