"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","16.4","79.4","0.6","6.1","51.6","0.2","0.1","18.0"
"Nick Chubb","CLE","19.6","102.1","0.9","1.9","13.1","0.1","0.2","17.0"
"Alvin Kamara","NO","12.9","64.3","0.6","6.1","50.9","0.2","0.1","16.1"
"Derrick Henry","TEN","19.4","90.2","0.8","1.5","14.5","0.1","0.1","15.2"
"Josh Jacobs","OAK","20.2","88.8","0.7","2.0","15.4","0.1","0.1","14.9"
"Leonard Fournette","JAC","19.7","81.6","0.5","4.2","30.8","0.1","0.1","14.6"
"Ezekiel Elliott","DAL","19.1","84.0","0.5","3.0","23.8","0.1","0.1","13.9"
"Saquon Barkley","NYG","16.5","69.6","0.5","4.5","34.2","0.1","0.1","13.6"
"Chris Carson","SEA","19.3","83.0","0.5","2.8","19.5","0.1","0.2","13.5"
"Todd Gurley","LAR","16.9","68.2","0.6","2.7","23.1","0.1","0.1","13.3"
"Le'Veon Bell","NYJ","16.1","63.4","0.5","4.5","34.5","0.1","0.1","13.2"
"Aaron Jones","GB","12.4","59.0","0.6","3.5","26.3","0.1","0.1","13.1"
"Tevin Coleman","SF","13.4","60.0","0.5","2.2","17.8","0.1","0.1","11.6"
"Joe Mixon","CIN","16.4","66.5","0.4","2.3","18.6","0.1","0.1","11.4"
"Mark Ingram","BAL","13.1","60.8","0.6","2.1","17.2","0.1","0.1","11.3"
"Jaylen Samuels","PIT","10.8","40.6","0.4","4.9","34.2","0.3","0.1","11.3"
"David Montgomery","CHI","15.9","59.8","0.5","2.2","17.8","0.0","0.1","10.9"
"Devin Singletary","BUF","11.5","51.1","0.4","3.0","24.6","0.1","0.1","10.5"
"Sony Michel","NE","16.1","63.9","0.6","0.9","6.5","0.0","0.1","10.3"
"Phillip Lindsay","DEN","12.7","62.7","0.3","2.9","19.3","0.0","0.1","10.1"
"Carlos Hyde","HOU","14.9","65.8","0.5","1.1","5.2","0.0","0.1","9.8"
"Brian Hill","ATL","12.0","51.8","0.3","2.5","18.5","0.2","0.1","9.5"
"Miles Sanders","PHI","10.5","49.9","0.1","3.0","31.2","0.1","0.1","9.3"
"Kareem Hunt","CLE","7.1","34.9","0.2","3.7","32.4","0.2","0.1","8.7"
"Jonathan Williams","IND","10.9","44.3","0.6","1.0","6.5","0.0","0.2","8.3"
"Ronald Jones II","TB","11.7","45.2","0.3","2.3","19.9","0.0","0.1","8.2"
