"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","9.4","102.7","0.7","0.1","0.0","0.0","0.1","14.4"
"Julio Jones","ATL","7.2","103.8","0.6","0.2","0.9","0.0","0.1","14.1"
"Mike Evans","TB","5.8","95.3","0.6","0.0","0.3","0.0","0.1","13.2"
"DeAndre Hopkins","HOU","7.4","83.5","0.6","0.1","0.4","0.0","0.1","12.1"
"Chris Godwin","TB","5.7","81.0","0.6","0.1","0.6","0.0","0.1","11.6"
"Odell Beckham Jr.","CLE","5.7","81.1","0.6","0.3","1.8","0.0","0.1","11.5"
"Tyler Lockett","SEA","5.9","76.2","0.6","0.5","2.7","0.0","0.1","11.4"
"Davante Adams","GB","6.3","81.3","0.5","0.0","0.3","0.0","0.1","11.2"
"Calvin Ridley","ATL","5.0","68.0","0.7","0.3","1.7","0.0","0.1","10.8"
"D.J. Chark","JAC","5.2","72.6","0.6","0.3","2.1","0.0","0.1","10.7"
"Amari Cooper","DAL","5.2","75.5","0.5","0.1","0.6","0.0","0.0","10.5"
"Julian Edelman","NE","6.6","70.9","0.5","0.6","3.9","0.0","0.1","10.3"
"Jarvis Landry","CLE","5.2","68.3","0.5","0.4","2.6","0.0","0.1","10.0"
"D.J. Moore","CAR","5.9","75.2","0.4","0.3","3.9","0.0","0.1","10.0"
"Cooper Kupp","LAR","5.5","70.0","0.5","0.2","1.1","0.0","0.1","10.0"
"Devante Parker","MIA","4.7","68.3","0.5","0.0","0.0","0.0","0.0","9.6"
"Courtland Sutton","DEN","4.6","70.2","0.4","0.2","1.0","0.0","0.0","9.6"
"John Brown","BUF","4.6","66.7","0.5","0.1","0.6","0.0","0.0","9.6"
"Kenny Golladay","DET","4.1","65.7","0.5","0.1","0.4","0.0","0.0","9.5"
"Allen Robinson","CHI","5.1","65.1","0.5","0.0","0.1","0.0","0.1","9.3"
"T.Y. Hilton","IND","4.9","65.2","0.5","0.1","0.5","0.0","0.0","9.3"
"Tyrell Williams","OAK","4.2","61.0","0.5","0.0","0.1","0.0","0.0","9.3"
"Michael Gallup","DAL","4.5","66.8","0.4","0.0","0.0","0.0","0.0","9.1"
"Jamison Crowder","NYJ","5.5","61.5","0.5","0.2","1.3","0.0","0.1","9.0"
"D.K. Metcalf","SEA","4.0","60.1","0.5","0.2","1.0","0.0","0.1","9.0"
"Terry McLaurin","WAS","4.4","57.4","0.5","0.4","2.6","0.0","0.0","8.8"
"Deebo Samuel","SF","4.8","57.0","0.4","0.5","3.8","0.0","0.1","8.8"
"Golden Tate","NYG","5.4","62.2","0.4","0.4","3.3","0.0","0.1","8.6"
"Alshon Jeffery","PHI","4.5","52.6","0.5","0.1","0.5","0.0","0.0","8.4"
"Marvin Jones","DET","3.9","51.7","0.5","0.2","0.9","0.0","0.0","8.2"
"Marquise Brown","BAL","3.9","54.7","0.2","0.6","4.4","0.0","0.0","7.2"
"Curtis Samuel","CAR","4.0","50.6","0.2","0.5","4.8","0.1","0.0","7.2"
"Robert Woods","LAR","4.2","54.2","0.1","0.7","4.4","0.0","0.0","6.8"
"Will Fuller","HOU","3.6","51.4","0.2","0.1","0.6","0.0","0.0","6.7"
"James Washington","PIT","4.0","55.6","0.2","0.1","0.5","0.0","0.1","6.6"
"Tyler Boyd","CIN","4.9","55.5","0.1","0.3","1.8","0.0","0.0","6.5"
"Emmanuel Sanders","SF","4.1","50.2","0.2","0.1","0.9","0.0","0.0","6.5"
"Brandin Cooks","LAR","3.4","49.6","0.2","0.4","2.6","0.0","0.0","6.2"
"Darius Slayton","NYG","3.5","47.0","0.2","0.4","3.2","0.0","0.0","6.1"
"Sterling Shepard","NYG","3.9","49.6","0.1","0.4","2.4","0.0","0.0","6.0"
"Kenny Stills","HOU","3.5","46.1","0.2","0.0","0.0","0.0","0.0","5.9"
"Diontae Johnson","PIT","3.4","45.5","0.2","0.4","2.2","0.0","0.1","5.8"
"Robby Anderson","NYJ","3.0","45.1","0.2","0.1","0.7","0.0","0.0","5.8"
"A.J. Brown","TEN","3.1","47.4","0.2","0.2","0.6","0.0","0.0","5.8"
"Corey Davis","TEN","3.6","47.4","0.2","0.1","0.8","0.0","0.0","5.8"
"Dede Westbrook","JAC","4.6","47.9","0.1","0.4","3.2","0.0","0.1","5.8"
"Taylor Gabriel","CHI","3.6","41.2","0.2","0.5","3.0","0.0","0.0","5.7"
"Demaryius Thomas","NYJ","4.1","47.0","0.2","0.0","0.0","0.0","0.0","5.6"
"Cole Beasley","BUF","4.3","43.8","0.2","0.1","0.5","0.0","0.0","5.4"
"Chris Conley","JAC","3.6","47.0","0.1","0.0","0.0","0.0","0.0","5.4"
"Randall Cobb","DAL","3.8","45.1","0.1","0.2","0.8","0.0","0.0","5.3"
"Zach Pascal","IND","3.3","40.5","0.2","0.2","1.3","0.0","0.0","5.2"
"Alex Erickson","CIN","3.6","42.8","0.1","0.5","2.6","0.0","0.1","5.1"
"Hunter Renfrow","OAK","3.9","41.8","0.1","0.0","0.0","0.0","0.0","5.1"
"Nelson Agholor","PHI","3.2","37.4","0.2","0.2","1.4","0.0","0.0","4.9"
"Ted Ginn","NO","2.6","35.4","0.1","0.5","3.5","0.0","0.0","4.8"
"Russell Gage","ATL","3.7","37.8","0.2","0.2","0.5","0.0","0.1","4.7"
"Josh Gordon","SEA","2.4","37.2","0.1","0.0","0.1","0.0","0.0","4.5"
"Allen Hurns","MIA","2.8","38.1","0.1","0.0","0.0","0.0","0.0","4.5"
"Danny Amendola","DET","3.5","37.2","0.1","0.0","0.1","0.0","0.0","4.4"
"John Ross","CIN","1.5","26.5","0.3","0.2","0.7","0.0","0.1","4.3"
"Adam Humphries","TEN","3.2","34.6","0.1","0.2","0.9","0.0","0.0","4.3"
"Anthony Miller","CHI","2.6","33.0","0.1","0.3","1.4","0.0","0.1","4.1"
"Jakeem Grant","MIA","2.4","31.1","0.1","0.5","2.7","0.0","0.1","4.1"
"Phillip Dorsett","NE","2.6","30.4","0.1","0.2","1.0","0.0","0.0","4.0"
"Albert Wilson","MIA","2.6","29.5","0.1","0.3","1.3","0.0","0.0","3.9"
"Tim Patrick","DEN","2.5","30.8","0.1","0.2","1.7","0.0","0.0","3.7"
"Paul Richardson","WAS","2.3","28.5","0.1","0.1","0.2","0.0","0.0","3.7"
"Allen Lazard","GB","2.3","29.3","0.1","0.3","1.8","0.0","0.0","3.6"
"Breshad Perriman","TB","1.9","27.6","0.1","0.1","0.6","0.0","0.0","3.5"
"N'Keal Harry","NE","2.5","27.6","0.1","0.1","0.4","0.0","0.0","3.4"
"Willie Snead","BAL","2.3","27.8","0.1","0.1","0.4","0.0","0.0","3.3"
"Marquez Valdes-Scantling","GB","1.8","27.6","0.1","0.1","0.9","0.0","0.0","3.3"
"Kendrick Bourne","SF","2.1","25.1","0.1","0.0","0.0","0.0","0.0","3.3"
"Tre'Quan Smith","NO","1.7","23.7","0.1","0.0","0.1","0.0","0.0","3.3"
"Isaiah McKenzie","BUF","2.0","22.3","0.1","0.3","2.0","0.0","0.0","3.1"
"Auden Tate","CIN","2.0","27.7","0.1","0.0","0.0","0.0","0.1","3.0"
"Kelvin Harmon","WAS","2.1","22.4","0.1","0.3","2.0","0.0","0.0","3.0"
"Tajae Sharpe","TEN","1.6","20.9","0.1","0.1","0.7","0.0","0.0","2.9"
"Johnny Holton","PIT","1.6","22.7","0.1","0.2","1.3","0.0","0.1","2.9"
"Scott Miller","TB","1.7","23.6","0.1","0.1","0.9","0.0","0.0","2.9"
"Trey Quinn","WAS","2.7","24.0","0.1","0.2","1.0","0.0","0.1","2.8"
"Geronimo Allison","GB","2.0","24.4","0.1","0.1","0.4","0.0","0.1","2.8"
"Jakobi Meyers","NE","2.0","21.5","0.1","0.1","0.8","0.0","0.0","2.8"
"Zay Jones","OAK","2.1","22.2","0.1","0.1","0.3","0.0","0.0","2.8"
"Justin Hardy","ATL","2.1","21.5","0.1","0.0","0.3","0.0","0.0","2.8"
"Keelan Cole","JAC","1.7","22.6","0.1","0.1","0.3","0.0","0.1","2.7"
"Rashard Higgins","CLE","1.5","20.1","0.1","0.0","0.1","0.0","0.0","2.7"
"Chester Rogers","IND","2.1","21.5","0.1","0.2","1.3","0.0","0.0","2.6"
"Jarius Wright","CAR","1.7","20.6","0.0","0.1","0.9","0.0","0.0","2.4"
