,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
112,Caleb Wilson,PHI,3.5,3.5,3.5,36.7,36.7,36.7,0.2,0.2,0.2,0.0,0.0,0.0,4.9,4.9,4.9,draft,2021,TE
113,Deon Yelder,WAS,4.0,1.2,2.6,44.6,14.1,29.3,0.3,0.2,0.2,0.0,0.0,0.0,6.1,2.1,4.2,draft,2021,TE
114,Zach Gentry,PIT,4.6,0.9,2.7,48.5,8.7,28.6,0.4,0.0,0.2,0.0,0.0,0.0,7.2,1.4,4.1,draft,2021,TE
115,Dominique Dafney,GB,4.0,0.8,2.4,42.9,8.6,25.8,0.4,0.1,0.2,0.0,0.0,0.0,6.3,1.4,3.8,draft,2021,TE
116,Garrett Griffin,NO,3.7,0.9,2.3,42.5,9.2,25.8,0.3,0.0,0.2,0.0,0.0,0.0,6.3,1.4,3.7,draft,2021,TE
117,Brandon Dillon,MIN,3.6,0.8,2.2,39.6,8.0,23.8,0.3,0.0,0.2,0.0,0.0,0.0,6.0,1.3,3.4,draft,2021,TE
118,Jesper Horsted,CHI,3.7,0.8,2.3,40.0,8.5,24.2,0.3,0.0,0.1,0.0,0.0,0.0,5.7,1.3,3.3,draft,2021,TE
119,Cethan Carter,MIA,4.1,0.9,2.5,41.2,7.2,24.2,0.2,0.0,0.1,0.0,0.0,0.0,5.5,1.2,3.1,draft,2021,TE
120,Kaden Smith,NYG,4.1,0.9,2.5,36.4,7.5,22.0,0.3,0.0,0.1,0.0,0.0,0.0,5.2,1.2,2.9,draft,2021,TE
121,Ricky Seals-Jones,WAS,1.5,1.5,1.5,18.3,18.3,18.3,0.2,0.2,0.2,0.0,0.0,0.0,2.6,2.6,2.9,draft,2021,TE
122,Tanner Hudson,TB,2.1,0.9,1.5,23.1,8.4,15.7,0.2,0.1,0.1,0.0,0.0,0.0,3.6,1.4,2.4,draft,2021,TE
123,Lee Smith,ATL,2.2,0.9,1.5,21.2,7.4,14.3,0.2,0.0,0.1,0.0,0.0,0.0,3.2,1.2,2.0,draft,2021,TE
124,Trevon Wesco,NYJ,1.9,0.9,1.4,20.0,8.6,14.3,0.1,0.0,0.1,0.0,0.0,0.0,2.7,1.3,1.8,draft,2021,TE
125,Eric Tomlinson,BAL,1.6,0.7,1.2,16.8,6.7,11.7,0.2,0.0,0.1,0.0,0.0,0.0,2.6,1.1,1.6,draft,2021,TE
126,Codey McElroy,TB,0.9,0.9,0.9,8.5,8.5,8.5,0.1,0.1,0.1,0.0,0.0,0.0,1.4,1.4,1.4,draft,2021,TE
127,Isaac Nauta,GB,0.8,0.8,0.8,8.4,8.4,8.4,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.2,draft,2021,TE
128,Kevin Rader,PIT,0.9,0.9,0.9,8.7,8.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.1,draft,2021,TE
129,Daniel Brown,NYJ,0.9,0.9,0.9,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.0,draft,2021,TE
130,Tyrone Swoopes,WAS,0.9,0.9,0.9,9.6,9.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.0,draft,2021,TE
131,Sean McKeon,DAL,0.9,0.9,0.9,9.6,9.6,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,1.0,draft,2021,TE
132,Jordan Franks,CLE,0.8,0.8,0.8,8.1,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.9,draft,2021,TE
133,MyCole Pruitt,SF,0.9,0.9,0.9,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.8,draft,2021,TE
134,Tim Tebow,JAC,0.9,0.9,0.9,8.4,8.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.8,draft,2021,TE
135,Hakeem Butler,PHI,0.8,0.8,0.8,8.4,8.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.8,draft,2021,TE
136,Jake Butt,CHI,0.8,0.8,0.8,8.3,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.8,draft,2021,TE
137,Antony Auclair,HOU,0.8,0.8,0.8,7.9,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.8,draft,2021,TE
138,Cole Hikutini,NYG,0.8,0.8,0.8,7.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.7,draft,2021,TE
139,Colin Thompson,CAR,0.7,0.7,0.7,6.8,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.7,draft,2021,TE
