,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
24,Kenny Golladay,NYG,80.9,64.0,70.9,1135.9,991.0,1057.8,8.0,6.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.7,151.3,135.1,144.5,draft,2021,WR
25,Tee Higgins,CIN,86.0,75.0,79.2,1137.9,1002.9,1062.4,7.0,6.0,6.4,5.0,0.0,2.3,27.0,0.0,12.3,0.1,0.0,0.0,0.5,1.0,0.8,152.0,138.0,144.3,draft,2021,WR
26,Brandon Aiyuk,SF,80.0,61.0,73.0,1041.0,795.0,929.8,7.4,5.0,6.4,28.0,6.0,14.1,157.0,31.2,79.8,1.0,0.2,0.7,0.4,1.0,0.7,167.8,122.7,141.9,draft,2021,WR
27,Ja'Marr Chase,CIN,83.1,64.0,73.3,1210.0,879.0,1063.0,6.5,6.0,6.1,3.9,0.0,1.5,23.7,0.0,8.2,0.1,0.0,0.0,0.5,2.0,1.2,157.9,123.9,141.7,draft,2021,WR
28,Chase Claypool,PIT,83.4,54.0,70.0,1020.5,765.0,900.4,8.0,6.0,6.9,24.0,0.0,8.2,130.0,0.0,43.9,2.0,0.0,0.6,0.7,1.0,0.9,157.2,112.5,137.8,draft,2021,WR
29,Diontae Johnson,PIT,100.0,88.0,94.7,1009.0,963.9,985.7,7.5,5.8,6.3,6.0,3.7,4.4,33.0,19.7,27.2,0.2,0.0,0.1,0.9,2.0,1.4,140.8,137.1,136.8,draft,2021,WR
30,DJ Chark,JAC,84.0,70.4,74.5,1095.0,952.0,993.4,8.0,5.5,6.3,1.0,0.0,0.3,13.0,0.0,3.3,0.0,0.0,0.0,0.3,1.0,0.6,158.8,127.8,136.4,draft,2021,WR
31,Brandin Cooks,HOU,78.8,68.0,73.5,1099.2,966.5,1036.4,6.0,4.7,5.2,3.0,0.0,0.8,27.0,0.0,6.8,0.0,0.0,0.0,0.3,1.0,0.7,144.7,127.6,134.4,draft,2021,WR
32,Deebo Samuel,SF,74.0,69.0,71.8,982.8,859.0,918.2,5.3,4.0,4.8,20.0,5.8,13.2,200.0,29.6,98.3,2.0,0.0,0.7,0.6,1.0,0.8,152.5,122.6,133.0,draft,2021,WR
33,Robby Anderson,CAR,84.3,75.0,80.3,1028.0,939.2,989.8,6.3,4.4,5.2,3.7,0.0,2.5,20.3,0.0,12.3,0.2,0.0,0.1,0.6,1.0,0.8,134.0,127.7,130.1,draft,2021,WR
34,JuJu Smith-Schuster,PIT,103.0,80.0,90.0,959.0,841.7,907.2,7.0,6.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.9,137.9,122.2,129.5,draft,2021,WR
35,Jerry Jeudy,DEN,75.7,61.0,69.0,1072.0,879.0,985.5,5.6,5.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.8,137.2,117.9,128.3,draft,2021,WR
36,Michael Gallup,DAL,66.9,60.0,63.3,981.6,875.0,931.6,6.6,5.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.6,137.1,123.5,127.3,draft,2021,WR
37,Tyler Boyd,CIN,89.0,79.0,83.3,1010.0,865.0,925.7,6.0,4.7,5.3,4.0,0.0,2.1,36.0,0.0,15.6,0.1,0.0,0.0,0.6,1.0,0.8,140.6,116.5,124.4,draft,2021,WR
38,Marquise Brown,BAL,63.5,57.4,60.5,870.9,742.2,814.5,8.0,6.1,6.9,2.8,0.0,1.8,14.5,0.0,9.4,0.2,0.0,0.1,0.2,1.0,0.6,135.8,112.9,123.0,draft,2021,WR
39,Curtis Samuel,WAS,73.9,51.0,63.3,876.6,613.0,745.9,6.0,4.0,4.9,53.0,8.7,24.7,265.0,46.8,129.1,2.0,0.4,1.1,0.4,1.0,0.7,138.3,99.9,121.8,draft,2021,WR
40,Laviska Shenault,JAC,79.7,58.0,70.2,893.6,677.0,773.6,5.0,4.7,4.9,31.0,13.0,20.2,193.0,55.0,112.3,1.0,0.0,0.6,0.4,1.0,0.7,129.2,103.2,119.8,draft,2021,WR
41,Jarvis Landry,CLE,77.7,68.0,73.4,970.0,828.0,880.1,5.6,4.0,5.0,4.7,0.0,2.0,28.7,0.0,10.1,1.0,0.0,0.3,0.6,1.0,0.8,134.1,106.8,119.4,draft,2021,WR
42,DeVante Parker,MIA,72.7,60.8,67.1,972.0,743.0,857.8,7.0,4.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.7,133.2,98.6,118.8,draft,2021,WR
43,Mike Williams,LAC,59.9,47.0,53.5,960.0,735.0,879.0,5.9,4.0,5.2,1.0,0.0,0.3,2.0,0.0,0.5,0.0,0.0,0.0,0.2,1.0,0.6,131.0,103.5,117.8,draft,2021,WR
44,DeVonta Smith,PHI,71.2,56.0,63.7,961.9,754.0,900.2,5.2,4.0,4.8,2.1,0.0,1.0,12.6,0.0,6.2,0.1,0.0,0.0,0.4,2.0,1.2,127.7,99.4,117.2,draft,2021,WR
45,TY Hilton,IND,72.0,56.2,62.2,911.0,778.9,828.2,8.0,5.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.6,139.1,107.6,116.3,draft,2021,WR
46,Will Fuller,MIA,80.0,48.0,66.8,984.0,646.0,850.0,6.2,4.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.6,134.4,88.6,115.6,draft,2021,WR
47,Corey Davis,NYJ,71.0,67.0,68.1,928.1,848.0,885.5,5.0,3.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.8,118.1,102.8,111.4,draft,2021,WR
48,Marvin Jones,JAC,81.0,41.0,60.4,878.0,562.0,768.1,8.0,3.0,5.4,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.6,135.8,74.2,107.8,draft,2021,WR
49,Mecole Hardman,KC,55.1,49.0,51.8,800.9,667.0,722.5,7.0,4.7,5.5,7.0,5.0,6.4,49.3,34.3,43.7,0.3,0.0,0.1,0.4,3.0,1.7,118.4,100.9,106.7,draft,2021,WR
50,Antonio Brown,TB,71.0,38.0,60.3,747.7,481.0,674.3,7.0,4.0,6.0,6.0,0.0,2.0,33.0,0.0,11.4,0.1,0.0,0.0,0.3,1.0,0.6,118.6,72.1,103.1,draft,2021,WR
51,Henry Ruggs,LV,55.8,44.0,49.4,822.6,646.0,759.9,4.7,3.9,4.1,13.1,0.0,7.6,73.6,0.0,42.0,0.3,0.0,0.1,0.4,3.0,1.7,118.6,88.6,102.5,draft,2021,WR
52,Jaylen Waddle,MIA,66.5,41.0,57.2,867.0,535.0,758.1,5.1,4.0,4.7,2.0,0.0,1.0,12.3,0.0,5.6,0.1,0.0,0.0,0.4,2.0,1.2,117.7,77.5,102.1,draft,2021,WR
53,Cole Beasley,BUF,79.0,54.0,65.1,894.0,635.0,751.1,5.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.6,119.4,87.5,100.8,draft,2021,WR
54,Tyrell Williams,DET,56.0,51.4,53.9,918.0,690.7,781.1,5.0,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.7,121.8,89.7,100.7,draft,2021,WR
55,Breshad Perriman,DET,59.0,46.0,51.4,769.2,736.1,751.1,4.0,3.7,3.9,3.8,0.0,1.9,22.5,0.0,11.3,0.1,0.0,0.0,0.0,0.2,0.1,102.5,97.5,99.6,draft,2021,WR
56,Michael Pittman,IND,66.0,44.0,56.6,958.0,585.0,743.9,5.2,3.0,4.0,5.0,0.9,3.4,40.0,4.8,22.5,0.2,0.0,0.0,0.4,1.0,0.7,123.8,78.4,99.6,draft,2021,WR
57,Darnell Mooney,CHI,71.0,48.0,61.2,796.2,577.0,724.4,5.0,3.0,4.2,4.1,2.0,3.3,22.3,15.5,18.7,0.2,0.0,0.1,0.4,1.0,0.7,109.5,77.4,98.3,draft,2021,WR
58,Jalen Reagor,PHI,62.0,44.0,54.5,864.3,556.0,736.1,4.6,3.0,3.9,6.3,0.0,3.1,36.0,0.0,17.6,0.2,0.0,0.1,0.4,1.0,0.7,117.6,73.6,97.7,draft,2021,WR
59,Emmanuel Sanders,BUF,78.0,42.5,56.1,948.0,496.8,684.1,6.0,3.7,4.9,4.3,0.0,1.1,23.0,0.0,6.7,0.2,0.0,0.1,0.3,1.0,0.6,131.2,71.1,97.3,draft,2021,WR
60,Russell Gage,ATL,80.0,51.0,66.6,813.0,577.0,722.1,4.4,3.7,4.0,4.0,0.0,1.5,13.0,0.0,6.3,0.1,0.0,0.0,0.2,1.0,0.6,106.9,81.7,95.9,draft,2021,WR
61,Nelson Agholor,NE,55.0,38.9,49.9,822.4,529.8,709.1,6.0,3.0,4.3,1.0,0.0,0.3,5.0,0.0,1.3,0.0,0.0,0.0,0.4,1.0,0.7,113.2,70.5,95.6,draft,2021,WR
62,Gabriel Davis,BUF,49.0,38.0,42.8,696.0,525.0,631.6,7.0,3.0,5.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,111.6,70.5,93.0,draft,2021,WR
63,Allen Lazard,GB,52.6,36.0,47.9,755.0,486.0,661.9,4.9,3.0,4.1,3.0,0.0,1.3,26.0,0.0,9.7,0.1,0.0,0.0,0.3,1.0,0.6,103.6,66.6,90.4,draft,2021,WR
