,Player,POS,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Christian McCaffrey,RB1,CAR,351.4,250.2,297.7,1615.6,1066.4,1304.2,13.0,10.4,12.1,109.0,85.8,96.9,938.0,683.0,787.9,5.0,2.5,4.3,1.0,4.0,2.5,338.6,250.6,302.2,draft,2021,FLEX
1,Dalvin Cook,RB2,MIN,340.6,296.0,317.4,1600.3,1353.7,1490.2,15.0,11.6,13.0,66.2,46.0,56.0,574.7,385.0,481.7,3.4,1.0,2.0,1.8,4.0,2.9,311.6,251.1,281.2,draft,2021,FLEX
2,Derrick Henry,RB3,TEN,366.9,323.0,344.4,1770.7,1557.4,1687.0,16.2,13.4,14.4,30.9,21.0,25.8,238.1,145.0,191.8,1.6,1.0,1.2,1.3,4.0,2.7,304.2,259.5,275.8,draft,2021,FLEX
3,Alvin Kamara,RB4,NO,234.0,177.0,206.9,1068.9,813.0,945.7,12.5,7.4,9.7,88.0,72.4,77.9,677.0,655.0,666.4,4.2,3.0,3.4,0.8,3.0,1.9,271.6,217.6,236.2,draft,2021,FLEX
4,Saquon Barkley,RB5,NYG,289.7,241.0,272.9,1334.2,1156.0,1261.8,11.0,8.0,9.4,65.7,50.0,57.8,490.9,422.0,448.2,2.9,1.0,2.0,0.7,3.0,1.8,265.8,217.8,235.7,draft,2021,FLEX
5,Jonathan Taylor,RB6,IND,298.8,253.0,275.3,1405.9,1215.0,1280.6,14.6,8.0,11.0,51.0,34.9,42.3,404.0,264.1,325.6,2.0,1.6,1.9,0.9,3.0,1.9,264.6,214.0,234.0,draft,2021,FLEX
6,Tyreek Hill,WR1,KC,15.0,9.5,12.9,96.4,51.9,81.8,1.0,0.4,0.8,111.3,93.0,100.7,1599.0,1296.0,1440.3,13.8,10.2,12.2,0.4,1.0,0.7,250.1,213.7,229.3,draft,2021,FLEX
7,Nick Chubb,RB7,CLE,312.3,222.0,274.3,1644.0,1110.0,1374.5,13.1,10.0,11.1,34.7,22.0,28.6,280.4,198.0,226.9,1.5,0.0,1.0,0.9,3.0,1.9,257.8,198.3,228.7,draft,2021,FLEX
8,Aaron Jones,RB8,GB,266.7,205.8,231.1,1235.9,1003.7,1120.1,11.4,8.6,10.3,57.2,44.0,50.1,437.0,342.0,392.0,3.0,2.0,2.6,1.3,3.0,2.1,244.1,209.6,224.3,draft,2021,FLEX
9,Ezekiel Elliott,RB9,DAL,299.0,266.7,282.1,1235.0,1121.6,1204.5,10.0,8.0,9.5,58.9,45.0,51.9,468.8,310.0,383.5,3.4,2.0,2.3,1.9,4.0,2.9,245.8,219.0,223.9,draft,2021,FLEX
10,Davante Adams,WR2,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,114.1,123.6,1666.0,1337.8,1492.7,15.0,11.0,12.6,0.6,1.0,0.8,256.6,205.6,223.3,draft,2021,FLEX
11,Joe Mixon,RB10,CIN,303.6,261.6,278.1,1334.9,1050.5,1172.1,9.3,7.5,8.2,54.7,48.0,50.2,410.6,339.0,368.3,5.0,1.9,2.9,1.0,3.0,2.0,244.9,193.7,216.5,draft,2021,FLEX
12,Najee Harris,RB11,PIT,297.9,237.0,259.5,1390.5,1029.0,1153.4,11.3,6.0,8.6,63.0,42.0,49.8,466.0,308.6,368.3,3.0,1.8,2.2,1.1,4.0,2.6,247.7,193.8,212.1,draft,2021,FLEX
13,Antonio Gibson,RB12,WAS,293.0,218.0,245.4,1340.1,991.0,1103.3,11.4,9.0,9.9,48.0,42.0,45.6,363.4,275.0,331.8,2.0,0.0,1.4,1.2,3.0,2.1,247.3,186.6,206.8,draft,2021,FLEX
14,Austin Ekeler,RB13,LAC,215.6,156.0,180.8,995.7,699.0,822.2,7.2,3.0,4.7,93.0,74.7,80.4,906.0,611.0,698.8,8.0,2.9,4.9,1.1,2.0,1.6,234.7,183.2,206.8,draft,2021,FLEX
15,Stefon Diggs,WR3,BUF,4.7,0.0,2.4,27.0,0.0,15.5,0.2,0.0,0.1,129.7,100.0,113.6,1581.0,1343.0,1479.6,11.3,8.0,9.2,0.5,2.0,1.2,227.0,182.3,202.7,draft,2021,FLEX
16,Travis Kelce,TE1,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,95.0,112.6,1535.0,1220.0,1405.5,11.0,8.0,10.1,0.6,1.0,0.8,219.5,170.0,199.8,draft,2021,FLEX
17,Calvin Ridley,WR4,ATL,6.1,4.0,4.8,31.3,22.9,26.3,0.2,0.0,0.1,106.6,95.4,99.7,1507.4,1380.0,1425.8,11.0,7.6,9.1,0.6,1.0,0.8,210.5,185.4,198.7,draft,2021,FLEX
18,D'Andre Swift,RB14,DET,246.3,188.0,206.6,1120.9,811.3,905.8,11.0,5.9,8.4,69.0,46.0,60.0,531.0,339.0,447.1,2.4,2.0,2.1,1.7,3.0,2.3,225.9,168.4,193.3,draft,2021,FLEX
19,Clyde Edwards-Helaire,RB15,KC,250.6,203.8,221.3,1143.8,896.2,996.0,8.5,6.0,7.2,57.8,44.0,50.5,426.1,361.0,390.4,3.3,1.0,2.2,0.5,3.0,1.8,228.2,176.3,191.6,draft,2021,FLEX
20,Chris Carson,RB16,SEA,265.8,201.0,228.2,1203.2,945.0,1045.5,8.1,6.0,7.3,46.0,39.3,43.4,337.3,285.1,321.1,3.0,1.9,2.4,1.2,3.0,2.1,217.6,181.8,190.8,draft,2021,FLEX
21,JK Dobbins,RB17,BAL,244.1,189.0,209.7,1186.0,943.1,1066.1,11.0,7.0,9.3,36.0,26.0,31.2,287.5,177.0,237.5,2.2,0.0,1.2,1.1,2.0,1.6,219.0,162.2,190.3,draft,2021,FLEX
