,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
73,Rhamondre Stevenson,NE,100.0,23.7,60.6,459.0,98.9,263.9,4.0,1.0,2.1,14.0,3.9,9.6,116.0,30.6,72.3,1.0,0.0,0.4,0.1,2.0,1.1,87.5,19.8,46.4,draft,2021,RB
74,Rex Burkhead,HOU,72.0,7.9,35.7,307.0,33.2,150.7,3.0,0.2,1.4,35.0,2.1,16.7,348.0,17.2,158.2,3.0,0.2,1.3,0.1,1.0,0.6,101.5,7.0,45.7,draft,2021,RB
75,Trayveon Williams,CIN,107.0,27.3,54.7,455.0,119.8,234.7,3.0,0.7,1.5,31.0,7.5,15.9,254.0,53.3,125.2,1.0,0.3,0.6,0.2,3.0,1.6,94.9,24.0,45.1,draft,2021,RB
76,Kyle Juszczyk,SF,17.0,9.6,13.9,60.3,40.8,52.8,1.0,0.2,0.7,35.0,12.0,21.9,407.0,118.1,230.8,5.0,0.7,2.0,0.3,1.0,0.7,82.0,21.1,43.0,draft,2021,RB
77,DeeJay Dallas,SEA,97.0,11.1,46.7,372.0,47.8,186.3,3.0,0.3,1.6,32.0,5.2,14.5,243.0,36.9,107.1,2.0,0.0,0.7,0.2,1.0,0.6,91.5,12.1,41.9,draft,2021,RB
78,Boston Scott,PHI,64.0,20.9,40.0,255.0,91.1,168.6,2.0,0.7,1.4,26.0,8.1,18.3,214.0,66.3,144.4,1.0,0.0,0.5,0.2,1.0,0.6,62.1,21.0,41.0,draft,2021,RB
79,Benny Snell,PIT,94.0,20.1,62.5,330.0,82.5,232.0,3.0,0.6,1.8,10.2,4.0,7.0,73.8,25.0,48.3,0.4,0.0,0.2,0.3,1.0,0.7,53.5,16.8,38.6,draft,2021,RB
80,Mike Boone,DEN,65.0,32.1,48.0,344.0,144.0,228.2,3.0,0.9,1.8,11.0,2.0,6.4,81.0,8.0,43.2,0.4,0.0,0.1,0.1,1.0,0.6,53.2,23.7,37.5,draft,2021,RB
81,Samaje Perine,CIN,63.8,27.0,48.9,260.8,130.0,207.0,2.0,1.0,1.4,19.2,1.0,9.1,136.4,8.0,61.7,0.6,0.0,0.2,0.0,0.2,0.1,43.1,25.8,36.4,draft,2021,RB
82,Peyton Barber,WAS,77.0,38.3,55.9,259.0,142.2,198.2,3.0,1.1,2.1,6.0,4.5,5.0,34.2,31.3,32.9,0.2,0.0,0.1,0.1,1.0,0.6,47.2,24.8,35.2,draft,2021,RB
83,Matt Breida,BUF,95.0,19.9,43.6,414.0,87.4,189.3,2.0,0.4,1.0,24.0,3.0,9.6,190.0,26.0,76.7,1.0,0.0,0.4,0.2,2.0,1.1,78.4,18.8,32.7,draft,2021,RB
84,Brandon Bolden,NE,22.0,17.8,19.9,124.0,77.1,100.6,4.0,0.6,2.3,5.0,4.8,4.9,63.0,37.0,50.0,1.0,0.2,0.6,0.0,0.0,0.0,48.7,16.6,32.5,draft,2021,RB
85,Carlos Hyde,JAC,90.0,18.6,52.5,366.0,75.1,212.8,3.0,0.5,1.4,12.0,0.9,6.3,57.0,5.0,36.7,0.2,0.0,0.0,0.2,1.0,0.6,60.3,11.2,32.4,draft,2021,RB
86,Brian Hill,TEN,118.0,19.3,45.6,661.0,84.7,234.5,3.0,0.0,1.0,8.0,0.0,4.8,70.0,0.0,35.2,0.3,0.0,0.1,0.1,1.0,0.6,91.1,11.7,32.3,draft,2021,RB
87,Javian Hawkins,ATL,46.0,46.0,46.0,189.5,189.5,189.5,1.5,1.5,1.5,4.6,4.6,4.6,35.4,35.4,35.4,0.1,0.1,0.1,0.2,0.2,0.2,31.7,31.7,31.6,draft,2021,RB
88,Johnny Stanton,CLE,20.0,20.0,20.0,100.0,100.0,100.0,1.0,1.0,1.0,9.0,9.0,9.0,71.0,71.0,71.0,1.0,1.0,1.0,0.0,0.0,0.0,29.1,29.1,29.1,draft,2021,RB
89,Larry Rountree,LAC,32.8,32.8,32.8,137.7,137.7,137.7,1.3,1.3,1.3,4.6,4.6,4.6,34.9,34.9,34.9,0.2,0.2,0.2,0.1,0.1,0.1,25.5,25.5,25.5,draft,2021,RB
90,Jalen Richard,LV,34.0,11.5,21.5,149.0,51.9,93.9,1.0,0.0,0.4,33.0,9.0,15.1,245.0,77.0,119.8,1.0,0.0,0.4,0.1,1.0,0.6,40.2,16.7,25.3,draft,2021,RB
91,Jermar Jefferson,DET,33.0,26.9,29.9,133.0,111.6,122.3,1.0,0.7,0.9,12.0,6.9,9.4,88.0,51.7,69.9,0.2,0.0,0.1,0.1,0.1,0.1,28.1,21.7,24.7,draft,2021,RB
92,La'Mical Perine,NYJ,54.1,15.0,34.5,228.6,62.5,145.5,1.6,0.4,1.0,4.5,4.1,4.3,31.6,31.3,31.4,0.2,0.1,0.2,0.2,0.2,0.2,36.1,13.1,24.3,draft,2021,RB
93,Elijah Mitchell,SF,35.0,18.9,26.9,170.0,79.4,124.7,1.0,0.6,0.8,7.6,4.0,5.8,59.8,45.0,52.4,0.3,0.0,0.2,0.0,0.1,0.1,27.5,19.4,23.5,draft,2021,RB
94,Raymond Calais,LAR,25.9,25.2,25.6,110.8,104.8,107.8,1.4,0.8,1.1,6.9,4.4,5.7,55.3,33.2,44.2,0.3,0.3,0.3,0.1,0.1,0.1,25.4,20.4,23.0,draft,2021,RB
95,Jaylen Samuels,PIT,32.9,15.4,24.1,138.4,63.8,101.1,0.8,0.4,0.6,10.6,5.2,7.9,72.4,32.8,52.6,0.4,0.3,0.3,0.1,0.1,0.1,23.0,18.1,20.6,draft,2021,RB
96,Anthony McFarland,PIT,55.0,12.3,30.0,187.0,52.9,115.0,1.0,0.0,0.5,10.0,2.9,5.7,79.0,19.4,45.3,0.2,0.0,0.1,0.1,1.0,0.6,29.1,9.9,18.6,draft,2021,RB
97,Jerick McKinnon,KC,27.0,17.6,21.4,128.0,72.3,94.7,0.7,0.0,0.4,9.6,5.1,6.9,75.3,35.0,49.5,0.4,0.0,0.2,0.1,0.1,0.1,21.2,16.3,18.2,draft,2021,RB
98,Kerryon Johnson,PHI,54.3,0.9,26.1,225.8,3.9,102.2,1.9,0.0,0.6,8.2,0.9,3.7,67.9,6.9,29.6,0.3,0.0,0.1,0.3,0.3,0.3,41.8,1.5,16.9,draft,2021,RB
99,Justice Hill,BAL,32.0,2.8,19.7,155.0,12.1,90.2,1.0,0.0,0.6,7.1,1.8,4.6,53.9,12.0,33.3,0.4,0.0,0.2,0.1,0.1,0.1,24.9,3.5,16.8,draft,2021,RB
100,Ameer Abdullah,MIN,23.9,11.7,18.9,97.7,48.8,76.2,0.6,0.0,0.3,12.0,4.0,8.0,91.1,29.4,58.5,0.6,0.0,0.3,0.1,0.1,0.1,25.8,10.7,16.7,draft,2021,RB
101,Jeremy McNichols,TEN,36.0,1.2,21.8,161.0,5.2,96.9,1.0,0.0,0.5,7.8,0.9,4.7,57.9,5.3,31.6,0.4,0.0,0.1,0.0,0.1,0.1,26.9,1.5,16.3,draft,2021,RB
102,Eno Benjamin,ARI,34.0,4.7,22.8,156.0,20.1,97.7,1.2,0.0,0.6,6.6,0.9,3.4,50.6,6.5,27.0,0.2,0.0,0.1,0.0,0.2,0.1,26.2,3.6,16.2,draft,2021,RB
103,Travis Homer,SEA,30.6,4.6,17.8,129.5,20.0,75.2,1.0,0.0,0.4,6.4,5.5,6.0,47.6,39.8,43.8,0.4,0.0,0.2,0.2,0.2,0.2,25.2,8.8,15.2,draft,2021,RB
104,Royce Freeman,DEN,33.0,9.2,20.5,143.0,38.1,87.6,1.0,0.2,0.6,5.0,2.2,3.8,33.0,14.7,24.3,0.2,0.0,0.1,0.0,0.0,0.0,23.6,6.8,15.1,draft,2021,RB
105,Josh Adams,NYJ,28.0,5.1,16.6,135.0,22.1,78.5,2.0,0.2,1.1,1.0,0.9,0.9,6.1,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.9,14.9,draft,2021,RB
106,Dexter Williams,GB,16.1,9.3,12.7,68.9,39.6,54.2,0.5,0.2,0.4,8.7,4.4,6.5,67.0,31.4,49.2,0.4,0.3,0.3,0.1,0.1,0.1,18.7,10.0,14.3,draft,2021,RB
107,Dontrell Hilliard,HOU,23.0,1.9,12.4,82.0,8.0,45.0,2.0,0.0,1.0,9.0,0.9,4.9,66.0,6.2,36.1,0.0,0.0,0.0,0.0,0.0,0.0,26.8,2.0,14.1,draft,2021,RB
108,Lamar Miller,WAS,27.0,0.9,14.9,112.0,3.7,62.1,2.0,0.0,0.8,4.5,0.9,3.1,37.1,7.2,25.4,0.2,0.0,0.1,0.0,0.1,0.0,26.4,1.5,13.9,draft,2021,RB
109,Tony Brooks-James,ATL,33.0,15.0,24.0,139.4,65.0,102.2,0.8,0.0,0.4,2.0,0.9,1.4,16.0,6.3,11.1,0.0,0.0,0.0,0.0,0.0,0.0,19.5,8.1,13.8,draft,2021,RB
110,D'Ernest Johnson,CLE,32.6,2.0,18.5,144.6,8.8,79.5,1.1,0.0,0.4,5.9,0.9,3.6,47.3,6.0,27.4,0.3,0.0,0.1,0.2,0.2,0.2,27.0,2.1,13.1,draft,2021,RB
111,Jordan Howard,PHI,29.0,0.9,14.9,125.0,3.8,64.4,2.0,0.0,1.0,0.9,0.0,0.4,6.2,3.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,24.8,1.4,12.9,draft,2021,RB
112,JaMycal Hasty,SF,35.0,6.1,15.9,189.0,26.3,81.2,1.0,0.1,0.4,2.1,2.0,2.0,14.8,12.0,13.8,0.1,0.0,0.0,0.0,0.0,0.0,26.1,5.7,12.4,draft,2021,RB
113,Rico Dowdle,DAL,33.0,0.9,15.6,137.0,3.8,65.2,1.0,0.0,0.5,4.9,0.9,2.9,38.4,7.0,26.4,0.2,0.0,0.1,0.0,0.1,0.0,23.1,1.4,12.4,draft,2021,RB
114,Ty Montgomery,NO,28.0,2.3,14.3,98.0,9.9,53.9,0.3,0.0,0.1,10.3,2.4,6.2,85.7,19.9,48.9,0.5,0.0,0.2,0.1,0.1,0.1,18.7,4.2,12.1,draft,2021,RB
115,Jordan Wilkins,IND,34.0,4.6,14.7,174.0,19.9,72.9,1.0,0.1,0.4,2.0,1.0,1.7,15.1,8.0,12.3,0.2,0.0,0.1,0.0,0.0,0.0,24.2,4.8,11.6,draft,2021,RB
116,Ke'Shawn Vaughn,TB,21.4,8.2,14.8,91.2,34.5,62.9,0.7,0.2,0.5,2.5,2.4,2.4,18.0,16.2,17.1,0.2,0.1,0.1,0.0,0.0,0.0,15.3,7.2,11.5,draft,2021,RB
117,Trey Edmunds,PIT,12.7,12.7,12.7,55.1,55.1,55.1,0.3,0.3,0.3,3.9,3.9,3.9,25.8,25.8,25.8,0.2,0.2,0.2,0.0,0.0,0.0,11.1,11.1,11.2,draft,2021,RB
118,Kene Nwangwu,MIN,23.0,23.0,23.0,91.0,91.0,91.0,0.0,0.0,0.0,3.0,3.0,3.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,11.2,11.2,draft,2021,RB
119,Gary Brightwell,NYG,20.0,12.3,16.2,88.0,50.9,69.4,0.5,0.0,0.3,3.0,2.1,2.6,22.0,15.8,18.9,0.1,0.0,0.0,0.1,0.1,0.1,11.0,10.0,10.5,draft,2021,RB
120,Alec Ingold,LV,4.6,4.4,4.5,19.3,18.3,18.8,0.2,0.1,0.2,8.4,4.8,6.6,74.3,35.1,54.7,0.4,0.2,0.3,0.1,0.1,0.1,12.1,7.5,9.8,draft,2021,RB
121,Patrick Ricard,BAL,2.0,0.0,1.0,8.5,-3.0,1.8,0.0,0.0,0.0,17.0,2.5,8.8,102.0,16.1,58.1,2.0,0.2,0.8,0.1,1.0,0.5,21.9,3.7,9.8,draft,2021,RB
