,Unnamed: 0,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary,Actual_Points,Ownership
0,0,Jameis Winston,Alvin Kamara,Derrick Henry,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,Patrick Laird,Washington Redskins,144.15200000000004,50000,163.84,1.83%61.28%5.86%51.41%3.18%4.40%18.50%2.52%2.89%
1,1,Jameis Winston,Alvin Kamara,Derrick Henry,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,Duke Johnson,Washington Redskins,143.49200000000005,49800,161.74,1.83%61.28%5.86%51.41%3.18%4.40%18.50%0.53%2.89%
2,2,Jameis Winston,Devonta Freeman,Derrick Henry,Michael Thomas,D.J. Moore,Mike Williams,Jack Doyle,Duke Johnson,Washington Redskins,143.112,50000,169.04,1.83%25.93%5.86%51.41%11.16%4.40%18.50%0.53%2.89%
3,3,Jameis Winston,Derrick Henry,Kenyan Drake,Michael Thomas,D.J. Moore,Mike Williams,Jack Doyle,Patrick Laird,Washington Redskins,142.71200000000002,50000,161.44,1.83%5.86%1.50%51.41%11.16%4.40%18.50%2.52%2.89%
4,4,Jameis Winston,Derrick Henry,Kenyan Drake,Michael Thomas,Jarvis Landry,Mike Williams,Jack Doyle,Duke Johnson,Indianapolis Colts,142.612,50000,162.84,1.83%5.86%1.50%51.41%2.20%4.40%18.50%0.53%25.42%
5,5,Jameis Winston,Derrick Henry,Kenyan Drake,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,Darren Waller,Washington Redskins,142.452,49900,165.94000000000003,1.83%5.86%1.50%51.41%3.18%4.40%18.50%8.84%2.89%
6,6,Jameis Winston,Devonta Freeman,Derrick Henry,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,James White,Washington Redskins,142.412,49800,175.74,1.83%25.93%5.86%51.41%3.18%4.40%18.50%3.82%2.89%
7,7,Jameis Winston,Derrick Henry,Kenyan Drake,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,George Kittle,Washington Redskins,142.332,50000,172.34,1.83%5.86%1.50%51.41%3.18%4.40%18.50%3.13%2.89%
8,8,Jameis Winston,Derrick Henry,Patrick Laird,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,Darren Waller,Indianapolis Colts,142.192,49500,172.84,1.83%5.86%2.52%51.41%3.18%4.40%18.50%8.84%25.42%
9,9,Deshaun Watson,Alvin Kamara,Derrick Henry,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,Duke Johnson,Washington Redskins,142.09799999999998,49900,151.08,36.57%61.28%5.86%51.41%3.18%4.40%18.50%0.53%2.89%
10,10,Jameis Winston,Derrick Henry,Kenyan Drake,Michael Thomas,Christian Kirk,Mike Williams,Darren Waller,Duke Johnson,Indianapolis Colts,142.082,49900,175.74000000000004,1.83%5.86%1.50%51.41%3.18%4.40%8.84%0.53%25.42%
11,11,Jameis Winston,Derrick Henry,Patrick Laird,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,George Kittle,Indianapolis Colts,142.072,49600,179.23999999999998,1.83%5.86%2.52%51.41%3.18%4.40%18.50%3.13%25.42%
12,12,Jameis Winston,Derrick Henry,Kenyan Drake,Michael Thomas,D.J. Moore,Mike Williams,Jack Doyle,Duke Johnson,Washington Redskins,142.05200000000002,49800,159.34,1.83%5.86%1.50%51.41%11.16%4.40%18.50%0.53%2.89%
13,13,Jameis Winston,Derrick Henry,Kenyan Drake,Michael Thomas,Mike Evans,Mike Williams,Jack Doyle,Duke Johnson,Washington Redskins,142.05200000000002,50000,160.34,1.83%5.86%1.50%51.41%2.35%4.40%18.50%0.53%2.89%
14,14,Jameis Winston,Derrick Henry,Kenyan Drake,Michael Thomas,Christian Kirk,Mike Williams,George Kittle,Duke Johnson,Indianapolis Colts,141.96200000000002,50000,182.14000000000001,1.83%5.86%1.50%51.41%3.18%4.40%3.13%0.53%25.42%
15,15,Jameis Winston,Derrick Henry,Patrick Laird,Michael Thomas,Chris Godwin,Mike Williams,Jack Doyle,Duke Johnson,Indianapolis Colts,141.922,49700,170.23999999999998,1.83%5.86%2.52%51.41%3.28%4.40%18.50%0.53%25.42%
16,16,Jameis Winston,Derrick Henry,Patrick Laird,Michael Thomas,Mike Evans,Mike Williams,Jack Doyle,Duke Johnson,Indianapolis Colts,141.792,49600,167.23999999999998,1.83%5.86%2.52%51.41%2.35%4.40%18.50%0.53%25.42%
17,17,Jameis Winston,Derrick Henry,Patrick Laird,Michael Thomas,D.J. Moore,Christian Kirk,Jack Doyle,Mike Williams,Washington Redskins,141.752,50000,168.64,1.83%5.86%2.52%51.41%11.16%3.18%18.50%4.40%2.89%
18,18,Jameis Winston,Christian McCaffrey,Patrick Laird,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,Duke Johnson,Indianapolis Colts,141.732,49700,168.64000000000001,1.83%69.89%2.52%51.41%3.18%4.40%18.50%0.53%25.42%
19,19,Jameis Winston,Derrick Henry,Kenyan Drake,Michael Thomas,Christian Kirk,Jarvis Landry,Jack Doyle,Duke Johnson,Washington Redskins,141.722,50000,161.44,1.83%5.86%1.50%51.41%3.18%2.20%18.50%0.53%2.89%
20,20,Jameis Winston,Derrick Henry,Duke Johnson,Michael Thomas,Jarvis Landry,Mike Williams,Jack Doyle,Darren Waller,Washington Redskins,141.672,49900,161.44,1.83%5.86%0.53%51.41%2.20%4.40%18.50%8.84%2.89%
21,21,Jameis Winston,Derrick Henry,Duke Johnson,Michael Thomas,Christian Kirk,Jarvis Landry,Jack Doyle,Mike Williams,Indianapolis Colts,141.65200000000004,50000,170.04,1.83%5.86%0.53%51.41%3.18%2.20%18.50%4.40%25.42%
22,22,Jameis Winston,Devonta Freeman,Derrick Henry,Michael Thomas,Christian Kirk,Mike Williams,Jack Doyle,Kenyan Drake,Washington Redskins,141.55200000000002,49500,173.04,1.83%25.93%5.86%51.41%3.18%4.40%18.50%1.50%2.89%
23,23,Jameis Winston,Derrick Henry,Duke Johnson,Michael Thomas,Jarvis Landry,Mike Williams,Jack Doyle,George Kittle,Washington Redskins,141.55200000000002,50000,167.83999999999997,1.83%5.86%0.53%51.41%2.20%4.40%18.50%3.13%2.89%
24,24,Jameis Winston,Derrick Henry,Patrick Laird,Michael Thomas,Christian Kirk,Jarvis Landry,Jack Doyle,Duke Johnson,Indianapolis Colts,141.46200000000005,49600,168.33999999999997,1.83%5.86%2.52%51.41%3.18%2.20%18.50%0.53%25.42%
25,25,Jameis Winston,Devonta Freeman,Derrick Henry,Michael Thomas,Jarvis Landry,Mike Williams,Jack Doyle,Patrick Laird,Washington Redskins,141.43200000000002,49700,170.64,1.83%25.93%5.86%51.41%2.20%4.40%18.50%2.52%2.89%
