"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.8","74.2","0.5","0.1","10.4"
"George Kittle","SF","5.9","71.5","0.5","0.1","10.0"
"Darren Waller","OAK","6.6","71.7","0.4","0.1","9.7"
"Zach Ertz","PHI","5.7","62.8","0.6","0.1","9.5"
"Hunter Henry","LAC","4.7","58.3","0.5","0.0","8.9"
"Mark Andrews","BAL","4.3","54.5","0.5","0.0","8.5"
"Jack Doyle","IND","5.5","51.6","0.5","0.1","7.8"
"Jared Cook","NO","4.1","49.2","0.4","0.0","7.1"
"Austin Hooper","ATL","5.2","53.2","0.3","0.1","6.8"
"Mike Gesicki","MIA","4.0","45.4","0.3","0.0","6.5"
"Ryan Griffin","NYJ","3.5","36.7","0.4","0.0","6.2"
"Tyler Higbee","LAR","4.7","46.6","0.2","0.0","5.8"
"Kyle Rudolph","MIN","3.9","40.6","0.3","0.0","5.8"
"Dallas Goedert","PHI","3.9","41.1","0.2","0.1","5.4"
"Noah Fant","DEN","3.7","43.9","0.1","0.0","5.1"
"Jacob Hollister","SEA","3.8","39.4","0.2","0.0","5.1"
"Jason Witten","DAL","3.9","38.3","0.1","0.0","4.5"
"Vance McDonald","PIT","3.4","32.8","0.2","0.0","4.2"
"Darren Fells","HOU","2.7","29.0","0.2","0.0","4.2"
"O.J. Howard","TB","2.7","33.8","0.1","0.0","4.1"
"Jonnu Smith","TEN","2.9","32.0","0.1","0.0","4.0"
"Jimmy Graham","GB","2.5","29.5","0.2","0.0","3.8"
"Irv Smith Jr.","MIN","2.8","30.3","0.1","0.0","3.8"
"David Njoku","CLE","2.4","27.4","0.2","0.0","3.7"
"Ian Thomas","CAR","2.9","30.8","0.1","0.0","3.6"
"Dawson Knox","BUF","2.6","29.9","0.1","0.0","3.4"
"Tyler Eifert","CIN","2.3","24.5","0.1","0.0","3.1"
"Cameron Brate","TB","2.2","22.5","0.1","0.0","3.0"
"Jeremy Sprinkle","WAS","2.3","24.0","0.1","0.0","2.9"
"Anthony Firkser","TEN","1.7","21.1","0.1","0.0","2.8"
"Benjamin Watson","NE","2.1","22.7","0.1","0.0","2.8"
"Jordan Akins","HOU","1.9","22.7","0.1","0.0","2.8"
