Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1772368528,54fighting (13/16),0,205.78,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR Robby Anderson WR Mike Williams TE Ian Thomas DST Steelers ,,Bilal Powell,FLEX,82.88%,10.8
2,1772291293,jcavette1021,0,205.48,QB Deshaun Watson RB Derrick Henry RB Aaron Jones FLEX Joe Mixon WR DeAndre Hopkins WR Robby Anderson WR Mike Williams TE Darren Fells DST Titans ,,Christian McCaffrey,RB,69.89%,24.5
3,1774380783,I_Slewfoot_U (80/150),0,203.56,QB Drew Brees RB Alvin Kamara RB Austin Ekeler WR Michael Thomas WR Diontae Johnson WR Demaryius Thomas TE George Kittle FLEX Jared Cook DST Packers ,,Ian Thomas,TE,63.24%,16.7
4,1774960889,ajanz94 (1/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Kenny Stills,WR,62.16%,2.8
4,1774960928,ajanz94 (2/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Alvin Kamara,RB,61.28%,7.3
4,1774961081,ajanz94 (3/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Michael Thomas,WR,51.41%,33.4
4,1774961518,ajanz94 (4/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,DeAndre Hopkins,WR,43.67%,29.2
4,1774969959,ajanz94 (5/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Jamison Crowder,WR,37.74%,6
4,1774970013,ajanz94 (6/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Deshaun Watson,QB,36.57%,30.08
4,1774970080,ajanz94 (7/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Devonta Freeman,FLEX,25.93%,19.4
4,1774970482,ajanz94 (8/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Colts ,DST,25.42%,11
4,1774970531,ajanz94 (9/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Lamar Jackson,QB,23.25%,20.8
4,1774970628,ajanz94 (10/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Buccaneers ,DST,22.10%,2
4,1774975993,ajanz94 (11/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Ravens ,DST,21.95%,9
4,1774976328,ajanz94 (12/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Jack Doyle,TE,18.50%,4.7
4,1774976359,ajanz94 (13/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Melvin Gordon III,FLEX,14.01%,19.4
4,1774976383,ajanz94 (14/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Derek Carr,QB,13.62%,20.22
4,1774976419,ajanz94 (15/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Parris Campbell,WR,13.28%,4.2
4,1774985392,ajanz94 (16/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Julian Edelman,WR,11.90%,24.3
4,1774985453,ajanz94 (17/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,DJ Moore,WR,11.16%,12.1
4,1774985735,ajanz94 (18/20),0,199.08,QB Deshaun Watson RB Christian McCaffrey RB Aaron Jones FLEX Bilal Powell WR DeAndre Hopkins WR A.J. Brown WR Jamison Crowder TE Ian Thomas DST Colts ,,Sam Darnold,QB,10.64%,18.1
