"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","26.5","17.5","199.8","1.3","0.5","11.7","72.1","0.6","0.2","22.3"
"Deshaun Watson","HOU","32.1","21.6","252.2","1.8","0.8","5.4","29.5","0.3","0.2","19.7"
"Patrick Mahomes","KC","35.9","23.5","292.4","1.7","0.5","3.8","18.5","0.1","0.2","19.6"
"Aaron Rodgers","GB","33.4","22.4","262.4","2.0","0.3","3.3","16.0","0.1","0.2","19.4"
"Russell Wilson","SEA","31.7","21.1","261.2","1.9","0.5","4.5","23.0","0.1","0.2","19.2"
"Carson Wentz","PHI","36.6","23.9","267.5","2.1","0.8","3.6","14.9","0.1","0.3","18.8"
"Jameis Winston","TB","38.1","23.6","301.8","1.9","1.2","3.8","17.5","0.1","0.4","18.7"
"Matt Ryan","ATL","38.3","26.3","297.8","2.0","0.9","1.7","6.7","0.1","0.3","18.5"
"Dak Prescott","DAL","34.5","23.2","277.3","1.6","0.8","3.4","18.1","0.2","0.2","18.4"
"Kirk Cousins","MIN","33.4","23.5","272.9","1.8","0.4","1.7","4.8","0.1","0.3","17.7"
"Tom Brady","NE","38.4","24.8","272.8","1.8","0.5","1.0","1.9","0.1","0.1","17.4"
"Ryan Tannehill","TEN","30.1","20.1","237.5","1.8","0.8","4.3","19.1","0.1","0.3","16.9"
"Sam Darnold","NYJ","34.3","22.1","252.9","1.9","1.1","2.5","8.4","0.1","0.1","16.8"
"Kyler Murray","ARI","35.1","22.5","238.5","1.1","0.8","5.9","33.2","0.2","0.2","16.5"
"Josh Allen","BUF","31.2","18.8","217.7","1.1","0.9","7.1","35.3","0.3","0.2","16.5"
"Drew Brees","NO","34.2","25.2","259.4","1.7","0.5","0.5","1.0","0.0","0.1","16.4"
"Jared Goff","LAR","37.3","23.7","276.1","1.7","0.9","1.7","3.7","0.1","0.2","16.3"
"Ryan Fitzpatrick","MIA","36.6","22.8","259.0","1.6","1.2","3.2","14.3","0.1","0.2","16.2"
"Baker Mayfield","CLE","33.6","21.8","269.0","1.5","1.0","1.6","6.8","0.1","0.2","15.6"
"Philip Rivers","LAC","34.1","22.4","268.1","1.7","0.9","0.8","1.5","0.0","0.1","15.6"
"Jacoby Brissett","IND","34.2","22.1","238.0","1.3","0.7","3.5","13.8","0.2","0.2","15.4"
"Kyle Allen","CAR","38.2","24.0","277.5","1.5","1.0","1.9","6.6","0.0","0.4","15.2"
"Gardner Minshew","JAC","35.7","22.4","245.7","1.4","0.8","4.4","21.4","0.1","0.5","15.2"
"Andy Dalton","CIN","35.2","21.2","243.1","1.4","0.9","2.3","8.1","0.1","0.2","14.4"
"Derek Carr","OAK","33.6","23.5","246.1","1.4","0.7","1.5","4.5","0.1","0.3","14.2"
"Eli Manning","NYG","36.2","22.8","261.0","1.4","0.9","1.2","3.3","0.0","0.3","14.1"
"Mitch Trubisky","CHI","34.6","21.7","223.9","1.2","0.9","3.1","14.7","0.1","0.2","13.6"
"Devlin Hodges","PIT","31.7","20.6","225.5","1.2","0.9","2.9","12.2","0.1","0.2","13.5"
"Jimmy Garoppolo","SF","31.4","20.6","240.7","1.3","0.9","1.9","4.8","0.1","0.3","13.4"
"Drew Lock","DEN","31.5","20.4","235.8","1.1","0.9","2.4","9.3","0.0","0.2","12.5"
"David Blough","DET","34.4","20.9","235.4","1.0","1.1","1.7","6.3","0.0","0.2","11.6"
"Dwayne Haskins","WAS","29.2","17.9","200.7","1.0","1.1","2.5","8.6","0.0","0.2","10.2"
"Tyrod Taylor","LAC","14.6","8.9","96.5","0.3","0.3","1.6","4.7","0.0","0.1","4.9"
"Taysom Hill","NO","6.6","3.9","44.4","0.2","0.1","1.3","4.8","0.0","0.0","2.8"
"Blake Bortles","LAR","5.4","3.0","29.1","0.1","0.2","0.7","1.5","0.0","0.1","1.1"
"Brandon Allen","DEN","4.5","2.6","24.9","0.1","0.2","0.7","2.3","0.0","0.0","1.1"
"Marcus Mariota","TEN","4.9","2.8","26.8","0.1","0.2","0.6","1.5","0.0","0.1","1.0"
"Ryan Finley","CIN","4.3","2.4","24.7","0.1","0.2","0.6","2.1","0.0","0.1","0.9"
"Ryan Griffin","TB","4.8","2.7","25.7","0.1","0.2","0.5","1.0","0.0","0.1","0.9"
"Josh McCown","PHI","4.6","2.6","24.9","0.1","0.2","0.6","1.3","0.0","0.1","0.9"
"Matt Schaub","ATL","6.0","3.3","28.7","0.1","0.2","0.6","0.8","0.0","0.1","0.9"
"Chase Daniel","CHI","4.8","2.8","25.9","0.1","0.2","0.4","0.7","0.0","0.1","0.8"
"Matt Moore","KC","4.6","2.5","24.2","0.1","0.2","0.5","0.9","0.0","0.1","0.8"
"Will Grier","CAR","4.6","2.6","24.2","0.1","0.2","0.4","0.8","0.0","0.1","0.8"
"Robert Griffin","BAL","3.7","2.1","21.3","0.1","0.2","0.7","2.1","0.0","0.1","0.8"
"Mike Glennon","OAK","6.1","3.3","28.9","0.1","0.2","0.7","0.9","0.0","0.1","0.8"
"Brian Hoyer","IND","4.5","2.5","23.2","0.1","0.2","0.6","0.9","0.0","0.1","0.8"
"Teddy Bridgewater","NO","4.1","2.4","21.5","0.1","0.2","0.4","0.9","0.0","0.1","0.7"
"Mason Rudolph","PIT","4.0","2.4","21.7","0.1","0.2","0.3","0.6","0.0","0.1","0.7"
"Nick Foles","JAC","4.3","2.4","22.3","0.1","0.2","0.5","1.3","0.0","0.1","0.7"
"Geno Smith","SEA","7.3","4.2","37.4","0.0","0.4","0.5","0.4","0.0","0.1","0.6"
"Matt Barkley","BUF","6.0","3.1","27.6","0.0","0.2","0.6","0.9","0.0","0.1","0.6"
"Josh Rosen","MIA","3.9","2.3","20.9","0.1","0.2","0.3","0.5","0.0","0.1","0.5"
"Jarrett Stidham","NE","5.5","2.9","25.2","0.0","0.2","0.6","0.8","0.0","0.1","0.5"
"David Fales","NYJ","4.3","2.3","20.4","0.1","0.3","0.5","0.9","0.0","0.1","0.5"
"Nick Mullens","SF","2.1","1.3","12.0","0.1","0.1","0.5","1.2","0.0","0.0","0.5"
"Garrett Gilbert","CLE","3.8","2.2","21.0","0.0","0.2","0.3","0.3","0.0","0.1","0.4"
"AJ McCarron","HOU","3.8","2.3","21.3","0.0","0.2","0.3","0.2","0.0","0.1","0.4"
"Sean Mannion","MIN","4.3","2.3","20.7","0.0","0.2","0.5","0.6","0.0","0.1","0.4"
"Case Keenum","WAS","3.9","2.1","20.0","0.0","0.2","0.4","1.0","0.0","0.1","0.4"
"Brett Hundley","ARI","3.4","1.9","17.2","0.0","0.2","0.4","1.0","0.0","0.1","0.4"
"Chad Henne","KC","1.3","0.7","8.3","0.0","0.0","0.2","0.2","0.0","0.0","0.4"
"Tim Boyle","GB","3.6","2.1","19.0","0.0","0.2","0.3","0.3","0.0","0.1","0.3"
"Kyle Sloter","DET","5.5","3.0","26.6","0.0","0.3","0.6","1.1","0.0","0.1","0.3"
"Brett Rypien","DEN","1.0","0.6","6.8","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"Cooper Rush","DAL","3.5","2.0","17.9","0.0","0.2","0.3","0.4","0.0","0.1","0.3"
"Colt McCoy","WAS","1.1","0.6","7.0","0.0","0.1","0.2","0.8","0.0","0.0","0.2"
""
""
