QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST
Jameis Winston (13887927),Alvin Kamara (13888002),Derrick Henry (13887992),Michael Thomas (13888214),Christian Kirk (13888280),Mike Williams (13888302),Jack Doyle (13888530),Patrick Laird (13888076),Redskins  (13888739)
Jameis Winston (13887927),Derrick Henry (13887992),Kenyan Drake (13888032),Michael Thomas (13888214),DJ Moore (13888232),Mike Williams (13888302),Jack Doyle (13888530),Patrick Laird (13888076),Redskins  (13888739)
Jameis Winston (13887927),Devonta Freeman (13888028),Derrick Henry (13887992),Michael Thomas (13888214),Christian Kirk (13888280),Mike Williams (13888302),Jack Doyle (13888530),James White (13888026),Redskins  (13888739)
Deshaun Watson (13887926),Alvin Kamara (13888002),Derrick Henry (13887992),Michael Thomas (13888214),Christian Kirk (13888280),Mike Williams (13888302),Jack Doyle (13888530),Duke Johnson (13888100),Redskins  (13888739)
Jameis Winston (13887927),Derrick Henry (13887992),Kenyan Drake (13888032),Michael Thomas (13888214),DJ Moore (13888232),Mike Williams (13888302),Jack Doyle (13888530),Duke Johnson (13888100),Redskins  (13888739)
Jameis Winston (13887927),Derrick Henry (13887992),Patrick Laird (13888076),Michael Thomas (13888214),Chris Godwin (13888226),Mike Williams (13888302),Jack Doyle (13888530),Duke Johnson (13888100),Colts  (13888734)
Jameis Winston (13887927),Christian McCaffrey (13887988),Patrick Laird (13888076),Michael Thomas (13888214),Christian Kirk (13888280),Mike Williams (13888302),Jack Doyle (13888530),Duke Johnson (13888100),Colts  (13888734)
Jameis Winston (13887927),Derrick Henry (13887992),Duke Johnson (13888100),Michael Thomas (13888214),Christian Kirk (13888280),Jarvis Landry (13888248),Jack Doyle (13888530),Mike Williams (13888302),Colts  (13888734)
Jameis Winston (13887927),Derrick Henry (13887992),Patrick Laird (13888076),Michael Thomas (13888214),Christian Kirk (13888280),Jarvis Landry (13888248),Jack Doyle (13888530),Duke Johnson (13888100),Colts  (13888734)
Jameis Winston (13887927),Derrick Henry (13887992),James White (13888026),Michael Thomas (13888214),Christian Kirk (13888280),Mike Williams (13888302),Jack Doyle (13888530),Kenyan Drake (13888032),Redskins  (13888739)
