,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,RB,Derrick Henry (15958159),Derrick Henry,15958159.0,RB/FLEX,9500.0,DET@TEN 12/20/2020 01:00PM ET,TEN,22.16
1,RB,Dalvin Cook (15958161),Dalvin Cook,15958161.0,RB/FLEX,9000.0,CHI@MIN 12/20/2020 01:00PM ET,MIN,26.53
2,WR,Tyreek Hill (15958383),Tyreek Hill,15958383.0,WR/FLEX,8800.0,KC@NO 12/20/2020 04:25PM ET,KC,23.85
3,WR,DK Metcalf (15958385),DK Metcalf,15958385.0,WR/FLEX,8600.0,SEA@WAS 12/20/2020 01:00PM ET,SEA,20.08
4,WR,Calvin Ridley (15958387),Calvin Ridley,15958387.0,WR/FLEX,8200.0,TB@ATL 12/20/2020 01:00PM ET,ATL,19.94
5,TE,Travis Kelce (15958701),Travis Kelce,15958701.0,TE/FLEX,8000.0,KC@NO 12/20/2020 04:25PM ET,KC,22.01
6,QB,Patrick Mahomes (15958099),Patrick Mahomes,15958099.0,QB,7900.0,KC@NO 12/20/2020 04:25PM ET,KC,27.87
7,WR,DeAndre Hopkins (15958389),DeAndre Hopkins,15958389.0,WR/FLEX,7900.0,PHI@ARI 12/20/2020 04:05PM ET,ARI,19.73
8,WR,A.J. Brown (15958391),AJ Brown,15958391.0,WR/FLEX,7600.0,DET@TEN 12/20/2020 01:00PM ET,TEN,18.43
9,QB,Lamar Jackson (15958100),Lamar Jackson,15958100.0,QB,7500.0,JAX@BAL 12/20/2020 01:00PM ET,BAL,22.84
10,RB,Alvin Kamara (15958163),Alvin Kamara,15958163.0,RB/FLEX,7400.0,KC@NO 12/20/2020 04:25PM ET,NO,23.55
11,WR,Allen Robinson II (15958393),Allen Robinson,15958393.0,WR/FLEX,7400.0,CHI@MIN 12/20/2020 01:00PM ET,CHI,17.97
12,QB,Russell Wilson (15958101),Russell Wilson,15958101.0,QB,7300.0,SEA@WAS 12/20/2020 01:00PM ET,SEA,26.21
13,WR,Justin Jefferson (15958395),Justin Jefferson,15958395.0,WR/FLEX,7300.0,CHI@MIN 12/20/2020 01:00PM ET,MIN,18.0
14,WR,Michael Thomas (15958397),Michael Thomas,15958397.0,WR/FLEX,7200.0,KC@NO 12/20/2020 04:25PM ET,NO,12.84
15,RB,Jonathan Taylor (15958165),Jonathan Taylor,15958165.0,RB/FLEX,7200.0,HOU@IND 12/20/2020 01:00PM ET,IND,15.21
16,WR,Adam Thielen (15958399),Adam Thielen,15958399.0,WR/FLEX,7100.0,CHI@MIN 12/20/2020 01:00PM ET,MIN,18.38
17,RB,James Robinson (15958167),James Robinson,15958167.0,RB/FLEX,7100.0,JAX@BAL 12/20/2020 01:00PM ET,JAC,19.16
18,RB,David Montgomery (15958169),David Montgomery,15958169.0,RB/FLEX,7000.0,CHI@MIN 12/20/2020 01:00PM ET,CHI,16.19
19,WR,Cooper Kupp (15958401),Cooper Kupp,15958401.0,WR/FLEX,7000.0,NYJ@LAR 12/20/2020 04:05PM ET,LAR,15.02
20,QB,Kyler Murray (15958102),Kyler Murray,15958102.0,QB,7000.0,PHI@ARI 12/20/2020 04:05PM ET,ARI,26.8
21,WR,Julio Jones (15958403),Julio Jones,15958403.0,WR/FLEX,6900.0,TB@ATL 12/20/2020 01:00PM ET,ATL,17.23
22,RB,Miles Sanders (15958171),Miles Sanders,15958171.0,RB/FLEX,6900.0,PHI@ARI 12/20/2020 04:05PM ET,PHI,15.0
23,RB,Chris Carson (15958175),Chris Carson,15958175.0,RB/FLEX,6800.0,SEA@WAS 12/20/2020 01:00PM ET,SEA,17.52
24,QB,Deshaun Watson (15958103),Deshaun Watson,15958103.0,QB,6800.0,HOU@IND 12/20/2020 01:00PM ET,HOU,24.72
25,WR,Robert Woods (15958405),Robert Woods,15958405.0,WR/FLEX,6800.0,NYJ@LAR 12/20/2020 04:05PM ET,LAR,16.46
26,RB,Antonio Gibson (15958173),Antonio Gibson,15958173.0,RB/FLEX,6700.0,SEA@WAS 12/20/2020 01:00PM ET,WAS,15.93
27,WR,Tyler Lockett (15958407),Tyler Lockett,15958407.0,WR/FLEX,6700.0,SEA@WAS 12/20/2020 01:00PM ET,SEA,17.2
28,QB,Ryan Tannehill (15958104),Ryan Tannehill,15958104.0,QB,6700.0,DET@TEN 12/20/2020 01:00PM ET,TEN,21.35
29,QB,Tom Brady (15958105),Tom Brady,15958105.0,QB,6600.0,TB@ATL 12/20/2020 01:00PM ET,TB,21.41
30,WR,Terry McLaurin (15958409),Terry McLaurin,15958409.0,WR/FLEX,6600.0,SEA@WAS 12/20/2020 01:00PM ET,WAS,15.55
31,RB,Cam Akers (15958177),Cam Akers,15958177.0,RB/FLEX,6600.0,NYJ@LAR 12/20/2020 04:05PM ET,LAR,8.7
32,WR,Mike Evans (15958411),Mike Evans,15958411.0,WR/FLEX,6500.0,TB@ATL 12/20/2020 01:00PM ET,TB,14.61
33,RB,D'Andre Swift (15958179),D'Andre Swift,15958179.0,RB/FLEX,6400.0,DET@TEN 12/20/2020 01:00PM ET,DET,14.56
34,WR,Amari Cooper (15958413),Amari Cooper,15958413.0,WR/FLEX,6400.0,SF@DAL 12/20/2020 01:00PM ET,DAL,16.72
35,RB,Alexander Mattison (15958181),Alexander Mattison,15958181.0,RB/FLEX,6300.0,CHI@MIN 12/20/2020 01:00PM ET,MIN,5.26
36,QB,Jared Goff (15958106),Jared Goff,15958106.0,QB,6300.0,NYJ@LAR 12/20/2020 04:05PM ET,LAR,19.08
37,WR,Brandon Aiyuk (15958415),Brandon Aiyuk,15958415.0,WR/FLEX,6300.0,SF@DAL 12/20/2020 01:00PM ET,SF,16.41
