,Player,Salary,Position
70,George Kittle,5300.0,TE
0,Jimmy Garoppolo,5200.0,QB
34,Deebo Samuel,5200.0,WR
1,Chris Streveler,4900.0,QB
2,Ben DiNucci,4700.0,QB
35,Julian Edelman,4500.0,WR
3,Robert Griffin,4400.0,QB
4,Jake Luton,4400.0,QB
28,Jakob Johnson,4000.0,RB
23,Senorise Perry,4000.0,RB
24,Jonathan Williams,4000.0,RB
25,Jason Cabinda,4000.0,RB
26,Ryquell Armstead,4000.0,RB
32,Austin Walter,4000.0,RB
29,Elijah McGuire,4000.0,RB
30,Jonathan Ward,4000.0,RB
31,Jason Huntley,4000.0,RB
21,Raymond Calais,4000.0,RB
33,JaMycal Hasty,4000.0,RB
22,Darrynton Evans,4000.0,RB
27,Rex Burkhead,4000.0,RB
20,Xavier Jones,4000.0,RB
12,Kenjon Barner,4000.0,RB
5,Ryan Griffin,4000.0,QB
19,Scottie Phillips,4000.0,RB
7,Josh McCown,4000.0,QB
8,James Morgan,4000.0,QB
9,Brian Hoyer,4000.0,QB
10,Dak Prescott,4000.0,QB
11,Dwayne Washington,4000.0,RB
6,Kyle Allen,4000.0,QB
13,TJ Logan,4000.0,RB
15,Rashaad Penny,4000.0,RB
16,Artavis Pierce,4000.0,RB
17,Tarik Cohen,4000.0,RB
18,Marlon Mack,4000.0,RB
14,Bryce Love,4000.0,RB
36,Adam Humphries,3200.0,WR
62,Antoine Wesley,3000.0,WR
56,Will Fuller,3000.0,WR
57,Randall Cobb,3000.0,WR
58,Jaleel Scott,3000.0,WR
59,Trishton Jackson,3000.0,WR
60,Cameron Batson,3000.0,WR
61,Chris Moore,3000.0,WR
65,Quincy Adeboyejo,3000.0,WR
63,DeAndrew White,3000.0,WR
64,Dede Westbrook,3000.0,WR
66,Trent Sherfield,3000.0,WR
67,Jalen Hurd,3000.0,WR
68,Chris Thompson,3000.0,WR
69,Malik Turner,3000.0,WR
54,Dezmon Patmon,3000.0,WR
55,Parris Campbell,3000.0,WR
51,Tajae Sharpe,3000.0,WR
53,Dwayne Harris,3000.0,WR
43,John Franklin,3000.0,WR
52,DeAndre Carter,3000.0,WR
38,Tommylee Lewis,3000.0,WR
39,Marquez Callaway,3000.0,WR
40,Bennie Fowler,3000.0,WR
41,Byron Pringle,3000.0,WR
42,Justin Watson,3000.0,WR
37,Juwan Johnson,3000.0,WR
44,Olamide Zaccheaus,3000.0,WR
46,Antonio Gandy-Golden,3000.0,WR
47,Kelvin Harmon,3000.0,WR
48,Emanuel Hall,3000.0,WR
49,Josh Gordon,3000.0,WR
45,Jeff Badet,3000.0,WR
50,Phillip Dorsett,3000.0,WR
94,Tyler Davis,2500.0,TE
89,Daniel Brown,2500.0,TE
90,Ross Travis,2500.0,TE
91,Johnny Mundt,2500.0,TE
92,Nick Boyle,2500.0,TE
93,Eric Saubert,2500.0,TE
97,Dalton Keene,2500.0,TE
95,Ben Ellefson,2500.0,TE
96,Josh Oliver,2500.0,TE
98,Ryan Izzo,2500.0,TE
99,Chris Myarick,2500.0,TE
100,Joshua Perkins,2500.0,TE
101,Sean McKeon,2500.0,TE
87,Patrick Scales,2500.0,TE
88,Noah Togiai,2500.0,TE
79,Marcus Baugh,2500.0,TE
86,Darion Clark,2500.0,TE
85,JP Holtz,2500.0,TE
84,Andrew DePaola,2500.0,TE
83,Tyler Ott,2500.0,TE
82,Greg Olsen,2500.0,TE
81,Thaddeus Moss,2500.0,TE
80,Temarrick Hemingway,2500.0,TE
78,Luke Stocker,2500.0,TE
77,OJ Howard,2500.0,TE
76,Antony Auclair,2500.0,TE
75,Tanner Hudson,2500.0,TE
74,James Winchester,2500.0,TE
73,Nick Keizer,2500.0,TE
72,Zach Wood,2500.0,TE
71,Garrett Griffin,2500.0,TE
102,Blake Jarwin,2500.0,TE
