,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Travis Kelce,KC,7.1,6.0,6.5,91.6,81.9,86.2,1.0,0.5,0.6,0.0,0.1,0.1,14.3,11.3,12.4,15,TE
1,Darren Waller,LV,7.3,6.0,6.6,81.5,63.8,72.2,1.0,0.5,0.6,0.0,0.1,0.1,13.3,10.3,11.0,15,TE
2,Mark Andrews,BAL,6.0,3.3,4.4,68.0,43.6,56.5,1.0,0.5,0.6,0.0,0.0,0.0,12.8,7.3,9.5,15,TE
3,TJ Hockenson,DET,7.0,4.4,5.1,67.0,50.4,56.7,1.0,0.2,0.5,0.0,0.1,0.0,12.7,7.5,8.5,15,TE
4,Robert Tonyan,GB,5.0,3.2,3.9,51.9,37.1,43.6,1.0,0.4,0.6,0.0,0.0,0.0,11.1,6.0,7.8,15,TE
5,Rob Gronkowski,TB,5.0,2.7,3.6,65.4,38.2,47.9,1.0,0.2,0.4,0.0,0.0,0.0,11.5,5.4,7.2,15,TE
6,Eric Ebron,PIT,5.2,3.4,4.2,57.5,36.4,47.1,1.0,0.3,0.4,0.0,0.1,0.0,11.5,5.6,7.1,15,TE
7,Dallas Goedert,PHI,4.8,3.4,4.0,50.9,36.9,44.9,1.0,0.3,0.4,0.0,0.1,0.0,10.4,5.5,6.9,15,TE
8,Jared Cook,NO,5.0,2.5,3.5,59.0,32.7,43.2,1.0,0.0,0.4,0.0,0.1,0.0,10.8,5.0,6.7,15,TE
9,Hunter Henry,LAC,5.0,4.0,4.5,56.8,43.0,48.6,0.4,0.0,0.3,0.0,0.1,0.0,6.9,5.4,6.4,15,TE
10,Evan Engram,NYG,5.4,3.8,4.3,60.9,43.0,46.7,0.3,0.0,0.2,0.0,0.1,0.0,6.4,4.5,5.7,15,TE
11,Logan Thomas,WAS,5.9,3.6,4.2,55.0,33.2,41.6,0.4,0.0,0.2,0.0,0.0,0.0,6.1,4.5,5.4,15,TE
12,Noah Fant,DEN,4.7,2.9,3.8,58.0,33.3,44.2,0.3,0.0,0.2,0.0,0.1,0.0,7.0,3.5,5.4,15,TE
13,Mike Gesicki,MIA,4.0,1.6,3.2,46.2,19.3,39.2,0.4,0.0,0.2,0.0,0.0,0.0,6.8,4.5,5.3,15,TE
14,Jonnu Smith,TEN,3.9,2.0,2.8,43.6,24.2,33.1,0.5,0.0,0.3,0.0,0.0,0.0,7.1,3.0,5.1,15,TE
15,Hayden Hurst,ATL,4.2,3.0,3.5,50.0,33.7,40.2,0.3,0.0,0.2,0.0,0.0,0.0,6.5,3.8,5.0,15,TE
16,Jordan Reed,SF,5.6,2.7,3.7,54.2,27.2,37.9,0.4,0.0,0.2,0.0,0.1,0.0,6.9,3.6,5.0,15,TE
17,Tyler Higbee,LAR,3.6,2.6,3.1,42.0,28.5,34.7,0.4,0.0,0.2,0.0,0.0,0.0,5.8,3.1,4.7,15,TE
18,Dalton Schultz,DAL,4.6,3.0,3.7,46.0,29.5,37.2,0.3,0.0,0.2,0.0,0.1,0.0,5.8,3.6,4.6,15,TE
19,Irv Smith,MIN,4.2,1.9,2.9,43.5,19.0,32.8,0.4,0.0,0.2,0.0,0.0,0.0,5.7,2.6,4.3,15,TE
20,Zach Ertz,PHI,4.1,2.0,3.3,46.0,23.0,34.2,0.2,0.0,0.1,0.0,0.0,0.0,5.9,2.3,4.3,15,TE
