QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Tom Brady (15958105),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Breshad Perriman (15958483),Damiere Byrd (15958475),Dallas Goedert (15958715),Dalvin Cook (15958161),WAS Football Team  (15958908),50000.0,107.86514285714284,134.44171428571428,159.13285714285715,61,1,725,787,59
Tom Brady (15958105),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Anthony Miller (15958497),Damiere Byrd (15958475),Dallas Goedert (15958715),Dalvin Cook (15958161),Cardinals  (15958905),50000.0,107.33657142857143,134.36457142857142,157.98714285714286,127,2,1192,1321,151
Matt Ryan (15958116),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Damiere Byrd (15958475),T.Y. Hilton (15958431),Jordan Reed (15958733),Dalvin Cook (15958161),WAS Football Team  (15958908),49900.0,107.18114285714285,134.2317142857143,161.71485714285714,168,3,110,281,4
Matt Ryan (15958116),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Anthony Miller (15958497),Keke Coutee (15958435),Dallas Goedert (15958715),Dalvin Cook (15958161),WAS Football Team  (15958908),50000.0,106.01114285714286,134.22171428571428,163.14485714285715,610,4,21,635,29
Tom Brady (15958105),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Breshad Perriman (15958483),Denzel Mims (15958493),Dallas Goedert (15958715),Dalvin Cook (15958161),Cardinals  (15958905),50000.0,107.06657142857142,134.15457142857144,158.08714285714285,193,5,1143,1341,154
Matt Ryan (15958116),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Chad Hansen (15958463),CeeDee Lamb (15958449),Dallas Goedert (15958715),Dalvin Cook (15958161),WAS Football Team  (15958908),50000.0,107.05114285714285,134.1417142857143,163.27485714285714,195,6,15,216,3
Tom Brady (15958105),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Anthony Miller (15958497),Breshad Perriman (15958483),Dallas Goedert (15958715),Dalvin Cook (15958161),Cardinals  (15958905),49900.0,107.75657142857143,134.12457142857144,158.74714285714288,68,7,872,947,82
Matt Ryan (15958116),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Damiere Byrd (15958475),T.Y. Hilton (15958431),Dalton Schultz (15958735),Dalvin Cook (15958161),WAS Football Team  (15958908),49900.0,108.01114285714286,134.00171428571429,159.59485714285714,48,8,570,626,28
Matt Ryan (15958116),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Breshad Perriman (15958483),T.Y. Hilton (15958431),Jordan Reed (15958733),Dalvin Cook (15958161),WAS Football Team  (15958908),49800.0,107.60114285714286,133.9917142857143,162.47485714285713,89,9,52,150,2
Matt Ryan (15958116),Alvin Kamara (15958163),Derrick Henry (15958159),Michael Gallup (15958491),Damiere Byrd (15958475),T.Y. Hilton (15958431),Hayden Hurst (15958729),Dalvin Cook (15958161),WAS Football Team  (15958908),50000.0,108.52114285714285,133.9817142857143,159.26485714285715,18,10,667,695,41
