,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Steelers,5.9,3.1,4.1,2.0,0.9,1.3,1.1,0.5,0.8,1.5,0.8,1.2,0.3,0.1,0.2,0.2,0.0,0.1,16.9,8.7,12.4,220.0,322.8,273.8,15.2,6.8,13.7,15,DST
1,Rams,4.2,2.6,3.2,1.8,0.8,1.2,1.2,0.4,0.7,1.6,0.7,1.1,0.4,0.1,0.2,0.1,0.1,0.1,16.6,12.2,13.7,216.0,267.7,250.2,10.9,6.1,9.5,15,DST
2,Seahawks,3.6,2.7,3.2,1.0,0.8,0.9,0.9,0.5,0.7,1.2,0.9,1.0,0.2,0.0,0.2,0.1,0.0,0.1,21.7,16.9,19.4,257.0,337.5,304.7,9.8,7.2,8.5,15,DST
3,Browns,3.8,2.8,3.2,1.4,0.9,1.1,1.2,0.5,0.7,1.7,1.1,1.3,0.2,0.1,0.2,0.1,0.0,0.0,23.4,18.8,20.9,303.0,328.2,313.2,10.5,6.9,7.9,15,DST
4,Dolphins,2.9,1.8,2.3,1.3,0.8,1.0,0.6,0.5,0.5,0.9,0.7,0.8,0.2,0.1,0.2,0.1,0.0,0.0,21.7,18.4,19.6,327.8,343.0,334.0,7.9,6.2,7.4,15,DST
5,Ravens,3.1,0.3,2.3,1.2,0.4,0.8,1.0,0.4,0.7,1.4,1.1,1.2,0.2,0.1,0.2,0.1,0.0,0.0,18.1,15.9,16.9,300.0,341.3,320.2,8.5,4.9,7.3,15,DST
6,Team,4.3,2.5,3.1,1.1,0.6,0.8,0.7,0.5,0.6,1.1,0.8,0.9,0.2,0.0,0.1,0.1,0.0,0.1,25.3,22.2,23.7,341.0,366.3,356.0,8.5,6.1,6.9,15,DST
7,Bills,3.3,1.1,2.1,1.6,0.8,1.2,0.8,0.5,0.6,1.1,1.0,1.0,0.3,0.1,0.2,0.0,0.0,0.0,22.8,16.7,20.3,301.0,347.9,327.9,9.0,6.3,6.9,15,DST
8,Buccaneers,3.2,2.5,2.8,1.1,0.7,0.9,0.7,0.5,0.6,1.1,1.0,1.0,0.2,0.1,0.2,0.0,0.0,0.0,23.8,21.3,22.3,309.0,369.4,340.9,8.2,6.7,6.9,15,DST
9,Colts,3.3,2.7,3.0,1.1,0.6,0.8,0.8,0.4,0.6,1.0,0.7,0.9,0.2,0.0,0.2,0.1,0.0,0.1,22.3,18.7,20.6,328.0,362.3,347.7,7.9,6.6,6.8,15,DST
10,49ers,3.1,2.2,2.6,1.3,0.7,0.9,1.1,0.5,0.6,1.5,0.7,1.1,0.2,0.0,0.2,0.0,0.0,0.0,24.8,18.6,21.1,321.0,334.5,328.8,8.5,6.0,6.7,15,DST
11,Eagles,3.1,2.2,2.6,0.9,0.7,0.8,0.8,0.5,0.6,0.9,0.7,0.8,0.2,0.1,0.2,0.0,0.0,0.0,28.0,21.6,26.0,348.0,376.9,363.6,7.5,5.1,6.4,15,DST
12,Cowboys,3.1,1.6,2.2,1.4,0.4,0.9,1.0,0.5,0.6,1.4,0.7,1.0,0.2,0.0,0.1,0.0,0.0,0.0,24.5,19.6,23.0,370.0,374.7,372.9,8.3,5.9,6.2,15,DST
13,Cardinals,3.0,1.6,2.4,0.9,0.1,0.7,0.9,0.5,0.7,1.3,0.7,1.0,0.2,0.0,0.1,0.0,0.0,0.0,23.4,18.5,20.9,321.0,349.4,336.5,7.8,4.5,6.2,15,DST
14,Broncos,3.2,2.1,2.5,0.9,0.7,0.8,0.7,0.4,0.6,0.9,0.6,0.7,0.2,0.0,0.1,0.0,0.0,0.0,27.0,21.9,24.9,333.0,373.4,358.6,7.0,5.9,6.1,15,DST
