,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Deebo Samuel,SF,5.0,3.8,4.6,81.0,63.3,69.1,1.0,0.3,0.5,5.1,1.5,3.7,29.0,11.0,22.4,1.0,0.1,0.4,0.0,0.1,0.1,23.0,9.6,14.3,1,2022,WR
1,Cooper Kupp,LAR,8.1,7.0,7.5,110.1,75.0,93.7,1.0,0.6,0.8,0.3,0.2,0.3,3.7,1.0,1.6,0.0,0.0,0.0,0.0,0.1,0.1,17.6,10.9,14.3,1,2022,WR
2,Ja'Marr Chase,CIN,8.0,4.9,5.9,108.0,73.0,87.0,1.0,0.5,0.7,1.0,0.3,0.6,8.0,1.0,3.8,0.0,0.0,0.0,0.0,0.1,0.0,17.8,10.2,13.2,1,2022,WR
3,Davante Adams,LV,7.9,6.6,7.1,96.0,81.5,87.5,1.0,0.4,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,15.6,10.4,12.7,1,2022,WR
4,Justin Jefferson,MIN,6.5,5.8,6.2,93.0,81.1,88.4,1.0,0.4,0.6,0.3,0.0,0.1,2.2,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.1,15.6,10.4,12.4,1,2022,WR
5,AJ Brown,PHI,7.0,4.5,5.2,95.0,67.8,80.3,1.0,0.5,0.7,0.1,0.0,0.1,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,15.7,9.8,12.3,1,2022,WR
6,CeeDee Lamb,DAL,9.0,4.4,6.1,119.0,61.7,80.8,1.0,0.3,0.6,0.9,0.0,0.4,4.8,0.0,2.5,0.0,0.0,0.0,0.0,0.1,0.1,18.5,7.8,11.8,1,2022,WR
7,Stefon Diggs,BUF,7.0,5.9,6.4,81.2,70.0,74.9,1.0,0.4,0.6,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,14.2,9.2,11.1,1,2022,WR
8,Mike Evans,TB,8.0,4.0,5.2,86.0,61.0,70.4,1.0,0.5,0.7,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,14.7,9.1,11.1,1,2022,WR
9,Tyreek Hill,MIA,6.2,4.9,5.5,74.0,66.0,70.4,1.0,0.4,0.6,0.7,0.3,0.5,5.7,1.9,3.6,0.0,0.0,0.0,0.0,0.1,0.1,14.1,9.0,10.8,1,2022,WR
10,Marquise Brown,ARI,6.7,5.0,5.7,84.0,59.0,72.4,1.0,0.3,0.6,0.3,0.0,0.1,1.6,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,14.7,7.4,10.8,1,2022,WR
11,Michael Pittman,IND,6.0,5.3,5.6,82.0,68.1,72.9,1.0,0.3,0.6,0.3,0.3,0.3,2.8,1.0,1.9,0.0,0.0,0.0,0.0,0.1,0.1,14.6,8.5,10.8,1,2022,WR
12,Mike Williams,LAC,6.0,4.1,4.9,83.0,61.4,68.3,1.0,0.3,0.6,1.9,0.0,0.4,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,7.9,10.7,1,2022,WR
13,Tee Higgins,CIN,6.0,4.8,5.1,75.0,63.8,70.1,1.0,0.4,0.6,0.1,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.1,13.6,8.6,10.6,1,2022,WR
14,Brandin Cooks,HOU,6.2,5.4,5.9,77.9,65.5,71.2,1.0,0.3,0.5,0.3,0.1,0.2,1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,14.0,7.9,10.3,1,2022,WR
15,Gabriel Davis,BUF,6.0,3.2,4.3,77.0,51.1,64.5,1.0,0.4,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,7.4,10.2,1,2022,WR
16,Terry McLaurin,WAS,6.0,3.8,5.0,80.0,54.1,68.0,1.0,0.3,0.6,0.1,0.0,0.1,1.1,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,14.1,7.0,10.2,1,2022,WR
17,Keenan Allen,LAC,8.0,5.5,6.4,87.0,59.0,66.9,1.0,0.4,0.6,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,14.7,8.3,10.1,1,2022,WR
18,Courtland Sutton,DEN,8.0,3.4,5.0,91.0,48.5,69.4,1.0,0.3,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,6.6,10.0,1,2022,WR
19,Elijah Moore,NYJ,6.0,3.9,4.6,90.0,49.0,63.1,1.0,0.3,0.5,0.5,0.1,0.3,5.2,1.0,2.6,0.1,0.0,0.0,0.0,0.0,0.0,16.1,6.6,9.8,1,2022,WR
20,DK Metcalf,SEA,5.0,4.0,4.7,77.0,56.0,64.6,1.0,0.3,0.5,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,13.7,7.5,9.6,1,2022,WR
21,DJ Moore,CAR,6.0,4.6,5.1,73.1,52.5,66.0,1.0,0.3,0.5,0.5,0.2,0.4,4.0,1.0,2.3,0.0,0.0,0.0,0.0,0.1,0.0,13.8,6.9,9.5,1,2022,WR
22,Diontae Johnson,PIT,6.7,5.0,6.0,73.4,60.0,66.2,1.0,0.2,0.5,0.5,0.2,0.3,2.7,0.6,1.7,0.0,0.0,0.0,0.0,0.1,0.1,13.7,7.2,9.5,1,2022,WR
23,Robert Woods,TEN,6.0,4.2,5.1,78.0,41.4,59.5,1.0,0.3,0.5,1.3,0.2,0.8,8.2,1.0,5.0,0.1,0.0,0.0,0.0,0.1,0.1,15.2,5.8,9.4,1,2022,WR
24,Amon-Ra St,DET,7.0,5.1,5.9,82.0,50.1,61.6,1.0,0.3,0.5,0.7,0.1,0.3,4.5,0.0,2.0,0.1,0.0,0.0,0.0,0.1,0.1,15.3,6.6,9.1,1,2022,WR
25,Jerry Jeudy,DEN,5.0,4.0,4.4,74.7,54.3,63.3,1.0,0.3,0.5,0.3,0.0,0.1,1.5,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,13.7,6.8,9.0,1,2022,WR
26,Darnell Mooney,CHI,6.0,4.4,4.9,82.0,55.2,65.1,1.0,0.2,0.4,0.4,0.0,0.2,2.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,14.5,6.7,9.0,1,2022,WR
27,Rashod Bateman,BAL,6.0,3.8,4.7,78.0,42.5,61.1,1.0,0.2,0.5,0.1,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,13.9,5.6,9.0,1,2022,WR
28,Adam Thielen,MIN,5.1,4.0,4.6,62.0,44.3,53.7,1.0,0.4,0.6,0.1,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.3,6.6,8.8,1,2022,WR
29,Allen Robinson,LAR,6.0,3.3,4.8,78.0,41.9,58.7,1.0,0.2,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,5.2,8.6,1,2022,WR
30,Christian Kirk,JAC,6.0,3.7,4.8,73.0,48.7,59.1,1.0,0.3,0.4,0.1,0.0,0.1,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,13.4,6.4,8.4,1,2022,WR
31,JuJu Smith-Schuster,KC,6.0,4.0,4.7,64.0,40.9,49.9,1.0,0.2,0.5,0.3,0.0,0.2,3.0,0.0,1.3,0.1,0.0,0.0,0.0,0.1,0.0,13.3,5.3,8.3,1,2022,WR
32,Michael Thomas,NO,5.1,4.0,4.7,73.0,51.1,57.6,1.0,0.0,0.4,0.1,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,13.4,5.1,8.3,1,2022,WR
33,Jaylen Waddle,MIA,6.0,5.0,5.5,74.0,55.3,60.6,0.5,0.0,0.3,0.5,0.0,0.2,2.8,0.0,1.1,0.1,0.0,0.0,0.0,0.1,0.1,11.3,5.3,8.2,1,2022,WR
34,Hunter Renfrow,LV,6.1,4.8,5.3,69.0,49.8,57.0,1.0,0.0,0.4,0.2,0.0,0.1,1.2,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.1,13.1,4.8,8.0,1,2022,WR
35,Tyler Lockett,SEA,5.2,3.9,4.7,72.7,55.8,63.1,0.5,0.0,0.3,0.3,0.0,0.1,1.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10.6,5.5,8.0,1,2022,WR
36,DeVonta Smith,PHI,6.0,3.5,4.2,75.0,47.0,58.4,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,10.5,4.5,7.8,1,2022,WR
37,Marquez Valdes-Scantling,KC,6.0,2.5,3.4,73.0,40.0,52.3,1.0,0.3,0.4,0.1,0.0,0.1,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,13.5,5.8,7.8,1,2022,WR
38,Brandon Aiyuk,SF,5.0,3.5,4.1,65.0,49.0,56.2,0.5,0.0,0.3,0.3,0.0,0.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,4.8,7.6,1,2022,WR
39,Amari Cooper,CLE,5.1,4.0,4.5,64.0,50.8,57.6,0.4,0.0,0.3,0.1,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,7.6,1,2022,WR
40,Kadarius Toney,NYG,6.0,2.4,4.4,75.0,25.1,51.8,1.0,0.1,0.3,0.9,0.0,0.4,6.1,0.0,2.7,0.0,0.0,0.0,0.0,0.1,0.0,14.2,3.0,7.3,1,2022,WR
41,Corey Davis,NYJ,4.0,3.0,3.5,65.0,41.8,50.9,1.0,0.2,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,12.5,5.0,7.3,1,2022,WR
42,Russell Gage,TB,5.9,3.8,4.4,63.8,43.3,50.6,1.0,0.0,0.4,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,12.4,4.1,7.2,1,2022,WR
43,Nico Collins,HOU,6.0,3.0,4.0,72.0,37.0,50.2,1.0,0.2,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,4.8,7.2,1,2022,WR
44,Chase Claypool,PIT,4.0,3.0,3.8,57.5,45.1,51.7,0.5,0.0,0.2,1.1,0.4,0.7,5.0,2.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,9.4,4.7,7.0,1,2022,WR
45,AJ Green,ARI,4.0,2.6,3.3,55.0,34.9,46.2,1.0,0.1,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,4.0,6.5,1,2022,WR
46,Drake London,ATL,4.6,2.8,3.8,58.0,38.2,50.1,0.7,0.0,0.3,0.1,0.0,0.0,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,10.1,3.6,6.5,1,2022,WR
