,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Jonathan Taylor,IND,25.0,19.1,21.6,138.0,86.1,111.0,1.5,0.7,1.0,3.0,2.0,2.6,26.0,16.0,21.7,0.2,0.0,0.1,0.1,0.2,0.2,26.4,14.0,19.6,1,2022,RB
1,Derrick Henry,TEN,28.0,21.5,23.6,129.3,83.0,103.5,1.3,0.5,0.8,2.0,1.5,1.8,17.0,11.8,13.5,0.3,0.0,0.1,0.1,0.2,0.1,24.1,12.1,17.0,1,2022,RB
2,Christian McCaffrey,CAR,23.0,12.1,17.0,101.0,55.4,74.1,1.0,0.3,0.6,6.0,4.0,5.1,48.0,32.0,42.4,0.5,0.0,0.2,0.0,0.2,0.1,23.9,10.1,16.3,1,2022,RB
3,Austin Ekeler,LAC,16.0,12.6,14.3,71.8,38.0,58.0,1.0,0.4,0.6,5.0,3.9,4.5,40.2,36.4,38.4,0.5,0.0,0.3,0.0,0.2,0.1,20.2,9.4,15.2,1,2022,RB
4,Joe Mixon,CIN,19.3,16.7,18.5,87.0,74.1,81.0,1.0,0.5,0.7,3.4,2.0,2.8,28.9,16.0,20.9,0.3,0.0,0.1,0.1,0.2,0.1,19.3,11.6,15.0,1,2022,RB
5,Alvin Kamara,NO,19.0,10.9,14.8,73.2,42.0,62.2,1.0,0.3,0.6,6.0,3.3,4.3,48.0,27.4,38.5,0.4,0.0,0.2,0.0,0.2,0.1,20.5,8.3,14.9,1,2022,RB
6,Dalvin Cook,MIN,21.0,16.9,18.0,91.0,73.2,80.2,1.0,0.5,0.7,3.2,2.3,2.9,25.0,15.4,21.1,0.3,0.0,0.1,0.1,0.2,0.1,19.2,11.5,14.6,1,2022,RB
7,Aaron Jones,GB,13.2,10.0,11.6,64.8,49.1,56.2,1.0,0.3,0.5,4.8,3.5,4.1,43.1,25.0,33.8,0.4,0.0,0.2,0.0,0.2,0.1,19.1,8.8,13.0,1,2022,RB
8,Leonard Fournette,TB,18.0,12.4,15.3,71.0,54.0,61.9,1.0,0.4,0.7,4.3,2.5,3.9,32.2,15.4,26.1,0.1,0.0,0.1,0.0,0.2,0.1,17.2,8.9,12.9,1,2022,RB
9,James Conner,ARI,16.0,11.5,14.2,71.0,49.0,60.1,1.0,0.3,0.7,4.0,2.5,3.0,27.0,20.0,24.2,0.2,0.0,0.1,0.0,0.2,0.1,16.9,8.3,12.8,1,2022,RB
10,Javonte Williams,DEN,19.0,12.1,15.1,87.0,46.0,63.2,1.0,0.2,0.5,4.0,2.6,3.1,35.0,21.0,25.9,0.3,0.0,0.2,0.1,0.2,0.1,19.9,7.5,12.8,1,2022,RB
11,Nick Chubb,CLE,23.0,14.2,16.9,95.0,57.6,77.4,1.0,0.4,0.6,2.0,1.0,1.5,16.0,8.0,11.9,0.1,0.0,0.1,0.1,0.2,0.1,17.6,8.5,12.5,1,2022,RB
12,Saquon Barkley,NYG,20.0,11.6,14.8,88.0,46.0,59.9,1.0,0.3,0.5,5.0,2.9,3.7,42.0,22.0,28.8,0.3,0.0,0.1,0.0,0.2,0.1,20.7,8.0,12.5,1,2022,RB
13,Najee Harris,PIT,18.0,14.1,16.1,75.6,50.0,64.6,1.0,0.3,0.5,5.0,2.9,3.8,32.0,19.3,25.0,0.1,0.0,0.1,0.0,0.2,0.1,17.5,8.3,12.4,1,2022,RB
14,D'Andre Swift,DET,20.0,8.0,13.5,91.0,33.0,55.7,1.0,0.3,0.5,5.0,2.9,4.2,35.0,19.7,29.5,0.3,0.0,0.2,0.1,0.2,0.1,20.3,6.4,12.4,1,2022,RB
15,Rashaad Penny,SEA,17.0,11.5,15.1,89.4,62.0,74.0,1.0,0.3,0.6,2.0,0.6,1.4,14.0,5.1,10.8,0.1,0.0,0.0,0.0,0.2,0.1,16.9,8.1,12.1,1,2022,RB
16,Elijah Mitchell,SF,18.7,12.1,16.7,86.0,55.0,72.1,1.0,0.3,0.5,2.0,1.0,1.6,18.3,6.0,12.6,0.1,0.0,0.1,0.0,0.2,0.1,17.0,7.5,11.7,1,2022,RB
17,Antonio Gibson,WAS,20.0,13.3,16.4,80.0,52.0,66.9,0.7,0.0,0.5,2.6,1.8,2.2,21.0,12.4,16.7,0.2,0.0,0.1,0.1,0.2,0.1,15.3,6.0,11.5,1,2022,RB
18,David Montgomery,CHI,18.0,14.4,15.9,71.0,53.0,57.8,1.0,0.3,0.5,5.0,2.2,3.2,33.0,16.2,23.3,0.2,0.0,0.1,0.0,0.2,0.1,17.3,8.3,11.3,1,2022,RB
19,Josh Jacobs,LV,15.0,12.2,13.7,82.0,51.4,61.1,1.0,0.0,0.5,4.0,1.6,2.5,30.0,10.8,17.1,0.1,0.0,0.0,0.1,0.1,0.1,17.7,6.0,10.9,1,2022,RB
20,Ezekiel Elliott,DAL,15.0,10.4,13.3,65.0,41.0,55.2,1.0,0.2,0.5,3.0,2.0,2.4,20.8,12.0,16.3,0.2,0.0,0.1,0.1,0.2,0.1,15.4,6.1,10.7,1,2022,RB
21,Travis Etienne,JAC,15.0,6.8,11.4,66.0,25.0,50.1,1.0,0.2,0.5,3.4,1.7,2.8,28.5,19.0,24.5,0.2,0.0,0.1,0.1,0.2,0.1,16.5,5.2,10.7,1,2022,RB
22,Miles Sanders,PHI,15.0,10.7,13.0,75.0,51.0,63.8,1.0,0.2,0.5,2.1,1.0,1.7,15.6,8.0,12.0,0.1,0.0,0.1,0.1,0.1,0.1,15.7,6.9,10.5,1,2022,RB
23,Damien Harris,NE,20.0,8.6,13.2,80.0,37.0,57.7,1.0,0.2,0.6,2.0,0.7,1.2,14.0,5.1,9.1,0.1,0.0,0.0,0.1,0.1,0.1,15.9,5.2,10.5,1,2022,RB
24,Cam Akers,LAR,14.0,11.2,13.0,64.0,49.0,55.9,1.0,0.3,0.5,3.0,1.0,2.0,21.0,8.0,16.3,0.1,0.0,0.1,0.1,0.3,0.2,15.1,6.9,10.3,1,2022,RB
25,Dameon Pierce,HOU,19.0,11.7,13.8,83.0,47.0,57.5,1.0,0.2,0.5,4.0,1.0,2.1,25.1,8.0,15.8,0.1,0.0,0.1,0.1,0.2,0.1,17.3,6.3,10.2,1,2022,RB
26,Chase Edmonds,MIA,17.0,8.1,11.7,66.0,37.3,48.9,1.0,0.2,0.4,3.8,2.1,2.9,26.2,16.0,21.9,0.2,0.0,0.1,0.0,0.1,0.1,16.4,6.3,10.0,1,2022,RB
27,Clyde Edwards-Helaire,KC,15.0,6.0,11.2,63.0,24.0,49.0,1.0,0.2,0.4,4.0,1.4,2.5,27.0,12.0,18.4,0.1,0.0,0.1,0.1,0.1,0.1,15.7,4.6,9.6,1,2022,RB
28,Cordarrelle Patterson,ATL,13.0,8.5,9.7,57.0,32.9,40.3,1.0,0.2,0.3,4.0,2.3,3.0,36.0,18.9,27.7,0.3,0.0,0.1,0.0,0.1,0.1,17.1,6.0,9.6,1,2022,RB
29,AJ Dillon,GB,12.0,10.0,11.0,53.0,42.0,48.4,0.4,0.0,0.3,3.0,1.2,2.0,24.0,12.0,16.9,0.1,0.0,0.1,0.1,0.1,0.1,10.6,5.2,8.5,1,2022,RB
30,Rhamondre Stevenson,NE,15.0,9.0,10.7,59.0,35.0,43.8,0.5,0.0,0.3,4.0,1.2,2.3,31.0,8.4,18.2,0.2,0.0,0.1,0.0,0.1,0.1,13.2,4.1,8.2,1,2022,RB
31,Michael Carter,NYJ,14.0,6.0,10.5,63.9,23.0,45.7,0.4,0.0,0.3,3.0,1.0,2.2,26.0,10.0,18.8,0.1,0.0,0.0,0.0,0.1,0.1,11.9,3.1,8.2,1,2022,RB
32,Devin Singletary,BUF,13.0,9.4,11.3,51.0,41.7,47.0,0.4,0.0,0.3,3.0,1.9,2.2,20.0,10.4,14.8,0.1,0.0,0.1,0.0,0.1,0.1,10.3,5.0,8.1,1,2022,RB
33,Tony Pollard,DAL,11.0,6.9,8.9,50.6,31.0,39.3,0.3,0.0,0.2,5.0,2.5,3.3,38.0,20.0,26.1,0.2,0.0,0.1,0.0,0.1,0.1,11.6,4.9,8.1,1,2022,RB
34,Breece Hall,NYJ,14.0,8.0,10.4,55.0,18.0,39.6,0.7,0.0,0.3,4.0,0.6,2.0,40.0,5.5,18.2,0.1,0.0,0.0,0.0,0.2,0.1,14.2,2.0,7.6,1,2022,RB
35,JK Dobbins,BAL,14.1,6.0,8.8,65.0,25.0,42.7,0.5,0.0,0.3,1.9,1.0,1.4,15.0,5.0,11.1,0.1,0.0,0.1,0.1,0.1,0.1,11.6,2.8,7.4,1,2022,RB
36,Melvin Gordon,DEN,11.0,9.0,9.5,47.5,37.0,40.3,0.5,0.0,0.3,3.0,1.0,1.6,18.0,8.0,12.0,0.1,0.0,0.1,0.1,0.1,0.1,10.1,4.2,7.4,1,2022,RB
37,Kareem Hunt,CLE,11.0,4.2,8.2,44.2,17.0,33.3,0.4,0.0,0.2,3.0,1.8,2.6,27.0,13.9,20.5,0.1,0.0,0.1,0.0,0.1,0.0,10.4,2.9,7.0,1,2022,RB
38,Mike Davis,BAL,14.0,5.8,9.3,56.0,22.5,37.7,0.5,0.0,0.2,2.9,0.5,1.8,17.7,3.2,11.5,0.1,0.0,0.1,0.1,0.1,0.1,10.9,2.4,6.4,1,2022,RB
39,Raheem Mostert,MIA,10.2,3.5,7.8,48.7,23.0,38.4,0.4,0.0,0.2,1.7,0.8,1.1,13.3,5.8,9.0,0.1,0.0,0.0,0.0,0.1,0.1,9.1,2.7,6.2,1,2022,RB
40,Darrell Henderson,LAR,11.1,4.9,8.2,47.6,20.3,33.5,0.4,0.0,0.2,2.0,1.0,1.4,18.0,7.5,11.5,0.1,0.0,0.1,0.0,0.1,0.0,9.3,2.6,6.0,1,2022,RB
41,James Robinson,JAC,11.0,3.0,8.0,41.0,12.0,30.9,0.4,0.0,0.2,2.0,1.0,1.5,15.0,7.0,11.1,0.1,0.0,0.1,0.0,0.1,0.1,8.6,1.7,5.5,1,2022,RB
