,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,49ers,4.6,2.9,3.6,1.2,0.7,1.0,0.9,0.5,0.7,1.2,0.8,1.0,0.2,0.1,0.2,0.1,0.1,0.1,20.5,16.3,17.6,257.0,325.9,295.0,8.8,6.3,8.1,1,2022,DST
1,Saints,3.7,2.3,3.0,1.4,0.6,0.9,0.9,0.5,0.6,1.2,0.7,1.0,0.2,0.1,0.2,0.1,0.0,0.0,21.4,16.2,18.4,281.0,319.5,302.2,8.3,5.4,7.1,1,2022,DST
2,Broncos,4.1,2.4,3.1,1.1,0.6,0.8,0.7,0.4,0.5,0.8,0.6,0.7,0.2,0.1,0.1,0.1,0.0,0.1,21.7,15.6,18.9,276.0,345.1,313.2,7.6,5.4,6.8,1,2022,DST
3,Titans,2.9,2.3,2.6,1.1,0.8,0.9,0.7,0.5,0.6,1.0,0.8,0.9,0.2,0.1,0.2,0.1,0.0,0.0,19.9,16.1,18.4,291.0,339.8,318.3,7.5,5.9,6.7,1,2022,DST
4,Colts,2.6,2.1,2.4,1.1,0.8,0.9,0.9,0.5,0.6,1.2,0.7,1.0,0.2,0.1,0.2,0.1,0.0,0.0,19.3,18.0,18.7,290.0,329.3,315.6,7.6,5.6,6.5,1,2022,DST
5,Bengals,2.3,1.9,2.1,1.0,0.8,0.9,0.7,0.4,0.6,0.9,0.8,0.9,0.2,0.1,0.2,0.1,0.0,0.0,19.3,17.1,18.7,310.0,344.5,328.4,6.7,5.4,6.1,1,2022,DST
6,Browns,3.5,2.5,2.8,1.1,0.9,1.0,0.7,0.5,0.5,0.8,0.7,0.7,0.2,0.1,0.2,0.0,0.0,0.0,21.8,18.4,20.3,286.0,340.2,317.3,7.1,6.2,6.0,1,2022,DST
7,Steelers,4.1,2.9,3.3,1.0,0.4,0.7,0.7,0.5,0.6,0.9,0.8,0.8,0.2,0.1,0.2,0.0,0.0,0.0,26.3,24.0,25.4,340.0,357.2,347.8,7.5,4.7,6.0,1,2022,DST
8,Ravens,2.5,2.0,2.2,0.9,0.7,0.8,0.7,0.4,0.5,0.8,0.7,0.8,0.2,0.1,0.2,0.1,0.0,0.0,20.2,18.0,19.1,304.0,342.8,329.1,5.7,5.3,5.9,1,2022,DST
9,Jets,3.5,2.5,2.8,0.9,0.7,0.8,0.7,0.5,0.6,0.9,0.8,0.9,0.2,0.1,0.2,0.1,0.0,0.0,26.3,21.9,24.8,369.9,378.0,373.3,6.7,5.0,5.7,1,2022,DST
10,Chargers,2.6,2.5,2.5,1.2,0.6,0.8,0.9,0.6,0.7,1.2,1.0,1.1,0.2,0.1,0.2,0.0,0.0,0.0,24.6,21.5,23.4,353.0,364.0,357.0,6.8,4.9,5.5,1,2022,DST
