,Player,Team,FG_MAX,FG_MIN,FG_MID,FGA_MAX,FGA_MIN,FGA_MID,XPT_MAX,XPT_MIN,XPT_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Aldrick Rosas,DET,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,11.0,11.0,11.0,2,2022,K
1,Tyler Bass,BUF,3.0,1.3,2.0,3.0,1.8,2.4,3.2,2.6,2.9,12.0,6.6,9.0,2,2022,K
2,Matt Gay,LAR,2.4,1.4,1.9,2.8,2.0,2.2,3.4,2.1,2.9,10.3,6.4,8.7,2,2022,K
3,Justin Tucker,BAL,3.0,1.5,2.0,3.0,1.9,2.4,2.6,2.0,2.4,11.0,7.2,8.5,2,2022,K
4,Daniel Carlson,LV,2.4,1.5,2.0,2.8,1.9,2.3,2.7,2.0,2.4,10.4,7.0,8.3,2,2022,K
5,Evan McPherson,CIN,2.2,1.5,2.0,2.7,2.0,2.4,3.0,1.6,2.3,9.7,6.2,8.2,2,2022,K
6,Robbie Gould,SF,2.2,1.5,1.8,2.6,1.8,2.1,3.0,2.3,2.6,9.5,7.2,8.1,2,2022,K
7,Mason Crosby,GB,2.2,1.0,1.6,2.6,1.0,1.9,4.0,2.4,3.0,9.4,7.0,7.6,2,2022,K
8,Matt Prater,ARI,2.1,1.5,1.7,2.5,1.8,2.0,3.0,2.1,2.5,9.1,7.0,7.6,2,2022,K
9,Chris Boswell,PIT,2.0,1.5,1.8,2.2,2.0,2.1,3.2,1.3,2.1,9.0,7.1,7.6,2,2022,K
10,Chase McLaughlin,IND,2.1,1.3,1.7,2.5,1.8,2.0,3.5,1.7,2.5,9.0,6.5,7.5,2,2022,K
11,James McCourt,JAC,1.9,1.9,1.9,2.3,2.3,2.3,1.8,1.8,1.8,7.7,7.7,7.5,2,2022,K
12,Joey Slye,WAS,2.2,1.4,1.7,2.5,1.8,2.0,2.7,1.9,2.2,9.4,6.2,7.5,2,2022,K
13,Brandon McManus,DEN,2.3,0.0,1.5,2.7,0.0,1.8,4.0,2.5,2.9,10.2,4.0,7.4,2,2022,K
14,Ryan Succop,TB,2.1,1.0,1.6,2.5,1.0,1.9,4.0,2.1,2.7,8.8,7.0,7.4,2,2022,K
15,Jake Elliott,PHI,2.3,1.0,1.7,2.7,1.0,2.0,3.0,0.5,2.3,9.9,5.4,7.4,2,2022,K
16,Graham Gano,NYG,2.0,1.4,1.8,2.4,2.0,2.1,2.1,1.6,1.9,8.6,5.9,7.4,2,2022,K
17,Austin Seibert,DET,2.2,1.0,1.7,2.5,1.0,1.9,2.6,2.0,2.3,8.8,5.0,7.4,2,2022,K
18,Greg Joseph,MIN,2.1,1.0,1.7,2.5,1.0,1.9,3.0,1.5,2.3,8.9,6.0,7.3,2,2022,K
19,Nick Folk,NE,2.0,1.0,1.6,2.4,1.0,1.9,3.0,1.7,2.2,8.8,6.0,7.1,2,2022,K
20,Cade York,CLE,2.0,1.4,1.6,2.5,1.8,2.1,2.7,1.4,2.1,8.4,5.5,7.0,2,2022,K
21,Randy Bullock,TEN,2.0,1.3,1.6,2.2,1.6,1.9,3.0,1.6,2.1,9.0,5.9,7.0,2,2022,K
22,Wil Lutz,NO,2.0,1.4,1.7,2.3,1.7,2.0,2.2,1.8,2.0,8.2,6.4,7.0,2,2022,K
23,Matt Ammendola,KC,1.8,1.0,1.4,2.2,1.0,1.7,3.2,2.0,2.7,8.4,5.0,6.9,2,2022,K
24,Jason Sanders,MIA,2.0,1.2,1.6,2.3,1.5,1.9,2.2,1.8,2.0,8.1,5.6,6.8,2,2022,K
25,Dustin Hopkins,LAC,2.0,1.0,1.5,2.6,1.0,1.7,3.0,1.4,2.4,8.7,5.8,6.8,2,2022,K
26,Younghoe Koo,ATL,1.9,1.0,1.6,2.1,1.0,1.8,2.7,1.5,2.0,8.4,5.0,6.7,2,2022,K
27,Eddy Pineiro,CAR,2.1,1.3,1.6,2.4,1.5,1.9,2.1,1.3,1.8,8.5,5.6,6.7,2,2022,K
28,Brett Maher,DAL,1.8,1.2,1.5,2.1,1.5,1.8,3.0,1.5,2.1,7.5,5.5,6.7,2,2022,K
29,Riley Patterson,JAC,1.8,1.4,1.6,2.2,1.8,2.0,2.3,1.6,1.9,8.0,5.6,6.6,2,2022,K
30,Jason Myers,SEA,2.0,1.0,1.5,2.0,1.2,1.7,4.0,1.3,2.0,10.0,4.6,6.6,2,2022,K
31,Ka'imi Fairbairn,HOU,1.8,1.5,1.6,2.1,1.7,1.9,2.4,1.4,1.8,7.3,5.9,6.5,2,2022,K
32,Cairo Santos,CHI,2.0,1.3,1.6,2.0,1.5,1.8,2.4,1.3,1.7,8.0,5.4,6.5,2,2022,K
33,Greg Zuerlein,NYJ,1.7,1.0,1.4,2.1,1.3,1.8,3.0,1.4,1.8,7.3,4.4,6.0,2,2022,K
