,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,REC_MAX,REC_MIN,REC_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
57,D'Ernest Johnson,CLE,2.2,2.2,2.2,23.8,11.1,17.4,0.2,0.1,0.1,1.1,0.2,0.7,11.2,1.4,6.3,0.0,0.0,0.0,0.0,0.0,0.0,4.8,1.9,3.3,2,2022,RB
58,Isiah Pacheco,KC,6.8,2.8,4.0,34.4,11.0,18.9,0.3,0.0,0.2,1.4,0.0,0.5,12.5,0.0,4.1,0.1,0.0,0.0,0.0,0.1,0.0,7.1,1.1,3.3,2,2022,RB
59,Jaylen Warren,PIT,11.0,1.3,5.4,47.0,5.2,19.7,0.2,0.0,0.1,2.0,0.0,0.8,18.0,0.0,6.2,0.0,0.0,0.0,0.0,0.1,0.0,4.2,1.3,3.2,2,2022,RB
60,Dare Ogunbowale,HOU,0.0,0.0,0.0,13.6,13.6,13.6,0.1,0.1,0.1,1.0,1.0,1.0,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,2.9,2,2022,RB
61,Mike Davis,BAL,8.1,1.9,4.0,31.5,9.4,16.5,0.2,0.0,0.1,1.1,0.0,0.5,7.7,0.0,3.8,0.1,0.0,0.0,0.0,0.0,0.0,5.4,0.9,2.7,2,2022,RB
62,Samaje Perine,CIN,6.1,2.0,3.6,28.3,4.7,13.3,0.2,0.0,0.1,1.7,0.8,1.1,12.8,5.9,8.4,0.1,0.0,0.0,0.0,0.1,0.0,4.7,2.1,2.7,2,2022,RB
63,Tyler Allgeier,ATL,6.4,3.0,4.6,22.6,9.5,16.3,0.2,0.0,0.1,1.0,0.0,0.6,7.7,0.0,4.6,0.0,0.0,0.0,0.0,0.1,0.0,4.4,0.7,2.7,2,2022,RB
64,Patrick Taylor,GB,0.0,0.0,0.0,14.7,14.7,14.7,0.1,0.1,0.1,0.4,0.4,0.4,3.1,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,2.6,2,2022,RB
65,Justin Jackson,DET,0.0,0.0,0.0,9.8,9.8,9.8,0.1,0.1,0.1,0.8,0.8,0.8,7.9,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,2.6,2,2022,RB
66,D'Onta Foreman,CAR,6.5,2.7,4.1,30.0,11.1,19.2,0.2,0.0,0.1,0.5,0.0,0.2,3.7,0.0,1.9,0.0,0.0,0.0,0.0,0.1,0.1,4.5,1.5,2.5,2,2022,RB
