,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
126,Trent Sherfield,MIA,1.6,0.5,1.0,21.1,5.8,12.6,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.8,1.6,2,2022,WR
127,Jamal Agnew,JAC,1.2,0.3,0.9,13.2,3.0,9.5,0.1,0.0,0.0,0.5,0.2,0.4,4.3,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,1.6,2,2022,WR
128,Ray-Ray McCloud,SF,1.6,1.0,1.2,15.8,9.6,12.1,0.1,0.0,0.1,0.1,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,1.6,2,2022,WR
129,Miles Boykin,PIT,1.8,0.2,0.8,21.3,2.0,10.4,0.2,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.3,1.5,2,2022,WR
130,KaVontae Turpin,DAL,1.5,0.5,0.9,17.0,7.1,10.5,0.1,0.0,0.1,0.2,0.0,0.1,1.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.2,1.5,2,2022,WR
131,Marquez Callaway,NO,1.0,0.5,0.8,16.0,7.0,11.4,0.1,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.7,1.5,2,2022,WR
132,Kendall Hinton,DEN,1.1,0.4,0.8,12.0,7.8,9.9,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0,1.4,2,2022,WR
133,Keelan Cole,LV,1.3,0.2,0.7,16.6,4.0,9.6,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,1.4,2,2022,WR
134,Zach Pascal,PHI,1.2,0.7,0.9,15.1,8.0,10.8,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.8,1.3,2,2022,WR
135,Dezmon Patmon,IND,1.4,0.4,0.8,17.0,4.8,10.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.7,1.3,2,2022,WR
136,Danny Gray,SF,0.7,0.7,0.7,9.9,9.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,2,2022,WR
137,Mike Thomas,CIN,1.0,0.8,0.9,11.5,8.0,9.9,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.1,1.3,2,2022,WR
138,Andre Baccellia,ARI,1.4,0.5,0.8,15.2,6.4,9.9,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.9,1.3,2,2022,WR
139,Demetric Felton,CLE,0.7,0.7,0.7,8.0,8.0,8.0,0.0,0.0,0.0,0.3,0.3,0.3,1.7,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,2,2022,WR
140,Montrell Washington,DEN,1.1,0.3,0.7,13.4,3.0,8.7,0.1,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.5,1.2,2,2022,WR
141,Jaelon Darden,TB,1.2,0.2,0.7,14.5,3.6,7.7,0.1,0.0,0.1,0.2,0.0,0.1,1.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.6,1.1,2,2022,WR
142,Khalil Shakir,BUF,0.6,0.6,0.6,8.0,7.7,7.9,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.1,1.1,2,2022,WR
143,Tylan Wallace,BAL,0.6,0.5,0.5,8.0,6.9,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,2,2022,WR
144,Dax Milne,WAS,0.8,0.2,0.5,10.2,2.0,6.6,0.1,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.3,0.9,2,2022,WR
145,Cody Hollister,TEN,0.9,0.3,0.6,10.6,4.1,6.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.5,0.8,2,2022,WR
146,Tutu Atwell,LAR,0.8,0.2,0.5,9.9,4.0,6.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.6,0.8,2,2022,WR
