,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
0,Josh Allen,BUF,39.0,35.0,36.6,26.0,23.0,24.1,300.0,256.7,280.1,4.0,2.0,2.5,0.7,1.0,0.9,8.1,6.0,7.3,49.8,28.0,39.3,0.8,0.0,0.4,0.2,0.3,0.2,30.2,23.7,26.5,2,2022,QB
1,Jalen Hurts,PHI,37.0,29.8,32.0,22.0,17.7,19.7,268.0,216.0,241.1,2.0,1.4,1.7,0.0,1.0,0.7,10.0,9.2,9.6,55.0,44.1,51.7,1.0,0.3,0.5,0.1,0.3,0.2,32.8,20.8,23.8,2,2022,QB
2,Patrick Mahomes,KC,41.0,37.6,39.3,27.0,24.4,25.7,325.0,270.0,297.5,3.0,2.0,2.4,0.6,1.0,0.8,4.4,3.0,3.9,27.2,13.0,19.8,0.3,0.0,0.1,0.1,0.3,0.2,29.8,20.5,23.3,2,2022,QB
3,Lamar Jackson,BAL,36.0,30.1,32.6,23.0,19.3,20.5,268.0,214.3,237.8,2.0,1.0,1.5,0.7,1.0,0.9,10.6,8.3,9.3,61.7,40.0,52.0,1.0,0.2,0.4,0.1,0.3,0.2,28.2,19.1,22.0,2,2022,QB
4,Justin Herbert,LAC,41.0,36.5,38.6,27.0,24.1,25.6,311.0,269.9,288.7,3.0,1.7,2.0,0.8,1.0,0.9,4.0,3.0,3.5,19.0,7.0,15.0,0.3,0.0,0.2,0.0,0.2,0.1,29.1,17.8,21.2,2,2022,QB
5,Kyler Murray,ARI,39.0,32.0,35.1,26.0,21.0,23.4,281.0,230.0,257.1,2.0,1.5,1.7,0.7,1.0,0.8,8.0,6.0,6.7,41.0,27.6,34.6,0.3,0.0,0.2,0.1,0.3,0.2,24.6,18.8,20.7,2,2022,QB
6,Russell Wilson,DEN,36.0,31.0,32.9,24.0,20.0,21.8,290.0,236.5,262.2,3.0,1.6,2.1,0.0,0.6,0.4,4.3,2.0,3.6,23.7,8.0,16.1,0.2,0.0,0.1,0.1,0.3,0.2,23.2,16.9,20.5,2,2022,QB
7,Trey Lance,SF,34.0,24.0,28.3,21.0,16.0,18.2,258.0,188.0,217.3,2.0,1.0,1.4,0.7,1.0,0.8,10.0,7.7,8.8,54.0,34.3,43.4,1.0,0.2,0.4,0.1,0.2,0.2,24.4,17.6,20.3,2,2022,QB
8,Matthew Stafford,LAR,37.0,32.6,35.0,26.0,21.7,23.9,307.0,249.0,277.2,3.0,2.0,2.3,0.0,1.0,0.7,3.0,1.0,2.2,9.0,1.0,5.9,0.1,0.0,0.1,0.1,0.2,0.1,22.3,17.8,20.2,2,2022,QB
9,Derek Carr,LV,38.0,33.0,36.0,26.8,22.0,24.6,303.0,266.6,283.4,3.0,1.8,2.1,0.6,1.1,0.9,2.7,1.0,2.0,10.0,5.0,7.7,0.1,0.0,0.1,0.1,0.4,0.2,22.9,17.4,19.8,2,2022,QB
10,Tom Brady,TB,42.4,36.0,39.1,27.3,24.0,25.6,308.6,264.3,286.0,3.0,1.6,2.0,0.0,1.1,0.7,2.0,0.0,1.5,5.0,0.0,2.3,0.1,0.0,0.0,0.1,0.2,0.2,21.3,17.0,18.9,2,2022,QB
11,Aaron Rodgers,GB,34.0,33.0,33.5,23.0,22.0,22.5,262.0,236.0,252.4,2.3,1.8,2.0,0.0,0.6,0.3,3.0,1.9,2.3,10.0,3.0,7.4,0.1,0.0,0.1,0.1,0.3,0.2,22.0,16.2,18.7,2,2022,QB
12,Joe Burrow,CIN,35.1,31.0,33.5,24.0,22.0,22.6,284.0,249.9,267.8,2.0,1.6,1.8,0.4,1.4,0.9,4.0,1.0,2.9,18.6,5.0,12.4,0.2,0.0,0.1,0.1,0.3,0.2,21.8,16.6,18.6,2,2022,QB
13,Kirk Cousins,MIN,39.0,34.0,36.6,26.0,23.0,24.4,281.2,256.0,268.2,2.0,1.7,1.9,0.5,1.0,0.7,3.0,1.5,2.1,9.0,2.0,5.5,0.1,0.0,0.0,0.1,0.3,0.2,22.2,16.4,18.0,2,2022,QB
14,Carson Wentz,WAS,38.0,32.3,34.4,25.0,20.6,22.1,279.0,241.4,255.0,2.0,1.6,1.8,0.6,1.0,0.8,4.2,2.0,3.5,17.3,9.0,13.9,0.2,0.0,0.1,0.1,0.3,0.2,22.9,16.5,17.9,2,2022,QB
15,Tua Tagovailoa,MIA,39.0,33.0,35.8,26.0,20.0,23.5,290.0,251.0,263.0,2.0,1.1,1.6,0.8,1.0,0.9,4.0,1.0,2.9,13.9,5.0,9.9,0.2,0.0,0.1,0.1,0.3,0.2,21.3,14.7,17.1,2,2022,QB
16,Jared Goff,DET,39.0,33.4,35.8,25.0,21.7,23.4,280.0,231.7,252.4,2.0,1.7,1.8,0.7,1.0,0.8,2.0,0.0,1.4,5.7,0.0,3.9,0.1,0.0,0.0,0.1,0.3,0.2,21.6,14.8,16.7,2,2022,QB
17,Jameis Winston,NO,39.0,29.8,34.4,24.0,18.2,21.7,261.0,187.0,238.3,2.0,1.3,1.6,0.6,1.5,1.0,3.8,2.0,3.0,25.9,8.0,13.7,0.2,0.0,0.1,0.1,0.3,0.2,21.3,14.1,16.7,2,2022,QB
18,Marcus Mariota,ATL,37.0,31.0,32.8,22.0,18.3,20.2,240.3,198.0,225.1,1.2,1.0,1.1,0.6,2.0,0.9,8.0,4.9,6.0,50.7,26.0,33.6,0.4,0.0,0.2,0.1,0.3,0.2,19.9,14.8,16.5,2,2022,QB
19,Daniel Jones,NYG,35.0,29.0,32.2,22.0,19.0,20.5,253.0,179.0,219.0,2.0,1.0,1.4,0.7,2.0,1.0,7.1,4.0,5.4,31.9,16.0,25.3,0.3,0.0,0.2,0.2,0.4,0.3,17.0,14.6,16.1,2,2022,QB
