"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.8","73.7","0.5","0.1","10.4"
"Hunter Henry","LAC","5.5","68.9","0.6","0.1","10.3"
"Austin Hooper","ATL","5.9","62.5","0.5","0.1","9.2"
"Darren Waller","OAK","5.9","61.7","0.4","0.1","8.7"
"Mark Andrews","BAL","4.1","52.5","0.3","0.0","7.2"
"George Kittle","SF","4.6","46.7","0.3","0.1","6.4"
"Jared Cook","NO","3.1","38.1","0.4","0.0","6.2"
"Greg Olsen","CAR","3.8","46.4","0.2","0.0","5.7"
"Eric Ebron","IND","3.6","43.5","0.2","0.0","5.7"
"Jack Doyle","IND","4.4","43.5","0.2","0.1","5.3"
"Jonnu Smith","TEN","3.7","43.1","0.2","0.0","5.2"
"Gerald Everett","LAR","3.5","40.4","0.2","0.0","5.1"
"Mike Gesicki","MIA","4.0","42.8","0.1","0.0","4.7"
"Jason Witten","DAL","4.1","38.0","0.1","0.1","4.4"
"Vance McDonald","PIT","3.5","34.3","0.2","0.0","4.4"
"T.J. Hockenson","DET","3.1","37.5","0.1","0.0","4.3"
"Jimmy Graham","GB","2.9","32.0","0.2","0.0","4.2"
"O.J. Howard","TB","2.6","37.6","0.1","0.1","4.1"
"Kyle Rudolph","MIN","3.2","30.5","0.1","0.0","3.9"
"Rhett Ellison","NYG","3.0","30.3","0.1","0.0","3.7"
"Irv Smith Jr.","MIN","3.0","31.1","0.1","0.0","3.6"
"Trey Burton","CHI","2.7","28.2","0.1","0.0","3.4"
"Ryan Griffin","NYJ","2.5","26.0","0.1","0.0","3.4"
"Tyler Eifert","CIN","2.6","28.6","0.1","0.0","3.3"
"Jacob Hollister","SEA","2.8","27.2","0.1","0.0","3.3"
"Ross Dwelley","SF","2.5","26.8","0.1","0.0","3.3"
"Demetrius Harris","CLE","2.3","22.7","0.2","0.0","3.2"
"Dawson Knox","BUF","2.4","25.8","0.1","0.0","3.0"
"Chris Herndon IV","NYJ","1.9","24.0","0.1","0.0","3.0"
"Cameron Brate","TB","1.9","21.9","0.1","0.0","2.9"
"Hayden Hurst","BAL","2.1","23.3","0.1","0.0","2.8"
"Foster Moreau","OAK","2.0","20.5","0.1","0.0","2.6"
"Blake Jarwin","DAL","1.6","18.4","0.1","0.0","2.5"
"Charles Clay","ARI","2.0","21.8","0.1","0.0","2.5"
"Tyler Kroft","BUF","2.0","20.9","0.1","0.0","2.5"
"Ricky Seals-Jones","CLE","1.7","21.3","0.1","0.0","2.4"
"Anthony Firkser","TEN","1.5","19.0","0.1","0.0","2.4"
"C.J. Uzomah","CIN","1.8","18.8","0.1","0.0","2.4"
"Josh Hill","NO","1.9","19.0","0.1","0.0","2.4"
"Nick Boyle","BAL","1.9","18.9","0.1","0.0","2.3"
"Tyler Higbee","LAR","1.8","18.6","0.1","0.0","2.3"
"Maxx Williams","ARI","1.8","16.7","0.1","0.0","2.1"
"Ed Dickson","SEA","1.4","15.5","0.1","0.0","1.9"
"Adam Shaheen","CHI","1.5","15.2","0.1","0.0","1.9"
"Tanner Hudson","TB","1.2","13.0","0.1","0.0","1.8"
"Dan Arnold","NO","1.3","13.6","0.1","0.0","1.7"
"Jesse James","DET","1.4","14.5","0.0","0.0","1.7"
"Marcedes Lewis","GB","1.2","13.1","0.1","0.0","1.7"
"Nick Vannett","PIT","1.3","13.2","0.0","0.0","1.6"
"Luke Willson","SEA","1.2","13.0","0.0","0.0","1.5"
"Mo Alie-Cox","IND","0.9","11.4","0.0","0.0","1.4"
"Kaden Smith","NYG","1.1","11.2","0.1","0.0","1.4"
"Logan Thomas","DET","1.4","13.2","0.0","0.0","1.4"
"Luke Stocker","ATL","1.2","10.6","0.0","0.0","1.3"
"Pharaoh Brown","CLE","0.9","10.0","0.0","0.0","1.3"
"Zach Gentry","PIT","0.7","6.2","0.1","0.0","1.2"
"Levine Toilolo","SF","0.8","9.5","0.0","0.0","1.2"
"Virgil Green","LAC","0.8","9.8","0.0","0.0","1.1"
"Derek Carrier","OAK","1.0","9.5","0.0","0.0","1.0"
"Tommy Sweeney","BUF","0.7","7.0","0.1","0.0","1.0"
"Stephen Carlson","CLE","0.8","8.3","0.0","0.0","1.0"
"Jace Sternberger","GB","0.6","6.9","0.0","0.0","0.9"
"Blake Bell","KC","0.7","7.9","0.0","0.0","0.9"
"Ian Thomas","CAR","0.7","6.7","0.0","0.0","0.9"
"Lee Smith","BUF","0.9","6.4","0.0","0.0","0.8"
"Durham Smythe","MIA","0.6","7.5","0.0","0.0","0.7"
"MyCole Pruitt","TEN","0.6","6.7","0.0","0.0","0.7"
"Jaeden Graham","ATL","0.6","6.5","0.0","0.0","0.7"
"Deon Yelder","KC","0.4","4.4","0.0","0.0","0.7"
"Jordan Leggett","TB","0.4","4.4","0.0","0.0","0.6"
"Drew Sample","CIN","0.6","6.4","0.0","0.0","0.6"
"J.P. Holtz","CHI","0.6","6.2","0.0","0.0","0.6"
"Ben Braunecker","CHI","0.5","6.0","0.0","0.0","0.6"
"Lance Kendricks","LAC","0.4","5.7","0.0","0.0","0.6"
"Tyler Conklin","MIN","0.5","5.3","0.0","0.0","0.5"
"Dalton Schultz","DAL","0.5","4.9","0.0","0.0","0.5"
"Robert Tonyan","GB","0.5","5.2","0.0","0.0","0.5"
"Chris Manhertz","CAR","0.4","4.1","0.0","0.0","0.4"
"Johnny Mundt","LAR","0.3","3.2","0.0","0.0","0.3"
"Daniel Brown","NYJ","0.2","2.9","0.0","0.0","0.3"
"Trevon Wesco","NYJ","0.3","2.7","0.0","0.0","0.3"
"Clive Walford","MIA","0.2","2.0","0.0","0.0","0.3"
"Garrett Celek","SF","0.1","1.2","0.0","0.0","0.2"
"Darrell Daniels","ARI","0.1","1.4","0.0","0.0","0.2"
"Cethan Carter","CIN","0.1","0.8","0.0","0.0","0.1"
""
""
