,Player,Position,Salary,DK_Points,DK_Value
0,Jameis Winston,QB,6800,25.110000000000003,270.80844285145355
1,Drew Brees,QB,6700,24.494000000000003,273.53637625540944
2,Matt Ryan,QB,6100,22.138,275.5443129460656
3,Patrick Mahomes,QB,7000,24.816000000000003,282.07607994842033
4,Lamar Jackson,QB,7300,25.169999999999998,290.0278108859754
5,Kyler Murray,QB,6500,21.421999999999997,303.4263840911213
6,Aaron Rodgers,QB,6600,21.169999999999998,311.76192725555035
7,Daniel Jones,QB,5700,17.914,318.1868929329016
8,Ryan Tannehill,QB,5100,15.988,318.9892419314486
9,Ryan Fitzpatrick,QB,5200,16.106,322.86104557307834
10,Mitch Trubisky,QB,5100,15.793999999999999,322.90743320248197
11,Kyle Allen,QB,5100,15.153999999999998,336.54480665170917
12,Jared Goff,QB,6200,18.342,338.02202595136845
13,Josh Allen,QB,6300,18.253999999999998,345.1298345568095
14,Mason Rudolph,QB,4900,14.116,347.12383111362993
15,Baker Mayfield,QB,5000,14.172,352.8083545018346
16,Ryan Finley,QB,4800,13.398,358.2624272279445
17,Sam Darnold,QB,5800,15.682000000000002,369.85078433873224
18,Brian Hoyer,QB,5900,15.867999999999999,371.8174943282078
19,Jeff Driskel,QB,4100,9.934000000000001,412.7239782564928
20,Matt Moore,QB,4900,7.258,675.117112152108
21,David Montgomery,RB,5300,15.39,344.3794671864847
22,David Johnson,RB,5700,16.19,352.06917850525014
23,Devin Singletary,RB,5000,14.010000000000002,356.887937187723
24,Le'Veon Bell,RB,6900,19.240000000000002,358.6278586278586
25,Marlon Mack,RB,7000,19.050000000000004,367.4540682414697
26,Jaylen Samuels,RB,6300,17.060000000000002,369.28487690504096
27,Derrick Henry,RB,6400,17.119999999999997,373.83177570093466
28,Saquon Barkley,RB,8800,23.379999999999995,376.39007698887946
29,Devonta Freeman,RB,5100,13.47,378.61915367483294
30,Nick Chubb,RB,7000,18.01,388.67295946696277
31,Damien Williams,RB,4900,12.58,389.5071542130366
32,Alvin Kamara,RB,8200,20.83,393.6629860777725
33,Aaron Jones,RB,7400,18.779999999999998,394.03620873269443
34,Christian McCaffrey,RB,10500,26.250000000000004,399.99999999999994
35,Kareem Hunt,RB,3000,7.440000000000001,403.2258064516128
36,Joe Mixon,RB,4700,11.61,404.82342807924203
37,Todd Gurley,RB,6100,14.64,416.66666666666663
38,Tarik Cohen,RB,4200,9.940000000000001,422.5352112676056
39,Kalen Ballage,RB,3800,8.47,448.64226682408497
40,Mark Ingram,RB,7100,15.450000000000001,459.546925566343
41,Ty Johnson,RB,4100,8.67,472.8950403690888
42,Myles Gaskin,RB,3000,6.23,481.5409309791332
43,Jamaal Williams,RB,5200,10.42,499.0403071017275
44,LeSean McCoy,RB,4400,8.57,513.4189031505251
45,Nyheim Hines,RB,4500,8.430000000000001,533.8078291814945
46,J.D. McKissic,RB,4300,8.03,535.4919053549191
47,Frank Gore,RB,4000,7.010000000000001,570.6134094151212
48,Peyton Barber,RB,3700,6.300000000000002,587.3015873015871
49,Trey Edmunds,RB,3400,5.71,595.4465849387041
50,Kenyan Drake,RB,5500,9.0,611.1111111111111
51,Giovani Bernard,RB,4000,6.53,612.5574272588055
52,Dion Lewis,RB,3900,6.300000000000001,619.0476190476189
53,Latavius Murray,RB,7300,10.400000000000002,701.9230769230768
54,Darrell Henderson,RB,4100,5.670000000000001,723.1040564373897
55,Brian Hill,RB,3900,5.130000000000001,760.2339181286549
56,Michael Thomas,WR,8300,26.63,311.67855801727376
57,Mike Evans,WR,7600,22.16,342.96028880866425
58,Tyreek Hill,WR,7700,21.13,364.4107903454804
59,Julio Jones,WR,7500,20.49,366.0322108345535
60,Christian Kirk,WR,5200,13.93,373.29504666188086
