,Player,Salary
0,James Conner,7300
1,T.Y. Hilton,6600
2,Matthew Stafford,6400
3,A.J. Green,6000
4,Jacoby Brissett,6000
5,Evan Engram,5700
6,Cam Newton,5600
7,DJ Moore,5200
8,Sterling Shepard,5000
9,Chase Edmonds,5000
10,Brandin Cooks,5000
11,DeVante Parker,4800
12,Preston Williams,4700
13,Ronald Jones,4300
14,Mark Walton,4300
15,Jake Dolegala,4100
16,Ito Smith,4100
17,Trace McSorley,4000
18,Alex Tanney,4000
19,Blaine Gabbert,4000
20,Andrew Luck,4000
21,Paxton Lynch,4000
22,Ben Roethlisberger,4000
23,Chris Herndon,3800
24,Parris Campbell,3800
25,Benny Snell,3800
26,Delanie Walker,3700
27,Duke Williams,3300
28,David Njoku,3200
29,Stanley Morgan,3100
30,Jaleel Scott,3000
31,KhaDarel Hodge,3000
32,Danny Vitale,3000
33,Russell Shepard,3000
34,Scotty Miller,3000
35,Amara Darboh,3000
36,Devin Funchess,3000
37,Roosevelt Nix,3000
38,Patrick Scales,2500
39,Clark Harris,2500
40,Rico Gathers,2500
41,Antony Auclair,2500
42,Beau Brinkley,2500
43,James Winchester,2500
44,Xavier Grimble,2500
