Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Justin Herbert,LAC,QB,6800.0,Justin Herbert (15713431),27.0,19.810000000000002,25.503,32.5,17.21,21.868000000000002,28.8,18.21,22.668000000000003,29.400000000000002,343.2609793033821,266.63529780810103,209.23076923076923,3,2,1,1,1,3
Derek Carr,LV,QB,5700.0,Derek Carr (15713439),19.85,16.15,20.402,22.822000000000003,14.399999999999999,18.112000000000002,20.132,15.399999999999999,18.712,20.532000000000004,352.9411764705883,279.38437408097246,249.75900446937163,11,4,2,2,2,6
Matt Ryan,ATL,QB,6400.0,Matt Ryan (15713434),20.54,17.83,22.572000000000003,25.72,14.779999999999998,18.732000000000006,22.020000000000003,15.78,19.432000000000006,22.62,358.94559730790803,283.5371256423888,248.83359253499225,7,3,3,2,2,5
Deshaun Watson,HOU,QB,7100.0,Deshaun Watson (15713428),24.5,18.13,25.019,29.67,16.93,22.264000000000006,26.67,17.83,22.864,26.67,391.6161059018202,283.7843239138255,239.298955173576,5,2,4,2,2,4
Josh Allen,BUF,QB,7000.0,Josh Allen (15713429),25.07,17.182000000000002,24.554999999999996,30.406,15.692,21.83,26.886000000000003,16.692,22.729999999999997,27.586000000000002,407.40309626353155,285.07432294848303,230.21772018680525,6,2,5,2,2,4
Russell Wilson,SEA,QB,7600.0,Russell Wilson (15713427),32.01,19.51,25.610000000000003,30.539999999999996,18.060000000000002,23.010000000000005,27.74,18.76,23.510000000000005,27.74,389.543823680164,296.7590784849668,248.85396201702687,2,2,6,3,2,5
Patrick Mahomes,KC,QB,8100.0,Patrick Mahomes (15713425),27.51,21.6,26.962,32.032000000000004,19.0,23.772000000000002,29.032000000000004,19.8,24.272000000000002,29.032000000000004,375.0,300.42281729842,252.87212787212783,1,1,7,3,1,4
Kyler Murray,ARI,QB,7800.0,Kyler Murray (15713426),29.94,17.948,25.467999999999996,33.39,16.448,23.408,29.94,17.748,24.308,30.740000000000002,434.5888121239135,306.26668760797867,233.60287511230908,4,2,8,4,2,6
Matthew Stafford,DET,QB,6600.0,Matthew Stafford (15713432),19.76,16.862000000000002,21.466,26.979999999999997,14.472000000000001,17.946000000000005,23.28,15.472000000000003,18.646000000000004,23.88,391.41264381449406,307.46296468834436,244.62564862861382,8,4,9,4,4,8
Ben Roethlisberger,PIT,QB,6500.0,Ben Roethlisberger (15713433),18.1,16.605000000000004,20.82,25.770000000000003,14.78,18.420000000000005,23.120000000000005,15.680000000000001,19.120000000000005,23.120000000000005,391.44835892803366,312.1998078770413,252.2312766783081,10,4,10,4,4,8
Teddy Bridgewater,CAR,QB,6000.0,Teddy Bridgewater (15713437),17.92,14.010000000000002,19.149,23.87,12.360000000000001,16.794000000000004,21.020000000000003,13.46,17.694000000000003,21.720000000000002,428.26552462526763,313.33228889237034,251.36154168412233,12,5,11,4,4,9
Daniel Jones,NYG,QB,5400.0,Daniel Jones (15713443),14.4,13.73,17.200000000000003,22.4,11.73,15.8,21.0,12.930000000000001,16.8,21.8,393.2993445010925,313.953488372093,241.07142857142858,15,6,12,4,4,10
Drew Lock,DEN,QB,5200.0,Drew Lock (15713446),10.84,11.463999999999999,16.253,20.497999999999998,9.864,14.967999999999998,18.738,11.164,15.868,19.438000000000002,453.5938590369854,319.9409339814188,253.68328617426093,18,6,13,5,5,11
Jake Luton,JAC,QB,4900.0,Jake Luton (15713450),0.0,11.946,15.117999999999999,17.979999999999997,10.646,14.017999999999997,16.880000000000003,11.646,14.917999999999997,17.580000000000002,410.17913946090744,324.11694668606964,272.5250278086763,21,7,14,5,5,12
Nick Foles,CHI,QB,5500.0,Nick Foles (15713442),14.56,11.999999999999998,16.868000000000002,24.059999999999995,10.3,14.608,20.259999999999998,11.7,15.608000000000002,20.959999999999997,458.3333333333334,326.0611809343134,228.59517871986705,17,6,15,5,5,11
Philip Rivers,IND,QB,5600.0,Philip Rivers (15713440),16.31,11.600000000000001,17.145,23.51,9.4,14.770000000000003,19.810000000000006,11.4,15.870000000000001,20.410000000000004,482.7586206896551,326.62583843686207,238.19651212250105,16,6,16,5,5,11
Lamar Jackson,BAL,QB,6900.0,Lamar Jackson (15713430),21.55,15.258000000000001,20.912000000000003,29.157999999999994,13.858,19.912,28.398,14.858,20.612000000000002,28.898,452.22178529296104,329.9540933435348,236.64174497564994,9,4,17,5,4,9
Ryan Tannehill,TEN,QB,6300.0,Ryan Tannehill (15713435),23.16,14.37,18.796999999999997,24.451999999999998,12.87,17.381999999999998,21.712000000000003,13.87,18.182,22.412000000000003,438.4133611691023,335.1598659360537,257.6476361851791,13,5,18,6,5,11
Kirk Cousins,MIN,QB,6200.0,Kirk Cousins (15713436),16.7,14.532000000000002,18.214,22.14999999999999,13.232000000000003,16.784000000000002,20.2,14.232000000000003,17.584000000000003,20.799999999999997,426.64464629782543,340.3974964313166,279.9097065462755,14,5,19,6,5,11
Kyle Allen,WAS,QB,5300.0,Kyle Allen (15713444),14.84,11.540000000000001,15.352999999999998,21.419999999999998,9.940000000000001,14.217999999999998,18.620000000000005,11.040000000000001,15.117999999999999,19.42,459.27209705372616,345.20940532794896,247.4323062558357,19,7,20,6,6,13
Tua Tagovailoa,MIA,QB,5500.0,Tua Tagovailoa (15713441),3.54,11.25,15.127999999999998,19.799999999999997,9.75,14.028,17.65,10.75,14.828,18.35,488.8888888888889,363.56425171866744,277.7777777777778,20,7,21,7,7,14
Garrett Gilbert,DAL,QB,4800.0,Garrett Gilbert (15713454),0.0,4.361999999999999,11.17,18.487999999999996,2.0619999999999994,9.969999999999999,17.328,4.061999999999999,10.969999999999999,17.828,1100.4126547455298,429.7224709042077,259.6278667243618,22,8,22,8,8,16
Justin Jackson,LAC,RB,4900.0,Justin Jackson (15713529),9.32,6.9,13.770000000000001,20.91,5.85,12.22,19.16,6.8,13.670000000000002,20.91,710.1449275362319,355.8460421205519,234.337637494022,14,4,1,1,1,5
Derrick Henry,TEN,RB,7900.0,Derrick Henry (15713487),22.23,15.115,21.880000000000003,26.31,12.280000000000001,17.830000000000002,21.71,12.83,18.780000000000005,23.21,522.6596096592789,361.06032906764165,300.26605853287725,3,1,2,1,1,2
Josh Jacobs,LV,RB,6300.0,Josh Jacobs (15713501),16.34,12.420000000000002,17.319999999999997,24.325000000000003,11.22,15.860000000000003,20.070000000000004,12.22,17.16,21.570000000000004,507.24637681159413,363.7413394919169,258.99280575539564,6,2,3,1,1,3
D'Andre Swift,DET,RB,5000.0,D'Andre Swift (15713527),13.14,4.890000000000001,13.590000000000002,20.42,3.3899999999999997,11.690000000000001,17.92,4.79,13.490000000000002,20.42,1022.4948875255623,367.9175864606328,244.85798237022524,15,4,4,2,2,6
Dalvin Cook,MIN,RB,8200.0,Dalvin Cook (15713485),28.65,13.8,22.015,29.849999999999998,12.45,18.980000000000004,24.75,13.6,20.580000000000005,26.75,594.2028985507246,372.47331364978425,274.70686767169184,1,1,5,2,1,3
James Conner,PIT,RB,6900.0,James Conner (15713491),17.04,13.900000000000002,18.380000000000003,26.549999999999997,12.700000000000001,16.780000000000005,22.55,13.700000000000001,18.280000000000005,24.8,496.40287769784163,375.4080522306855,259.88700564971754,4,2,6,2,2,4
David Montgomery,CHI,RB,5700.0,David Montgomery (15713513),13.15,10.500000000000002,15.149999999999999,21.33,9.200000000000001,13.549999999999999,19.13,10.3,15.049999999999999,21.23,542.8571428571428,376.23762376237624,267.22925457102673,9,3,7,2,2,5
Melvin Gordon,DEN,RB,5300.0,Melvin Gordon III (15713519),15.72,10.04,14.000000000000002,22.1,8.74,12.35,19.85,9.74,13.8,22.000000000000004,527.8884462151395,378.5714285714285,239.81900452488685,12,4,8,2,2,6
David Johnson,HOU,RB,5600.0,David Johnson (15713515),13.47,7.5,14.69,20.019999999999996,6.65,13.34,18.12,7.3,14.59,19.919999999999998,746.6666666666666,381.21170864533696,279.7202797202798,11,3,9,2,2,5
James Robinson,JAC,RB,7000.0,James Robinson (15713489),20.09,13.98,18.27,25.8,12.53,16.62,22.39,13.78,18.17,24.240000000000002,500.7153075822604,383.1417624521073,271.3178294573643,5,2,10,2,2,4
Christian McCaffrey,CAR,RB,8500.0,Christian McCaffrey (15713483),26.65,16.0,21.959999999999994,28.839999999999996,13.8,19.06,25.01,15.799999999999999,21.859999999999996,28.36,531.25,387.06739526411667,294.72954230235786,2,1,11,2,1,3
Chase Edmonds,ARI,RB,6800.0,Chase Edmonds (15713493),11.97,7.0,17.149999999999995,25.669999999999998,5.5,15.3,22.570000000000004,6.8,17.049999999999997,24.77,971.4285714285714,396.50145772594766,264.90066225165566,7,2,12,3,2,5
Todd Gurley,ATL,RB,6200.0,Todd Gurley II (15713503),15.6,10.540000000000001,15.170000000000002,19.490000000000002,9.49,13.92,17.690000000000005,10.34,15.070000000000002,19.390000000000004,588.235294117647,408.7013843111404,318.11185223191376,8,3,13,3,3,6
Clyde Edwards-Helaire,KC,RB,6100.0,Clyde Edwards-Helaire (15713505),15.08,9.730000000000002,14.850000000000001,21.2,8.53,13.35,19.349999999999998,9.530000000000001,14.750000000000002,21.2,626.9270298047275,410.77441077441074,287.7358490566038,10,3,14,3,3,6
Devin Singletary,BUF,RB,4700.0,Devin Singletary (15713541),10.18,7.0200000000000005,11.400000000000002,17.4,5.97,9.950000000000001,15.399999999999999,6.92,11.300000000000002,17.4,669.5156695156695,412.2807017543859,270.11494252873564,19,5,15,3,3,8
DeeJay Dallas,SEA,RB,5000.0,DeeJay Dallas (15713533),7.72,2.0,11.96,19.689999999999998,1.7000000000000004,10.71,17.99,1.9000000000000001,11.860000000000001,19.689999999999998,2500.0,418.0602006688963,253.9360081259523,18,5,16,3,3,8
Antonio Gibson,WAS,RB,5800.0,Antonio Gibson (15713511),13.83,6.579999999999999,13.559999999999999,20.080000000000002,5.23,12.11,18.580000000000002,6.379999999999999,13.459999999999999,20.080000000000002,881.4589665653497,427.72861356932157,288.8446215139442,16,4,17,3,3,7
JD McKissic,WAS,RB,4300.0,J.D. McKissic (15713553),8.2,4.98,9.25,13.370000000000001,3.3800000000000003,7.3500000000000005,10.870000000000001,4.680000000000001,9.15,13.370000000000001,863.4538152610442,464.86486486486484,321.6155572176514,23,7,18,4,4,11
JK Dobbins,BAL,RB,4900.0,J.K. Dobbins (15713535),8.84,4.9,10.420000000000002,17.46,4.05,9.120000000000001,15.36,4.8,10.320000000000002,17.46,999.9999999999999,470.2495201535508,280.6414662084765,20,6,19,4,4,10
Ezekiel Elliott,DAL,RB,6600.0,Ezekiel Elliott (15713497),17.76,6.12,13.850000000000003,19.5,5.0200000000000005,12.200000000000001,17.150000000000002,5.82,13.650000000000002,19.400000000000002,1078.4313725490197,476.53429602888076,338.46153846153845,13,4,20,4,4,8
Jonathan Taylor,IND,RB,6000.0,Jonathan Taylor (15713507),13.57,7.23,12.3,18.140000000000004,6.13,10.950000000000001,16.39,7.13,12.200000000000001,18.140000000000004,829.8755186721992,487.80487804878044,330.76074972436595,17,5,21,5,5,10
Nyheim Hines,IND,RB,4400.0,Nyheim Hines (15713551),11.27,6.260000000000001,9.0,10.990000000000002,4.86,7.1499999999999995,8.990000000000002,6.16,8.9,10.990000000000002,702.8753993610222,488.8888888888889,400.36396724294804,24,7,22,5,5,12
Joshua Kelley,LAC,RB,4400.0,Joshua Kelley (15713549),7.91,3.5100000000000002,8.89,14.040000000000001,3.2100000000000004,7.89,12.540000000000003,3.3100000000000005,8.790000000000001,13.940000000000001,1253.5612535612536,494.9381327334083,313.3903133903134,25,7,23,5,5,12
Wayne Gallman,NYG,RB,4500.0,Wayne Gallman Jr. (15713547),7.38,4.000000000000001,8.74,14.65,3.4000000000000004,7.64,12.750000000000002,3.9000000000000004,8.64,14.65,1124.9999999999998,514.8741418764301,307.1672354948805,26,7,24,6,6,13
Jordan Howard,MIA,RB,4000.0,Jordan Howard (15713645),5.02,0.9000000000000002,7.57,11.66,0.7,7.0200000000000005,10.56,0.8000000000000003,7.57,11.66,4444.444444444443,528.4015852047556,343.0531732418525,27,8,25,7,7,15
Le'Veon Bell,KC,RB,5100.0,Le'Veon Bell (15713531),6.25,4.720000000000001,9.59,14.28,3.87,8.24,12.28,4.62,9.49,14.28,1080.508474576271,531.8039624608967,357.14285714285717,22,6,26,7,6,13
Zack Moss,BUF,RB,5200.0,Zack Moss (15713523),9.34,6.33,9.770000000000001,16.520000000000003,5.830000000000001,8.920000000000002,15.12,6.2299999999999995,9.670000000000002,16.520000000000003,821.4849921011058,532.2415557830092,314.7699757869249,21,6,27,7,6,13
Duke Johnson,HOU,RB,4000.0,Duke Johnson (15713621),4.62,4.0600000000000005,7.129999999999999,10.100000000000001,3.11,5.98,8.55,3.96,7.129999999999999,10.100000000000001,985.2216748768471,561.0098176718093,396.039603960396,28,8,28,8,8,16
Adrian Peterson,DET,RB,4000.0,Adrian Peterson (15713605),8.09,3.3399999999999994,6.970000000000001,11.19,3.09,6.319999999999999,10.14,3.2399999999999993,6.87,11.19,1197.6047904191619,573.8880918220947,357.4620196604111,29,8,29,8,8,16
Keenan Allen,LAC,WR,7000.0,Keenan Allen (15713707),18.69,15.979999999999999,21.3,28.1,12.83,16.07,20.75,15.879999999999999,19.820000000000004,25.1,438.0475594493117,328.63849765258215,249.1103202846975,2,1,1,1,1,2
Julio Jones,ATL,WR,7200.0,Julio Jones (15713701),19.57,18.275,21.099999999999998,26.580000000000002,14.01,15.7,19.98,17.110000000000003,19.0,23.580000000000002,393.9808481532148,341.2322274881517,270.8803611738149,3,1,2,1,1,2
Danny Amendola,DET,WR,3700.0,Danny Amendola (15713809),7.2,7.33,10.37,14.100000000000001,5.63,8.22,11.100000000000001,7.2299999999999995,10.37,14.100000000000001,504.77489768076396,356.79845708775315,262.41134751773046,36,6,3,1,1,7
DJ Moore,CAR,WR,5600.0,DJ Moore (15713737),14.52,12.390000000000002,15.390000000000002,22.275,10.14,12.590000000000002,17.95,12.290000000000003,15.290000000000003,21.15,451.9774011299434,363.8726445743989,251.40291806958476,13,3,4,1,1,4
DeVante Parker,MIA,WR,5200.0,DeVante Parker (15713745),12.53,10.090000000000002,14.17,22.15,8.14,11.870000000000001,17.85,9.990000000000002,14.17,20.8,515.3617443012884,366.9724770642202,234.76297968397293,16,4,5,1,1,5
DeAndre Hopkins,ARI,WR,8200.0,DeAndre Hopkins (15713695),22.34,17.449999999999996,22.225,27.9,14.000000000000002,16.42,20.8,16.900000000000002,20.070000000000004,24.9,469.9140401146133,368.95388076490434,293.9068100358423,1,1,6,1,1,2
Tyler Lockett,SEA,WR,6800.0,Tyler Lockett (15713711),22.07,15.3,18.31,23.0,12.65,15.209999999999999,18.3,15.200000000000001,18.31,21.8,444.4444444444444,371.3817586018569,295.6521739130435,5,2,7,1,1,3
Stefon Diggs,BUF,WR,7400.0,Stefon Diggs (15713699),18.81,15.06,19.825000000000003,25.049999999999997,12.31,15.370000000000003,19.15,14.96,18.570000000000004,22.8,491.36786188579015,373.26607818411094,295.4091816367266,4,1,8,1,1,2
