,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Davante Adams,GB,9.0,6.7,7.9,113.0,84.7,96.5,1.0,0.7,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,17.3,13.0,14.5,9,WR
1,DeAndre Hopkins,ARI,8.3,5.8,7.3,109.0,83.0,94.7,1.0,0.5,0.6,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,16.6,11.1,13.1,9,WR
2,DK Metcalf,SEA,6.0,4.4,5.2,107.0,71.4,85.0,1.0,0.6,0.7,0.1,0.0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.1,16.7,11.4,12.8,9,WR
3,Tyreek Hill,KC,5.7,4.8,5.1,92.0,69.8,78.4,1.0,0.5,0.7,1.3,0.3,0.9,9.3,1.8,5.9,0.1,0.0,0.1,0.0,0.1,0.0,15.2,11.4,12.7,9,WR
4,Julio Jones,ATL,7.2,6.2,6.6,99.2,86.9,93.3,1.0,0.4,0.5,0.1,0.0,0.1,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,15.4,10.9,12.4,9,WR
5,Keenan Allen,LAC,8.0,6.1,7.2,94.3,74.5,85.4,1.0,0.4,0.6,0.3,0.0,0.2,1.9,0.1,0.9,0.0,0.0,0.0,0.0,0.1,0.1,15.4,11.0,12.4,9,WR
6,Stefon Diggs,BUF,7.3,5.5,6.5,95.0,80.3,88.8,1.0,0.4,0.6,0.5,0.0,0.3,2.6,0.0,1.5,0.0,0.0,0.0,0.0,0.1,0.0,15.5,11.0,12.4,9,WR
7,Tyler Lockett,SEA,7.0,5.4,6.3,88.0,73.1,80.5,1.0,0.5,0.7,0.6,0.0,0.3,4.4,0.0,1.4,0.0,0.0,0.0,0.0,0.1,0.0,14.8,11.0,12.2,9,WR
8,Adam Thielen,MIN,7.0,4.9,5.6,83.0,65.5,74.0,1.0,0.4,0.7,0.6,0.2,0.4,3.6,0.9,1.8,0.0,0.0,0.0,0.0,0.1,0.1,14.3,10.3,11.5,9,WR
9,Terry McLaurin,WAS,6.0,5.6,5.7,87.0,79.1,82.5,1.0,0.3,0.5,0.2,0.1,0.1,0.8,0.2,0.4,0.0,0.0,0.0,0.0,0.1,0.0,14.7,9.9,11.4,9,WR
