Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,2336962514,jayrho,0,190.72,QB Drew Lock RB Dalvin Cook RB Chase Edmonds WR Julio Jones WR Keenan Allen WR Marvin Jones Jr. FLEX Jerry Jeudy TE Irv Smith Jr. DST Cardinals ,,Vikings ,DST,10.54%,9
26,2339822463,Chris7214,0,190.6,QB Lamar Jackson RB Dalvin Cook RB Todd Gurley II WR Terry McLaurin WR Christian Kirk WR Demarcus Robinson FLEX Travis Kelce TE Hayden Hurst DST Vikings ,,Darnell Mooney,WR,10.25%,9.3
27,2329872473,kylorl3,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Diontae Johnson,WR,9.27%,14.1
27,2332320122,WCChevy16,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Josh Jacobs,RB,9.03%,13.8
27,2334499658,wooozoid,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Irv Smith Jr.,TE,7.95%,15
27,2338106365,TheSlobGorges,0,190.5,QB Josh Allen FLEX Christian McCaffrey RB Dalvin Cook RB Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Drew Lock,QB,7.22%,33.22
27,2339670956,antonpatrone,0,190.5,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Wayne Gallman Jr. WR Julio Jones WR Sterling Shepard WR Darnell Mooney TE Tyler Kroft DST Giants ,,Texans ,DST,7.20%,4
32,2339772250,hookem77,0,189.64,QB Matthew Stafford RB Christian McCaffrey RB Dalvin Cook FLEX Stefon Diggs WR Marvin Jones Jr. WR Jerry Jeudy WR David Moore TE Hayden Hurst DST Lions ,,WAS Football Team ,DST,7.05%,5
33,2330509508,cutlass123,0,188.9,QB Josh Allen RB Christian McCaffrey RB Dalvin Cook FLEX Tyler Lockett WR John Brown WR Darnell Mooney WR Danny Amendola TE Noah Fant DST Giants ,,Steelers ,DST,6.87%,7
34,2338210007,Hintolis,0,188.6,QB Russell Wilson RB Dalvin Cook RB Chase Edmonds WR Stefon Diggs WR Jerry Jeudy WR John Brown FLEX David Moore TE Hayden Hurst DST WAS Football Team ,,Derek Carr,QB,6.77%,15
35,2337938816,Fan94,0,188.42,QB Drew Lock RB Christian McCaffrey RB Dalvin Cook FLEX Derrick Henry WR Cole Beasley WR Jerry Jeudy WR Danny Amendola TE Logan Thomas DST Giants ,,James Robinson,RB,6.44%,15.9
36,2331431583,ajvottero,0,187.22,QB Drew Lock RB Dalvin Cook FLEX Chase Edmonds RB Justin Jackson WR Brandin Cooks WR Marvin Jones Jr. WR Jerry Jeudy TE Travis Kelce DST Bills ,,Sterling Shepard,WR,6.09%,11.7
37,2333176890,TheWombo,0,187.14,QB Justin Herbert RB Dalvin Cook FLEX Clyde Edwards-Helaire RB Antonio Gibson WR Christian Kirk WR Jerry Jeudy WR John Brown TE T.J. Hockenson DST WAS Football Team ,,Darren Waller,TE,5.74%,13.2
38,2336648407,BoomerSooner984,0,187.12,QB Drew Lock RB Dalvin Cook FLEX Chase Edmonds RB DeeJay Dallas WR Julio Jones WR Marvin Jones Jr. WR Jerry Jeudy TE Evan Engram DST Ravens ,,Chase Claypool,WR,5.66%,15.3
39,2336598065,tritger22,0,186.7,QB Josh Allen RB Dalvin Cook RB Justin Jackson WR Julio Jones WR Tyreek Hill WR Jerry Jeudy FLEX Darnell Mooney TE Jonnu Smith DST Texans ,,Terry McLaurin,WR,5.66%,27.5
40,2330603991,mikekitt00,0,186.38,QB Patrick Mahomes RB Clyde Edwards-Helaire RB Jordan Howard WR Tyreek Hill WR Cole Beasley WR Jerry Jeudy FLEX Curtis Samuel TE Travis Kelce DST Cardinals ,,Cole Beasley,WR,5.34%,6.9
41,2337097843,Angry_Chinese_Dog,0,186.24,QB Justin Herbert RB Christian McCaffrey RB Dalvin Cook FLEX Chase Claypool WR Marvin Jones Jr. WR John Brown WR David Moore TE T.J. Hockenson DST Cardinals ,,Cowboys ,DST,5.29%,2
