Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2337982336,GoadMoney2,0,226.62,QB Kyler Murray RB Christian McCaffrey RB Dalvin Cook FLEX Antonio Gibson WR DJ Chark Jr. WR Jerry Jeudy WR Curtis Samuel TE Jack Doyle DST Falcons ,,Dalvin Cook,RB,51.38%,42.2
2,2331860032,ero84,0,220.82,QB Drew Lock RB Dalvin Cook RB Zack Moss WR Julio Jones WR Keenan Allen WR DJ Chark Jr. FLEX Jerry Jeudy TE Evan Engram DST Giants ,,Julio Jones,WR,42.37%,16.4
3,2336007307,GusDahill,0,214.06,QB Jake Luton RB Christian McCaffrey RB Dalvin Cook FLEX Tyreek Hill WR DJ Chark Jr. WR Preston Williams WR Marvin Hall TE Evan Engram DST WAS Football Team ,,Justin Jackson,FLEX,39.15%,0
4,2337774615,CEO_SPORTS,0,213.78,QB Patrick Mahomes RB Dalvin Cook RB Clyde Edwards-Helaire FLEX Jordan Howard WR Tyreek Hill WR DJ Chark Jr. WR Jerry Jeudy TE Hayden Hurst DST Vikings ,,Tyler Lockett,WR,36.97%,8
5,2335399310,Davidzamora1390,0,213.52,QB Drew Lock RB Dalvin Cook RB James Robinson WR Tyreek Hill WR JuJu Smith-Schuster WR Jerry Jeudy TE Noah Fant FLEX Evan Engram DST Giants ,,Chase Edmonds,RB,35.42%,11.8
6,2338990929,themikehilton,0,208.6,QB Josh Allen RB Dalvin Cook RB Tony Pollard WR Terry McLaurin WR JuJu Smith-Schuster WR Mike Williams FLEX Curtis Samuel TE T.J. Hockenson DST Ravens ,,James Conner,FLEX,22.87%,4
7,2332933226,DACEY22,0,208.04,QB Deshaun Watson RB Dalvin Cook RB Antonio Gibson WR Keenan Allen WR Christian Kirk WR Curtis Samuel TE T.J. Hockenson FLEX Evan Engram DST Giants ,,Josh Allen,QB,21.35%,39
8,2335153371,komenden25,0,207,QB Josh Allen RB Dalvin Cook RB J.K. Dobbins WR DK Metcalf WR Brandin Cooks WR Jerry Jeudy FLEX John Brown TE Evan Engram DST Titans ,,David Johnson,RB,20.98%,1.6
9,2338336070,Brambull,0,205.72,QB Drew Lock RB Christian McCaffrey RB Dalvin Cook WR Julio Jones WR Diontae Johnson WR Jerry Jeudy FLEX John Brown TE Hunter Henry DST Vikings ,,Noah Fant,TE,20.63%,7.5
10,2330615431,CameronKape,0,205.46,QB Jake Luton RB Christian McCaffrey RB Dalvin Cook FLEX Tyreek Hill WR DJ Chark Jr. WR Preston Williams WR Marvin Hall TE Eric Ebron DST Chiefs ,,Marvin Jones Jr.,WR,20.63%,13.3
11,2337931747,beyerbn,0,204.2,QB Josh Allen RB Dalvin Cook RB Justin Jackson WR Terry McLaurin WR Jerry Jeudy WR John Brown FLEX Travis Kelce TE Eric Ebron DST Vikings ,,Russell Wilson,QB,17.83%,29.1
