,Player,Salary,Position
12,Chris Carson,6500.0,RB
31,Kenny Golladay,6400.0,WR
13,Myles Gaskin,5900.0,RB
0,Gardner Minshew,5800.0,QB
14,Austin Ekeler,5400.0,RB
1,Andy Dalton,5200.0,QB
15,Carlos Hyde,5100.0,RB
2,PJ Walker,4800.0,QB
3,Dwayne Haskins,4800.0,QB
16,Kenyan Drake,4700.0,RB
17,Devonta Freeman,4600.0,RB
32,Sammy Watkins,4600.0,WR
5,Mitchell Trubisky,4500.0,QB
4,Will Grier,4500.0,QB
6,Nathan Peterman,4400.0,QB
7,Chris Streveler,4100.0,QB
26,Bruce Miller,4000.0,RB
28,Bryce Love,4000.0,RB
27,Scottie Phillips,4000.0,RB
30,Tarik Cohen,4000.0,RB
29,Saquon Barkley,4000.0,RB
23,Marlon Mack,4000.0,RB
24,Devine Ozigbo,4000.0,RB
25,Ryquell Armstead,4000.0,RB
22,Matt Breida,4000.0,RB
8,Easton Stick,4000.0,QB
21,Jonathan Ward,4000.0,RB
20,Taiwan Jones,4000.0,RB
19,TJ Yeldon,4000.0,RB
18,DeAndre Washington,4000.0,RB
11,Dak Prescott,4000.0,QB
10,Josh Dobbs,4000.0,QB
9,Trace McSorley,4000.0,QB
33,Golden Tate,3700.0,WR
34,Parris Campbell,3500.0,WR
35,Adam Humphries,3400.0,WR
52,Reece Fountain,3000.0,WR
53,Dede Westbrook,3000.0,WR
57,Jamal Agnew,3000.0,WR
54,Keke Coutee,3000.0,WR
55,Isaiah Coulter,3000.0,WR
56,Tajae Sharpe,3000.0,WR
62,Javon Wims,3000.0,WR
58,Kelvin Harmon,3000.0,WR
59,Emanuel Hall,3000.0,WR
60,David Sills,3000.0,WR
61,Cody Core,3000.0,WR
50,DeAndrew White,3000.0,WR
63,Ted Ginn,3000.0,WR
51,Ashton Dulin,3000.0,WR
38,Keith Kirkwood,3000.0,WR
49,Antoine Wesley,3000.0,WR
42,Josh Gordon,3000.0,WR
48,Chris Moore,3000.0,WR
36,Rico Gafford,3000.0,WR
37,Tyrell Williams,3000.0,WR
39,Omar Bayless,3000.0,WR
41,Phillip Dorsett,3000.0,WR
40,Seth Roberts,3000.0,WR
43,Isaiah Hodgins,3000.0,WR
44,Fred Brown,3000.0,WR
45,Courtland Sutton,3000.0,WR
46,Isaiah Ford,3000.0,WR
47,Lynn Bowden,3000.0,WR
70,Evan Baylis,2500.0,TE
75,Darion Clark,2500.0,TE
74,Beau Brinkley,2500.0,TE
73,Thaddeus Moss,2500.0,TE
72,Tyler Davis,2500.0,TE
71,Josh Oliver,2500.0,TE
64,Virgil Green,2500.0,TE
69,Austin Fort,2500.0,TE
68,Tommy Sweeney,2500.0,TE
67,Tyler Ott,2500.0,TE
66,James Winchester,2500.0,TE
65,Nick O'Leary,2500.0,TE
76,Blake Jarwin,2500.0,TE
