,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Travis Kelce,KC,6.6,5.8,6.2,84.5,68.2,75.6,0.7,0.5,0.6,0.0,0.1,0.0,11.7,10.3,11.1,9,TE
1,Darren Waller,LV,6.9,5.4,6.3,76.7,59.5,67.1,0.5,0.3,0.4,0.0,0.1,0.1,9.9,8.2,9.0,9,TE
2,Mark Andrews,BAL,4.2,3.6,3.9,56.8,44.7,51.4,0.6,0.4,0.5,0.0,0.0,0.0,8.1,7.6,7.9,9,TE
3,TJ Hockenson,DET,5.0,4.0,4.3,56.3,46.0,51.2,0.5,0.4,0.4,0.0,0.0,0.0,8.5,7.6,7.7,9,TE
4,Hunter Henry,LAC,4.6,3.8,4.2,57.2,43.3,50.6,0.5,0.3,0.4,0.0,0.1,0.0,7.9,6.0,7.2,9,TE
5,Noah Fant,DEN,4.4,3.9,4.1,57.8,48.4,52.1,0.4,0.3,0.3,0.0,0.1,0.0,8.2,6.7,7.1,9,TE
6,Rob Gronkowski,TB,4.3,3.0,3.5,67.1,40.1,49.5,0.6,0.1,0.3,0.0,0.0,0.0,8.3,5.6,7.0,9,TE
7,Jared Cook,NO,4.5,2.3,3.5,60.6,31.3,47.8,0.4,0.2,0.3,0.0,0.0,0.0,7.8,5.5,6.6,9,TE
8,Jonnu Smith,TEN,4.6,2.7,3.5,53.1,30.3,41.2,0.5,0.3,0.4,0.0,0.0,0.0,7.3,5.5,6.3,9,TE
9,Hayden Hurst,ATL,4.0,3.6,3.8,47.7,38.0,42.6,0.3,0.3,0.3,0.0,0.0,0.0,6.3,5.6,6.0,9,TE
10,Eric Ebron,PIT,5.0,2.9,3.9,55.9,35.6,43.8,0.4,0.0,0.3,0.0,0.1,0.0,7.0,5.5,6.0,9,TE
11,Evan Engram,NYG,4.8,3.8,4.1,53.2,37.4,42.5,0.3,0.0,0.2,0.0,0.0,0.0,6.4,5.4,5.4,9,TE
12,Robert Tonyan,GB,3.6,2.7,3.0,47.4,31.1,36.6,0.5,0.0,0.3,0.0,0.0,0.0,6.3,4.7,5.3,9,TE
13,Jimmy Graham,CHI,4.6,3.4,3.8,52.7,30.8,37.1,0.4,0.0,0.3,0.0,0.0,0.0,6.1,4.6,5.2,9,TE
14,Mike Gesicki,MIA,4.8,2.6,3.4,55.8,28.9,39.9,0.3,0.0,0.2,0.0,0.1,0.0,5.8,4.4,5.1,9,TE
15,Logan Thomas,WAS,4.6,2.8,3.3,43.0,27.9,33.0,0.5,0.0,0.2,0.0,0.0,0.0,6.4,4.2,4.8,9,TE
16,Dalton Schultz,DAL,4.7,2.6,3.4,49.8,29.3,35.9,0.2,0.0,0.2,0.0,0.1,0.1,4.9,4.2,4.4,9,TE
17,Jordan Akins,HOU,3.2,2.3,2.8,37.6,25.9,31.2,0.3,0.0,0.2,0.0,0.0,0.0,4.6,3.7,4.1,9,TE
18,Trey Burton,IND,5.1,2.0,3.3,48.1,21.3,31.8,0.2,0.0,0.2,0.0,0.0,0.0,5.3,3.3,4.1,9,TE
19,Jordan Reed,SF,3.4,1.9,2.7,36.2,18.5,26.9,0.3,0.0,0.2,0.0,0.0,0.0,5.3,3.7,3.8,9,TE
20,Greg Olsen,SEA,3.4,2.2,2.5,41.0,21.7,27.5,0.4,0.0,0.2,0.0,0.0,0.0,4.9,2.8,3.8,9,TE
21,Darren Fells,HOU,3.1,1.3,2.1,34.1,13.7,23.5,0.5,0.1,0.2,0.0,0.0,0.0,6.0,2.4,3.7,9,TE
22,Irv Smith,MIN,4.1,2.1,2.6,41.3,22.1,28.1,0.2,0.0,0.1,0.0,0.0,0.0,3.7,3.3,3.6,9,TE
23,Anthony Firkser,TEN,2.6,1.9,2.2,32.3,22.3,26.6,0.2,0.0,0.1,0.0,0.0,0.0,3.8,3.2,3.5,9,TE
24,Tyler Eifert,JAC,3.2,1.4,2.3,35.4,15.4,25.5,0.3,0.0,0.2,0.0,0.0,0.0,4.2,2.2,3.5,9,TE
25,Albert Okwuegbunam,DEN,3.3,1.5,2.2,36.2,17.0,25.1,0.3,0.1,0.1,0.0,0.0,0.0,4.1,2.3,3.4,9,TE
26,Kyle Rudolph,MIN,2.3,1.7,2.0,24.6,17.8,21.3,0.3,0.1,0.2,0.0,0.0,0.0,3.5,3.3,3.2,9,TE
27,Ross Dwelley,SF,3.5,0.6,2.1,39.8,6.0,21.5,0.4,0.0,0.1,0.0,0.0,0.0,6.2,0.6,2.9,9,TE
28,Dan Arnold,ARI,1.8,1.2,1.5,30.8,15.3,21.3,0.2,0.1,0.1,0.0,0.0,0.0,3.7,2.2,2.9,9,TE
29,Mo Alie-Cox,IND,2.1,0.9,1.6,32.0,11.6,21.9,0.2,0.0,0.1,0.0,0.0,0.0,3.8,1.7,2.9,9,TE
30,Marcedes Lewis,GB,1.5,1.5,1.5,14.9,14.9,14.9,0.2,0.2,0.2,0.0,0.0,0.0,2.7,2.7,2.7,9,TE
31,Chris Herndon,NYJ,2.6,1.4,2.2,29.7,15.8,22.1,0.2,0.0,0.1,0.0,0.1,0.1,3.5,2.0,2.7,9,TE
32,Dawson Knox,BUF,1.9,1.0,1.5,25.0,11.3,20.1,0.2,0.1,0.1,0.0,0.1,0.1,3.5,1.7,2.7,9,TE
33,Jack Doyle,IND,2.9,1.5,2.0,28.0,14.0,20.5,0.2,0.1,0.1,0.0,0.1,0.0,3.9,2.0,2.6,9,TE
34,Will Dissly,SEA,2.2,1.0,1.6,25.6,9.7,17.7,0.2,0.0,0.1,0.0,0.0,0.0,3.3,1.6,2.6,9,TE
35,Ian Thomas,CAR,3.5,1.7,2.1,31.0,15.1,19.2,0.2,0.0,0.1,0.0,0.0,0.0,2.7,2.0,2.6,9,TE
36,Lee Smith,BUF,0.7,0.7,0.7,5.9,5.9,5.9,0.3,0.3,0.3,0.0,0.0,0.0,2.4,2.4,2.4,9,TE
37,Ryan Izzo,NE,1.7,1.2,1.4,19.9,14.6,17.0,0.1,0.1,0.1,0.0,0.1,0.0,2.6,1.9,2.3,9,TE
38,Tyler Kroft,BUF,3.1,0.7,1.5,30.6,8.0,15.2,0.2,0.0,0.1,0.0,0.0,0.0,3.0,1.4,2.1,9,TE
39,James O'Shaughnessy,JAC,2.5,1.2,1.6,23.8,11.5,15.9,0.1,0.0,0.1,0.0,0.0,0.0,2.2,1.7,2.1,9,TE
40,Cole Kmet,CHI,1.9,1.0,1.4,20.6,10.0,14.8,0.2,0.1,0.1,0.0,0.0,0.0,3.2,1.4,2.1,9,TE
41,Cameron Brate,TB,1.9,0.9,1.3,20.2,7.9,12.6,0.2,0.1,0.1,0.0,0.0,0.0,2.5,1.6,2.0,9,TE
42,Kaden Smith,NYG,2.2,1.1,1.5,21.0,9.5,14.0,0.1,0.1,0.1,0.0,0.0,0.0,2.8,1.5,2.0,9,TE
43,Jordan Thomas,ARI,0.7,0.7,0.7,7.5,7.5,7.5,0.2,0.2,0.2,0.0,0.0,0.0,2.0,2.0,2.0,9,TE
44,Stephen Anderson,LAC,1.3,1.3,1.3,14.1,14.1,14.1,0.1,0.1,0.1,0.0,0.0,0.0,1.9,1.9,1.9,9,TE
45,Jace Sternberger,GB,1.4,1.0,1.2,15.8,10.5,12.3,0.1,0.1,0.1,0.0,0.0,0.0,2.3,1.7,1.9,9,TE
46,Nick Boyle,BAL,1.4,1.1,1.3,13.9,9.1,11.8,0.2,0.1,0.1,0.0,0.0,0.0,2.3,1.5,1.8,9,TE
47,Adam Shaheen,MIA,1.3,0.9,1.1,12.6,8.7,10.5,0.2,0.1,0.1,0.0,0.0,0.0,2.1,1.4,1.8,9,TE
48,Foster Moreau,LV,1.0,1.0,1.0,12.2,12.2,12.2,0.1,0.1,0.1,0.0,0.0,0.0,1.8,1.8,1.8,9,TE
49,Demetrius Harris,CHI,1.7,1.0,1.3,13.4,9.9,11.7,0.1,0.1,0.1,0.0,0.0,0.0,1.9,1.7,1.8,9,TE
50,Vance McDonald,PIT,1.9,0.7,1.3,20.1,7.1,13.7,0.1,0.0,0.1,0.0,0.0,0.0,2.5,1.1,1.8,9,TE
51,MyCole Pruitt,TEN,1.2,0.8,1.0,13.3,8.1,9.9,0.2,0.1,0.1,0.0,0.0,0.0,2.1,1.2,1.8,9,TE
