,Player,Team,Position,Salary,Name + ID,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX
0,Justin Herbert,LAC,QB,6800.0,Justin Herbert (15713431),19.810000000000002,25.503,32.5
1,Derek Carr,LV,QB,5700.0,Derek Carr (15713439),16.15,20.402,22.822000000000003
2,Matt Ryan,ATL,QB,6400.0,Matt Ryan (15713434),17.83,22.572000000000003,25.72
0,Justin Jackson,LAC,RB,4900.0,Justin Jackson (15713529),6.9,13.770000000000001,20.91
1,Derrick Henry,TEN,RB,7900.0,Derrick Henry (15713487),15.115,21.880000000000003,26.31
2,Josh Jacobs,LV,RB,6300.0,Josh Jacobs (15713501),12.420000000000002,17.319999999999997,24.325000000000003
3,D'Andre Swift,DET,RB,5000.0,D'Andre Swift (15713527),4.890000000000001,13.590000000000002,20.42
4,Dalvin Cook,MIN,RB,8200.0,Dalvin Cook (15713485),13.8,22.015,29.849999999999998
5,James Conner,PIT,RB,6900.0,James Conner (15713491),13.900000000000002,18.380000000000003,26.549999999999997
6,David Montgomery,CHI,RB,5700.0,David Montgomery (15713513),10.500000000000002,15.149999999999999,21.33
7,Melvin Gordon,DEN,RB,5300.0,Melvin Gordon III (15713519),10.04,14.000000000000002,22.1
8,David Johnson,HOU,RB,5600.0,David Johnson (15713515),7.5,14.69,20.019999999999996
9,James Robinson,JAC,RB,7000.0,James Robinson (15713489),13.98,18.27,25.8
0,Keenan Allen,LAC,WR,7000.0,Keenan Allen (15713707),15.979999999999999,21.3,28.1
1,Julio Jones,ATL,WR,7200.0,Julio Jones (15713701),18.275,21.099999999999998,26.580000000000002
2,Danny Amendola,DET,WR,3700.0,Danny Amendola (15713809),7.33,10.37,14.100000000000001
3,DJ Moore,CAR,WR,5600.0,DJ Moore (15713737),12.390000000000002,15.390000000000002,22.275
4,DeVante Parker,MIA,WR,5200.0,DeVante Parker (15713745),10.090000000000002,14.17,22.15
5,DeAndre Hopkins,ARI,WR,8200.0,DeAndre Hopkins (15713695),17.449999999999996,22.225,27.9
6,Tyler Lockett,SEA,WR,6800.0,Tyler Lockett (15713711),15.3,18.31,23.0
7,Stefon Diggs,BUF,WR,7400.0,Stefon Diggs (15713699),15.06,19.825000000000003,25.049999999999997
8,Marvin Jones,DET,WR,5100.0,Marvin Jones Jr. (15713749),10.99,13.64,19.3
9,Terry McLaurin,WAS,WR,6500.0,Terry McLaurin (15713719),14.47,17.375,22.0
0,Darren Waller,LV,TE,5800.0,Darren Waller (15713995),13.050000000000002,16.43,22.674999999999997
1,Hunter Henry,LAC,TE,4000.0,Hunter Henry (15714013),6.800000000000001,11.280000000000001,16.6
2,Noah Fant,DEN,TE,4600.0,Noah Fant (15714001),10.13,12.18,16.19
0,Falcons,ATL,DST,2500.0,Falcons  (15714196),4.628571428571429,7.2,15.071428571428571
1,Giants,NYG,DST,2700.0,Giants  (15714193),3.142857142857143,6.2857142857142865,7.999999999999998
2,Vikings,MIN,DST,2400.0,Vikings  (15714198),4.428571428571428,5.557142857142858,7.057142857142857
