,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
2524,Matt Ryan,Kareem Hunt,Jordan Wilkins,Julio Jones,Tyler Boyd,T.Y. Hilton,George Kittle,Todd Gurley,Arizona Cardinals,144.42200000000003,49800
2525,Matt Ryan,Kareem Hunt,Jordan Wilkins,Julio Jones,Tyler Boyd,A.J. Green,Eric Ebron,Alvin Kamara,Arizona Cardinals,144.42200000000003,49800
2526,Matt Ryan,Jordan Wilkins,Todd Gurley,Julio Jones,Michael Thomas,Devin Funchess,Eric Ebron,Trey Burton,Kansas City Chiefs,144.422,50000
2527,Matt Ryan,Jordan Wilkins,Todd Gurley,Julio Jones,Michael Thomas,Devin Funchess,Eric Ebron,Trey Burton,Kansas City Chiefs,144.422,50000
2528,Matt Ryan,Corey Clement,Alvin Kamara,Julio Jones,T.Y. Hilton,Michael Crabtree,Eric Ebron,Devin Funchess,Arizona Cardinals,144.422,49900
2529,Jimmy Garoppolo,Ezekiel Elliott,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Corey Davis,Kansas City Chiefs,144.42000000000002,50000
2530,Jimmy Garoppolo,Jordan Wilkins,Todd Gurley,Julio Jones,A.J. Green,Michael Crabtree,Eric Ebron,George Kittle,Dallas Cowboys,144.42000000000002,49900
2531,Jimmy Garoppolo,Jordan Wilkins,Ezekiel Elliott,Julio Jones,Cooper Kupp,Corey Davis,Eric Ebron,Todd Gurley,Kansas City Chiefs,144.42000000000002,50000
2532,Jimmy Garoppolo,Corey Clement,Kareem Hunt,Julio Jones,Demaryius Thomas,Corey Davis,Trey Burton,Todd Gurley,Arizona Cardinals,144.42000000000002,49800
2533,Deshaun Watson,Dion Lewis,Kareem Hunt,Julio Jones,Demaryius Thomas,Cooper Kupp,Trey Burton,Todd Gurley,Dallas Cowboys,144.418,49900
2534,Drew Brees,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Crabtree,Eric Ebron,Alvin Kamara,Arizona Cardinals,144.41600000000003,49800
2535,Drew Brees,Lamar Miller,Kareem Hunt,Julio Jones,Corey Davis,Devin Funchess,Eric Ebron,Todd Gurley,Arizona Cardinals,144.41600000000003,49700
2536,Cam Newton,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,T.Y. Hilton,Eric Ebron,Nelson Agholor,Dallas Cowboys,144.41400000000002,49500
2537,Cam Newton,Corey Clement,Jordan Wilkins,Julio Jones,T.Y. Hilton,Nelson Agholor,Eric Ebron,Todd Gurley,Dallas Cowboys,144.41400000000002,49500
2538,Cam Newton,Lamar Miller,Jordan Wilkins,Julio Jones,A.J. Green,Devin Funchess,Eric Ebron,Todd Gurley,Dallas Cowboys,144.41400000000002,49900
2539,Cam Newton,Lamar Miller,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Crabtree,Eric Ebron,Todd Gurley,Kansas City Chiefs,144.41400000000002,49700
2540,Cam Newton,Lamar Miller,Todd Gurley,Julio Jones,Tyler Boyd,A.J. Green,Eric Ebron,Devin Funchess,Dallas Cowboys,144.41400000000002,49900
2541,Cam Newton,Corey Clement,Todd Gurley,Julio Jones,T.Y. Hilton,Cooper Kupp,Eric Ebron,Devin Funchess,Dallas Cowboys,144.414,49600
2542,Matt Ryan,Dion Lewis,Lamar Miller,Julio Jones,Tyler Boyd,T.Y. Hilton,George Kittle,Alvin Kamara,Arizona Cardinals,144.41200000000003,49900
2543,Matt Ryan,Corey Clement,Ezekiel Elliott,Julio Jones,Tyler Boyd,Devin Funchess,Trey Burton,Todd Gurley,Arizona Cardinals,144.412,49800
2544,Matt Ryan,Dion Lewis,Todd Gurley,T.Y. Hilton,Cooper Kupp,Michael Thomas,Eric Ebron,George Kittle,Dallas Cowboys,144.412,50000
2545,Matt Ryan,Corey Clement,Todd Gurley,Julio Jones,T.Y. Hilton,Cooper Kupp,Trey Burton,Michael Crabtree,Arizona Cardinals,144.412,50000
2546,Jimmy Garoppolo,Dion Lewis,Lamar Miller,Demaryius Thomas,Michael Thomas,Michael Crabtree,Eric Ebron,Todd Gurley,Dallas Cowboys,144.41000000000003,49900
2547,Deshaun Watson,Kareem Hunt,Jordan Wilkins,Julio Jones,T.Y. Hilton,Corey Davis,Eric Ebron,Todd Gurley,Dallas Cowboys,144.40800000000002,49600
2548,Deshaun Watson,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,T.Y. Hilton,Eric Ebron,Corey Davis,Dallas Cowboys,144.40800000000002,49600
2549,Drew Brees,Jordan Wilkins,Todd Gurley,Julio Jones,A.J. Green,Michael Crabtree,Eric Ebron,George Kittle,Arizona Cardinals,144.406,50000
2550,Matt Ryan,Dion Lewis,Todd Gurley,Julio Jones,A.J. Green,Devin Funchess,Eric Ebron,Trey Burton,Arizona Cardinals,144.40200000000002,49500
2551,Matt Ryan,Dion Lewis,Jordan Wilkins,Demaryius Thomas,T.Y. Hilton,Michael Thomas,Eric Ebron,Todd Gurley,Arizona Cardinals,144.40200000000002,49700
2552,Matt Ryan,Dion Lewis,Todd Gurley,Demaryius Thomas,Tyler Boyd,T.Y. Hilton,Eric Ebron,Michael Thomas,Arizona Cardinals,144.40200000000002,49700
