,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Matt Ryan (11281166),Corey Clement (11281298),Lamar Miller (11281270),Julio Jones (11281460),Demaryius Thomas (11281502),T.Y. Hilton (11281474),Eric Ebron (11281794),Todd Gurley II (11281222),Cardinals  (11281987),149.55200000000002,149.55200000000002
1,Cam Newton (11281161),Dion Lewis (11281282),Lamar Miller (11281270),Julio Jones (11281460),Demaryius Thomas (11281502),Nelson Agholor (11281480),Eric Ebron (11281794),Todd Gurley II (11281222),Cardinals  (11281987),145.67400000000004,145.67400000000004
2,Matt Ryan (11281166),Jordan Wilkins (11281322),Todd Gurley II (11281222),Julio Jones (11281460),Tyler Boyd (11281568),Cooper Kupp (11281514),Eric Ebron (11281794),Michael Thomas (11281452),Cowboys  (11281993),144.80200000000002,144.80200000000002
3,Matt Ryan (11281166),Corey Clement (11281298),Lamar Miller (11281270),Julio Jones (11281460),Michael Thomas (11281452),Devin Funchess (11281512),George Kittle (11281782),Kareem Hunt (11281248),Chiefs  (11281990),144.192,144.192
4,Deshaun Watson (11281160),Kareem Hunt (11281248),Todd Gurley II (11281222),Julio Jones (11281460),Devin Funchess (11281512),Nelson Agholor (11281480),Eric Ebron (11281794),Trey Burton (11281790),Cardinals  (11281987),143.67800000000003,143.67800000000003
5,Cam Newton (11281161),Dion Lewis (11281282),Jordan Wilkins (11281322),Demaryius Thomas (11281502),T.Y. Hilton (11281474),Michael Thomas (11281452),Eric Ebron (11281794),Todd Gurley II (11281222),Cowboys  (11281993),143.234,143.234
6,Cam Newton (11281161),Corey Clement (11281298),Ezekiel Elliott (11281226),Julio Jones (11281460),Demaryius Thomas (11281502),T.Y. Hilton (11281474),George Kittle (11281782),Cooper Kupp (11281514),Chiefs  (11281990),142.83399999999997,142.83399999999997
7,Deshaun Watson (11281160),Dion Lewis (11281282),Lamar Miller (11281270),Julio Jones (11281460),Michael Thomas (11281452),Michael Crabtree (11281510),Trey Burton (11281790),Kareem Hunt (11281248),Chiefs  (11281990),142.488,142.488
8,Drew Brees (11281158),Dion Lewis (11281282),Kareem Hunt (11281248),T.Y. Hilton (11281474),A.J. Green (11281468),Michael Crabtree (11281510),Eric Ebron (11281794),Ezekiel Elliott (11281226),Cardinals  (11281987),142.166,142.166
9,Cam Newton (11281161),Kareem Hunt (11281248),Ezekiel Elliott (11281226),Tyler Boyd (11281568),Michael Thomas (11281452),A.J. Green (11281468),Eric Ebron (11281794),George Kittle (11281782),Chiefs  (11281990),141.864,141.864
