,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Matt Ryan (11281166),Corey Clement (11281298),Lamar Miller (11281270),Julio Jones (11281460),Demaryius Thomas (11281502),T.Y. Hilton (11281474),Eric Ebron (11281794),Todd Gurley II (11281222),Cardinals  (11281987),149.55200000000002,149.55200000000002
1,Matt Ryan (11281166),Kareem Hunt (11281248),Todd Gurley II (11281222),Julio Jones (11281460),Demaryius Thomas (11281502),Cooper Kupp (11281514),Eric Ebron (11281794),Michael Crabtree (11281510),Cardinals  (11281987),145.642,145.642
2,Matt Ryan (11281166),Corey Clement (11281298),Jordan Wilkins (11281322),Julio Jones (11281460),Cooper Kupp (11281514),A.J. Green (11281468),George Kittle (11281782),Todd Gurley II (11281222),Cowboys  (11281993),144.812,144.812
3,Drew Brees (11281158),Dion Lewis (11281282),Todd Gurley II (11281222),Julio Jones (11281460),T.Y. Hilton (11281474),Cooper Kupp (11281514),Eric Ebron (11281794),Corey Davis (11281534),Cowboys  (11281993),144.196,144.196
4,Matt Ryan (11281166),Ezekiel Elliott (11281226),Alvin Kamara (11281220),Julio Jones (11281460),Tyler Boyd (11281568),Cooper Kupp (11281514),Eric Ebron (11281794),George Kittle (11281782),Cowboys  (11281993),143.72200000000004,143.72200000000004
5,Jimmy Garoppolo (11281157),Dion Lewis (11281282),Lamar Miller (11281270),Julio Jones (11281460),Cooper Kupp (11281514),Devin Funchess (11281512),George Kittle (11281782),Todd Gurley II (11281222),Cowboys  (11281993),143.3,143.3
6,Jimmy Garoppolo (11281157),Dion Lewis (11281282),Lamar Miller (11281270),Cooper Kupp (11281514),Michael Thomas (11281452),Devin Funchess (11281512),Eric Ebron (11281794),Todd Gurley II (11281222),Cardinals  (11281987),142.93,142.93
7,Drew Brees (11281158),Lamar Miller (11281270),Todd Gurley II (11281222),Demaryius Thomas (11281502),Michael Thomas (11281452),Devin Funchess (11281512),Eric Ebron (11281794),George Kittle (11281782),Chiefs  (11281990),142.56599999999997,142.56599999999997
8,Matt Ryan (11281166),Corey Clement (11281298),Kareem Hunt (11281248),Michael Thomas (11281452),Michael Crabtree (11281510),Devin Funchess (11281512),Eric Ebron (11281794),Alvin Kamara (11281220),Cowboys  (11281993),142.24200000000002,142.24200000000002
9,Matt Ryan (11281166),Dion Lewis (11281282),Jordan Wilkins (11281322),Julio Jones (11281460),T.Y. Hilton (11281474),Michael Crabtree (11281510),George Kittle (11281782),Alvin Kamara (11281220),Cowboys  (11281993),141.92200000000003,141.92200000000003
