,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Jameis Winston (11456905),Nick Chubb (11457042),Duke Johnson Jr. (11457016),Golden Tate (11457158),Adam Thielen (11457140),Marvin Jones Jr. (11457184),David Njoku (11457402),Todd Gurley II (11456954),Panthers  (11457557),151.74399999999997,151.74399999999997
1,Baker Mayfield (11456910),Duke Johnson Jr. (11457016),Todd Gurley II (11456954),Jermaine Kearse (11457220),Adam Thielen (11457140),Michael Crabtree (11457180),David Njoku (11457402),Kenny Golladay (11457168),Buccaneers  (11457554),146.532,146.532
2,Baker Mayfield (11456910),Duke Johnson Jr. (11457016),Todd Gurley II (11456954),Adam Thielen (11457140),DeAndre Hopkins (11457154),Cole Beasley (11457228),David Njoku (11457402),Robby Anderson (11457198),Panthers  (11457557),145.712,145.712
3,Matthew Stafford (11456911),Nick Chubb (11457042),Duke Johnson Jr. (11457016),Adam Thielen (11457140),DeAndre Hopkins (11457154),Kenny Golladay (11457168),David Njoku (11457402),Ezekiel Elliott (11456958),Buccaneers  (11457554),145.114,145.114
4,Matthew Stafford (11456911),Duke Johnson Jr. (11457016),Bilal Powell (11457010),Adam Thielen (11457140),DeAndre Hopkins (11457154),Robby Anderson (11457198),Kyle Rudolph (11457404),Todd Gurley II (11456954),Bills  (11457555),144.674,144.674
5,Kirk Cousins (11456904),Todd Gurley II (11456954),Ezekiel Elliott (11456958),Jermaine Kearse (11457220),Golden Tate (11457158),Willie Snead IV (11457226),David Njoku (11457402),Keelan Cole (11457194),Panthers  (11457557),144.268,144.268
6,Jameis Winston (11456905),Nick Chubb (11457042),Todd Gurley II (11456954),Jermaine Kearse (11457220),DeAndre Hopkins (11457154),Michael Crabtree (11457180),Eric Ebron (11457390),Kenny Golladay (11457168),Bills  (11457555),143.88400000000001,143.88400000000001
7,Matthew Stafford (11456911),Duke Johnson Jr. (11457016),Todd Gurley II (11456954),Adam Thielen (11457140),Willie Snead IV (11457226),Robby Anderson (11457198),Eric Ebron (11457390),LeSean McCoy (11456974),Bills  (11457555),143.524,143.524
8,Jameis Winston (11456905),Bilal Powell (11457010),Todd Gurley II (11456954),Golden Tate (11457158),Michael Crabtree (11457180),Robby Anderson (11457198),Eric Ebron (11457390),Kenny Golladay (11457168),Bills  (11457555),143.19400000000002,143.19400000000002
9,Joe Flacco (11456915),Todd Gurley II (11456954),Ezekiel Elliott (11456958),Marvin Jones Jr. (11457184),DeAndre Hopkins (11457154),Cole Beasley (11457228),David Njoku (11457402),Robby Anderson (11457198),Bills  (11457555),142.884,142.884
