,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
19657,Matthew Stafford,Bilal Powell,Kerryon Johnson,Adam Thielen,Willie Snead,Marvin Jones,Eric Ebron,Todd Gurley,Buffalo Bills,141.484,49500
19658,Joe Flacco,Todd Gurley,Ezekiel Elliott,DeAndre Hopkins,Michael Crabtree,Cole Beasley,Kyle Rudolph,Keelan Cole,Buffalo Bills,141.48399999999998,50000
19659,Matthew Stafford,Kerryon Johnson,Ezekiel Elliott,Jermaine Kearse,Golden Tate,Adam Thielen,Eric Ebron,Robby Anderson,Carolina Panthers,141.48399999999998,49600
19660,Joe Flacco,Todd Gurley,LeSean McCoy,DeAndre Hopkins,Michael Crabtree,Robby Anderson,David Njoku,Kenny Golladay,Carolina Panthers,141.48399999999998,49700
19661,Baker Mayfield,Bilal Powell,Todd Gurley,Adam Thielen,Cole Beasley,Kenny Golladay,Kyle Rudolph,Eric Ebron,Tampa Bay Buccaneers,141.48200000000003,49900
19662,Baker Mayfield,Kerryon Johnson,Todd Gurley,Golden Tate,DeAndre Hopkins,Cole Beasley,Eric Ebron,Robby Anderson,Buffalo Bills,141.482,49500
19663,Baker Mayfield,Kerryon Johnson,Todd Gurley,Golden Tate,DeAndre Hopkins,Robby Anderson,Kyle Rudolph,Eric Ebron,Buffalo Bills,141.482,49500
19664,Baker Mayfield,Bilal Powell,Todd Gurley,DeAndre Hopkins,Cole Beasley,Kenny Golladay,Eric Ebron,LeSean McCoy,Tampa Bay Buccaneers,141.482,49900
19665,Baker Mayfield,Todd Gurley,LeSean McCoy,DeAndre Hopkins,Michael Crabtree,Keelan Cole,Kyle Rudolph,Kenny Golladay,Tampa Bay Buccaneers,141.482,50000
19666,Baker Mayfield,Bilal Powell,Todd Gurley,Adam Thielen,Willie Snead,Marvin Jones,Eric Ebron,Keelan Cole,Carolina Panthers,141.482,49500
19667,Baker Mayfield,Todd Gurley,Ezekiel Elliott,DeAndre Hopkins,Cole Beasley,Keelan Cole,David Njoku,Kyle Rudolph,Buffalo Bills,141.482,49500
19668,Baker Mayfield,Kerryon Johnson,Ezekiel Elliott,Golden Tate,DeAndre Hopkins,Kenny Golladay,David Njoku,Eric Ebron,Carolina Panthers,141.482,49500
19669,Baker Mayfield,Bilal Powell,Ezekiel Elliott,Adam Thielen,Willie Snead,DeAndre Hopkins,Eric Ebron,Keelan Cole,Tampa Bay Buccaneers,141.482,49900
