,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Joe Flacco,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,David Njoku,Ezekiel Elliott,New York Jets,147.304,49900
1,Baker Mayfield,Nick Chubb,Kerryon Johnson,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Todd Gurley,Buffalo Bills,147.062,49900
2,Baker Mayfield,Nick Chubb,Kerryon Johnson,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Todd Gurley,Detroit Lions,146.36200000000002,50000
3,Baker Mayfield,Nick Chubb,Kerryon Johnson,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Todd Gurley,New York Jets,146.062,49700
4,Baker Mayfield,Nick Chubb,Kerryon Johnson,Adam Thielen,Willie Snead,Robert Woods,David Njoku,Todd Gurley,Buffalo Bills,145.982,49800
5,Joe Flacco,Nick Chubb,Kerryon Johnson,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Todd Gurley,Buffalo Bills,145.66400000000002,49500
6,C.J. Beathard,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,David Njoku,Ezekiel Elliott,Buffalo Bills,145.598,49500
7,Baker Mayfield,Nick Chubb,Kerryon Johnson,Adam Thielen,Willie Snead,Robert Woods,David Njoku,Todd Gurley,Detroit Lions,145.282,49900
8,Joe Flacco,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Tarik Cohen,New York Jets,145.254,49900
9,Joe Flacco,Nick Chubb,Todd Gurley,Adam Thielen,Willie Snead,Robert Woods,David Njoku,Tarik Cohen,Buffalo Bills,145.174,50000
10,Baker Mayfield,Nick Chubb,Kerryon Johnson,Adam Thielen,Willie Snead,Robert Woods,David Njoku,Todd Gurley,New York Jets,144.982,49600
11,Joe Flacco,Nick Chubb,Kerryon Johnson,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Todd Gurley,Detroit Lions,144.96400000000003,49600
12,C.J. Beathard,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Taylor Gabriel,David Njoku,Ezekiel Elliott,New York Jets,144.93800000000002,50000
13,C.J. Beathard,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,David Njoku,Ezekiel Elliott,Detroit Lions,144.89800000000002,49600
14,Baker Mayfield,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Marquise Goodwin,Buffalo Bills,144.80200000000002,50000
15,Jared Goff,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,David Njoku,Robert Woods,New York Jets,144.69400000000002,50000
16,C.J. Beathard,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Marquise Goodwin,David Njoku,Ezekiel Elliott,New York Jets,144.37800000000001,49900
17,Joe Flacco,Nick Chubb,Kerryon Johnson,Adam Thielen,Robert Woods,Marquise Goodwin,David Njoku,Todd Gurley,Buffalo Bills,144.364,50000
18,Baker Mayfield,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Taylor Gabriel,New York Jets,144.36200000000002,49900
19,Baker Mayfield,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,David Njoku,Robert Woods,Detroit Lions,144.32200000000003,49500
20,C.J. Beathard,Nick Chubb,Todd Gurley,Adam Thielen,Willie Snead,Marquise Goodwin,David Njoku,Ezekiel Elliott,Buffalo Bills,144.298,50000
21,Baker Mayfield,Nick Chubb,Todd Gurley,Adam Thielen,Willie Snead,Robert Woods,David Njoku,Taylor Gabriel,Buffalo Bills,144.282,50000
22,Joe Flacco,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,David Njoku,Robert Woods,Indianapolis Colts,144.224,50000
23,Joe Flacco,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,David Njoku,Robert Woods,Buffalo Bills,144.214,49900
24,Joe Flacco,Nick Chubb,Todd Gurley,Adam Thielen,Willie Snead,Robert Woods,David Njoku,Tarik Cohen,New York Jets,144.174,49800
25,Jared Goff,Nick Chubb,Todd Gurley,Jermaine Kearse,Willie Snead,Robert Woods,David Njoku,Ezekiel Elliott,Buffalo Bills,143.984,49700
26,Joe Flacco,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Taylor Gabriel,Buffalo Bills,143.964,49700
27,Joe Flacco,Nick Chubb,Kerryon Johnson,Adam Thielen,Robert Woods,Taylor Gabriel,David Njoku,Todd Gurley,New York Jets,143.924,49900
28,Baker Mayfield,Nick Chubb,Todd Gurley,Jermaine Kearse,Willie Snead,Robert Woods,David Njoku,Ezekiel Elliott,Indianapolis Colts,143.912,49900
29,Baker Mayfield,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Willie Snead,Robert Woods,David Njoku,Ezekiel Elliott,Buffalo Bills,143.902,49800
30,Joe Flacco,Nick Chubb,Kerryon Johnson,Adam Thielen,Willie Snead,Robert Woods,David Njoku,Todd Gurley,Detroit Lions,143.88400000000001,49500
31,C.J. Beathard,Nick Chubb,Todd Gurley,Adam Thielen,Willie Snead,Taylor Gabriel,David Njoku,Ezekiel Elliott,New York Jets,143.858,49900
32,Baker Mayfield,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Marquise Goodwin,New York Jets,143.80200000000002,49800
33,Baker Mayfield,Nick Chubb,Todd Gurley,Adam Thielen,Willie Snead,Robert Woods,David Njoku,Marquise Goodwin,Buffalo Bills,143.722,49900
34,Baker Mayfield,Nick Chubb,Todd Gurley,Jermaine Kearse,Robert Woods,Taylor Gabriel,David Njoku,Ezekiel Elliott,Buffalo Bills,143.65200000000002,49600
35,C.J. Beathard,Nick Chubb,Kerryon Johnson,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Todd Gurley,Indianapolis Colts,143.558,49900
36,C.J. Beathard,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Tarik Cohen,Buffalo Bills,143.548,49500
37,Joe Flacco,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,David Njoku,Robert Woods,Detroit Lions,143.514,50000
38,Joe Flacco,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Marquise Goodwin,Buffalo Bills,143.404,49600
39,Joe Flacco,Nick Chubb,Kerryon Johnson,Adam Thielen,Robert Woods,Marquise Goodwin,David Njoku,Todd Gurley,New York Jets,143.364,49800
40,C.J. Beathard,Nick Chubb,Todd Gurley,Adam Thielen,Willie Snead,Marquise Goodwin,David Njoku,Ezekiel Elliott,New York Jets,143.298,49800
41,Jared Goff,Nick Chubb,Todd Gurley,Jermaine Kearse,Willie Snead,Robert Woods,David Njoku,Ezekiel Elliott,Detroit Lions,143.28400000000002,49800
42,Baker Mayfield,Nick Chubb,Todd Gurley,Adam Thielen,Willie Snead,Robert Woods,David Njoku,Taylor Gabriel,New York Jets,143.282,49800
43,Joe Flacco,Nick Chubb,Todd Gurley,Jermaine Kearse,Adam Thielen,Robert Woods,David Njoku,Taylor Gabriel,Detroit Lions,143.264,49800
44,Joe Flacco,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,David Njoku,Robert Woods,New York Jets,143.214,49700
45,Baker Mayfield,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Willie Snead,Robert Woods,David Njoku,Ezekiel Elliott,Detroit Lions,143.202,49900
46,Joe Flacco,Todd Gurley,Ezekiel Elliott,Jermaine Kearse,Willie Snead,Robert Woods,David Njoku,Tarik Cohen,Buffalo Bills,143.094,50000
47,Baker Mayfield,Nick Chubb,Todd Gurley,Jermaine Kearse,Robert Woods,Marquise Goodwin,David Njoku,Ezekiel Elliott,Buffalo Bills,143.092,49500
