,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
0,Jameis Winston (11456905),Nick Chubb (11457042),Duke Johnson Jr. (11457016),Golden Tate (11457158),Adam Thielen (11457140),Marvin Jones Jr. (11457184),David Njoku (11457402),Todd Gurley II (11456954),Panthers  (11457557),151.74399999999997,151.74399999999997
1,Matthew Stafford (11456911),Nick Chubb (11457042),Todd Gurley II (11456954),Jermaine Kearse (11457220),Golden Tate (11457158),Adam Thielen (11457140),David Njoku (11457402),Michael Crabtree (11457180),Panthers  (11457557),146.95399999999998,146.95399999999998
2,Joe Flacco (11456915),Nick Chubb (11457042),Kerryon Johnson (11456998),Adam Thielen (11457140),Marvin Jones Jr. (11457184),DeAndre Hopkins (11457154),Kyle Rudolph (11457404),Todd Gurley II (11456954),Buccaneers  (11457554),146.124,146.124
3,Jameis Winston (11456905),LeSean McCoy (11456974),Ezekiel Elliott (11456958),Jermaine Kearse (11457220),Adam Thielen (11457140),DeAndre Hopkins (11457154),David Njoku (11457402),Cole Beasley (11457228),Bills  (11457555),145.544,145.544
4,Kirk Cousins (11456904),Duke Johnson Jr. (11457016),LeSean McCoy (11456974),Jermaine Kearse (11457220),Adam Thielen (11457140),DeAndre Hopkins (11457154),Kyle Rudolph (11457404),Ezekiel Elliott (11456958),Buccaneers  (11457554),145.05800000000002,145.05800000000002
5,Jameis Winston (11456905),Kerryon Johnson (11456998),Ezekiel Elliott (11456958),Adam Thielen (11457140),Willie Snead IV (11457226),Marvin Jones Jr. (11457184),David Njoku (11457402),DeAndre Hopkins (11457154),Panthers  (11457557),144.684,144.684
6,Baker Mayfield (11456910),Duke Johnson Jr. (11457016),Todd Gurley II (11456954),Adam Thielen (11457140),Michael Crabtree (11457180),Keelan Cole (11457194),David Njoku (11457402),Eric Ebron (11457390),Bills  (11457555),144.312,144.312
7,Jameis Winston (11456905),Nick Chubb (11457042),LeSean McCoy (11456974),Adam Thielen (11457140),Cole Beasley (11457228),Kenny Golladay (11457168),Eric Ebron (11457390),Ezekiel Elliott (11456958),Buccaneers  (11457554),143.94400000000002,143.94400000000002
8,Joe Flacco (11456915),Todd Gurley II (11456954),LeSean McCoy (11456974),Jermaine Kearse (11457220),Adam Thielen (11457140),Michael Crabtree (11457180),David Njoku (11457402),Keelan Cole (11457194),Panthers  (11457557),143.584,143.584
9,Joe Flacco (11456915),Duke Johnson Jr. (11457016),Bilal Powell (11457010),Adam Thielen (11457140),Cole Beasley (11457228),Kenny Golladay (11457168),Eric Ebron (11457390),Todd Gurley II (11456954),Bills  (11457555),143.254,143.254
