,Player,Team,ATT_MAX,ATT_MIN,ATT_MID,CMP_MAX,CMP_MIN,CMP_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,INTS_MAX,INTS_MIN,INTS_MID,ATT.1_MAX,ATT.1_MIN,ATT.1_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Patrick Mahomes,KC,38.0,35.0,36.3,24.9,22.2,23.7,305.9,276.0,290.6,2.6,2.0,2.3,0.0,0.9,0.6,3.9,2.8,3.4,15.0,10.0,12.7,0.3,0.0,0.2,0.1,0.3,0.2,24.0,21.0,21.5,7,QB
1,Matt Ryan,ATL,38.4,35.6,37.0,26.4,23.0,24.3,313.0,284.1,297.4,2.5,2.0,2.2,0.6,1.0,0.7,2.9,1.0,2.1,10.9,5.0,7.9,0.2,0.0,0.1,0.1,0.2,0.2,23.2,19.2,20.2,7,QB
2,Jared Goff,LAR,41.0,34.0,36.1,28.0,20.8,23.5,300.0,276.2,290.0,2.6,2.0,2.2,0.0,0.9,0.5,3.0,1.0,2.2,10.4,4.0,6.7,0.1,0.0,0.1,0.1,0.2,0.1,23.5,19.3,20.1,7,QB
3,Jameis Winston,NO,47.0,37.0,39.7,27.0,23.2,24.7,322.0,284.3,301.2,2.1,1.6,2.0,0.0,1.4,0.9,3.2,1.0,2.6,14.3,5.0,10.8,0.2,0.0,0.1,0.2,0.4,0.3,24.0,17.7,19.1,7,QB
4,Kirk Cousins,MIN,40.9,35.0,38.5,27.4,21.0,25.3,307.0,275.0,291.4,2.0,1.8,1.9,0.7,1.0,0.8,3.5,2.0,2.8,12.4,5.6,9.5,0.3,0.0,0.1,0.2,0.4,0.3,22.8,18.3,18.7,7,QB
5,Carson Wentz,PHI,39.0,35.4,37.3,24.1,22.7,23.4,275.0,251.8,265.6,2.0,1.8,1.9,0.0,1.0,0.6,3.8,2.8,3.3,17.1,14.0,15.5,0.1,0.0,0.1,0.1,0.4,0.3,23.0,18.0,18.6,7,QB
6,Andy Dalton,DAL,42.0,35.1,39.5,27.0,22.4,25.0,309.0,276.0,292.7,2.2,1.9,2.0,0.9,1.1,1.0,2.3,1.8,2.0,10.0,5.7,7.9,0.1,0.0,0.1,0.2,0.2,0.2,23.5,17.9,18.5,7,QB
7,Joe Flacco,NYJ,40.7,36.0,38.7,26.6,23.1,24.7,291.7,270.0,278.9,2.1,1.6,1.8,0.0,0.9,0.6,3.0,1.0,2.1,13.4,3.9,6.3,0.2,0.0,0.1,0.2,0.3,0.2,22.3,16.8,17.9,7,QB
8,Cam Newton,NE,39.0,32.5,34.8,24.0,19.3,21.0,269.0,228.9,244.6,2.0,1.1,1.4,0.8,1.1,1.0,8.2,5.9,7.2,41.1,27.0,35.9,0.4,0.0,0.2,0.2,0.3,0.3,24.5,17.6,17.9,7,QB
9,Tom Brady,TB,45.0,36.2,39.0,31.0,23.2,25.5,310.0,265.6,284.1,2.3,1.6,1.9,0.0,1.0,0.6,3.2,0.0,1.7,13.7,0.0,4.0,0.1,0.0,0.1,0.2,0.3,0.2,23.5,15.8,17.8,7,QB
10,Philip Rivers,IND,38.0,33.3,35.6,26.0,21.7,23.7,305.6,255.3,278.8,2.2,1.7,1.9,0.0,0.9,0.5,1.8,0.0,1.2,3.5,0.0,1.8,0.1,0.0,0.0,0.0,0.2,0.1,22.3,16.2,17.8,7,QB
11,Baker Mayfield,CLE,40.0,37.8,38.8,26.1,22.8,24.5,316.0,266.4,288.9,2.0,1.4,1.7,0.7,1.0,0.9,3.5,2.0,2.6,15.0,9.0,11.4,0.1,0.0,0.1,0.1,0.3,0.2,23.0,17.1,17.5,7,QB
12,Blake Bortles,LAR,37.6,29.0,35.0,23.0,18.0,21.6,268.0,233.4,250.9,2.0,1.6,1.7,0.9,1.1,1.0,4.5,4.0,4.2,29.5,19.6,23.3,0.2,0.0,0.1,0.2,0.3,0.2,22.3,17.1,17.4,7,QB
13,Matthew Stafford,DET,45.3,38.0,40.2,27.0,24.8,25.9,308.0,270.0,292.2,2.2,1.7,1.9,0.9,2.0,1.2,5.0,1.7,2.5,10.0,4.9,7.4,0.1,0.0,0.0,0.0,0.2,0.1,22.5,16.6,17.4,7,QB
14,Mitchell Trubisky,CHI,37.0,30.2,33.4,24.0,20.1,21.6,268.0,235.0,248.6,1.9,1.0,1.5,0.7,1.0,0.8,7.0,3.3,4.5,35.0,15.0,23.7,0.2,0.0,0.1,0.2,0.2,0.2,19.3,17.2,17.1,7,QB
15,Drew Brees,NO,41.1,36.7,38.5,27.0,25.2,25.9,300.2,269.0,282.9,2.1,1.4,1.7,0.5,1.0,0.8,2.2,0.0,1.3,7.3,0.0,2.4,0.1,0.0,0.1,0.2,0.2,0.2,21.8,16.3,16.9,7,QB
16,Deshaun Watson,HOU,39.2,33.0,35.3,23.5,19.9,21.5,268.2,232.0,256.1,1.6,1.0,1.3,1.0,1.9,1.2,7.0,4.6,5.9,37.5,23.0,30.5,0.3,0.0,0.1,0.2,0.4,0.3,20.5,16.1,16.1,7,QB
17,Dak Prescott,DAL,34.0,26.6,29.8,22.0,15.2,18.8,235.0,179.2,211.2,1.4,1.0,1.3,0.6,1.0,0.8,9.0,4.2,6.0,53.9,22.0,32.3,0.3,0.0,0.2,0.3,0.3,0.3,18.0,16.0,15.8,7,QB
18,Alex Smith,WAS,36.0,31.0,33.2,24.0,20.1,21.8,257.0,228.4,240.8,1.3,1.0,1.2,0.0,1.0,0.5,5.2,3.0,4.3,24.4,12.5,18.9,0.3,0.0,0.2,0.3,0.4,0.4,18.0,15.8,15.3,7,QB
19,CJ Beathard,SF,39.0,33.0,35.6,23.0,19.9,21.3,264.0,237.7,250.4,2.0,1.3,1.5,1.0,2.0,1.4,4.1,2.0,3.1,18.9,10.0,13.5,0.4,0.0,0.2,0.3,0.4,0.3,22.0,15.1,15.0,7,QB
20,Case Keenum,CLE,41.3,32.0,36.9,26.1,20.0,23.5,284.0,240.0,264.7,1.5,1.0,1.3,0.9,1.1,1.0,3.0,0.0,1.3,15.3,0.0,5.7,0.2,0.0,0.1,0.2,0.3,0.2,16.9,14.8,14.5,7,QB
21,Marcus Mariota,LV,36.0,27.0,31.3,22.0,17.0,19.0,253.0,205.0,220.4,1.3,1.0,1.1,0.7,1.2,1.0,4.5,3.9,4.2,28.0,17.0,22.2,0.2,0.0,0.1,0.2,0.3,0.2,16.3,13.6,13.9,7,QB
22,Sam Darnold,NYJ,34.0,31.0,32.3,20.0,18.6,19.3,246.0,220.9,233.5,1.8,1.0,1.4,0.7,1.7,1.1,2.8,1.0,2.1,9.2,3.4,6.1,0.1,0.0,0.1,0.2,0.3,0.2,16.3,11.3,13.2,7,QB
