Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Todd Gurley II (11456954),Todd Gurley II,11456954,RB/FLEX,9800,LAR@SF 10/21/2018 04:25PM ET,LAR,31
WR,Adam Thielen (11457140),Adam Thielen,11457140,WR/FLEX,8600,MIN@NYJ 10/21/2018 01:00PM ET,MIN,28.53
RB,Alvin Kamara (11456956),Alvin Kamara,11456956,RB/FLEX,8500,NO@BAL 10/21/2018 04:05PM ET,NO,30.4
RB,Ezekiel Elliott (11456958),Ezekiel Elliott,11456958,RB/FLEX,8100,DAL@WAS 10/21/2018 04:25PM ET,DAL,21.7
WR,Michael Thomas (11457142),Michael Thomas,11457142,WR/FLEX,7900,NO@BAL 10/21/2018 04:05PM ET,NO,23.98
WR,Mike Evans (11457144),Mike Evans,11457144,WR/FLEX,7700,CLE@TB 10/21/2018 01:00PM ET,TB,20.88
RB,Christian McCaffrey (11456960),Christian McCaffrey,11456960,RB/FLEX,7700,CAR@PHI 10/21/2018 01:00PM ET,CAR,20.74
WR,Jarvis Landry (11457146),Jarvis Landry,11457146,WR/FLEX,7300,CLE@TB 10/21/2018 01:00PM ET,CLE,14.03
WR,Stefon Diggs (11457148),Stefon Diggs,11457148,WR/FLEX,7200,MIN@NYJ 10/21/2018 01:00PM ET,MIN,18.97
TE,Zach Ertz (11457386),Zach Ertz,11457386,TE/FLEX,7100,CAR@PHI 10/21/2018 01:00PM ET,PHI,19
WR,Brandin Cooks (11457150),Brandin Cooks,11457150,WR/FLEX,7100,LAR@SF 10/21/2018 04:25PM ET,LAR,15.35
WR,Robert Woods (11457152),Robert Woods,11457152,WR/FLEX,7000,LAR@SF 10/21/2018 04:25PM ET,LAR,20.63
RB,James White (11456962),James White,11456962,RB/FLEX,6900,NE@CHI 10/21/2018 01:00PM ET,NE,19.03
WR,DeAndre Hopkins (11457154),DeAndre Hopkins,11457154,WR/FLEX,6900,HOU@JAX 10/21/2018 01:00PM ET,HOU,22.5
WR,Julian Edelman (11457156),Julian Edelman,11457156,WR/FLEX,6600,NE@CHI 10/21/2018 01:00PM ET,NE,14.4
QB,Jared Goff (11456903),Jared Goff,11456903,QB,6600,LAR@SF 10/21/2018 04:25PM ET,LAR,23.20
QB,Kirk Cousins (11456904),Kirk Cousins,11456904,QB,6400,MIN@NYJ 10/21/2018 01:00PM ET,MIN,24.06
WR,Golden Tate (11457158),Golden Tate,11457158,WR/FLEX,6400,DET@MIA 10/21/2018 01:00PM ET,DET,20.2
RB,T.J. Yeldon (11456964),T.J. Yeldon,11456964,RB/FLEX,6400,HOU@JAX 10/21/2018 01:00PM ET,JAX,16.7
QB,Jameis Winston (11456905),Jameis Winston,11456905,QB,6300,CLE@TB 10/21/2018 01:00PM ET,TB,22.1
WR,Alshon Jeffery (11457160),Alshon Jeffery,11457160,WR/FLEX,6300,CAR@PHI 10/21/2018 01:00PM ET,PHI,20.27
QB,Andrew Luck (11456906),Andrew Luck,11456906,QB,6200,BUF@IND 10/21/2018 01:00PM ET,IND,24.45
WR,T.Y. Hilton (11457162),T.Y. Hilton,11457162,WR/FLEX,6200,BUF@IND 10/21/2018 01:00PM ET,IND,16.35
WR,Cooper Kupp (11457164),Cooper Kupp,11457164,WR/FLEX,6200,LAR@SF 10/21/2018 04:25PM ET,LAR,18.22
QB,Tom Brady (11456907),Tom Brady,11456907,QB,6100,NE@CHI 10/21/2018 01:00PM ET,NE,21.24
