Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Taysom Hill,NO,QB,4800.0,Taysom Hill (15783312),5.05,15.776,19.634,25.810000000000002,14.276,18.534,25.01,15.276,19.334,25.710000000000004,304.25963488843814,244.4738718549455,185.97442851607903,9,5,1,1,1,6
Joe Burrow,CIN,QB,5500.0,Joe Burrow (15783293),20.6,17.064,20.557000000000002,23.56,14.884,18.092,21.160000000000004,15.884,18.892,21.76,322.3159868729489,267.548766843411,233.446519524618,7,4,2,2,2,6
Justin Herbert,LAC,QB,6800.0,Justin Herbert (15783279),26.24,19.016999999999996,24.915,31.05,16.651999999999997,21.74,27.250000000000004,17.651999999999997,22.54,27.950000000000003,357.57480149340074,272.92795504716037,219.00161030595814,1,1,3,2,1,3
Deshaun Watson,HOU,QB,6500.0,Deshaun Watson (15783282),23.32,19.909999999999997,23.404,26.990000000000002,17.360000000000003,20.674,24.04,18.46,21.574,24.740000000000002,326.4691109994978,277.73030251239106,240.82993701370876,2,2,4,2,2,4
Alex Smith,WAS,QB,5300.0,Alex Smith (15783298),12.53,13.979000000000001,18.68,22.049999999999997,12.224,16.830000000000002,19.95,13.124,17.330000000000002,19.95,379.1401387795979,283.7259100642398,240.36281179138325,12,5,5,2,2,7
Ben Roethlisberger,PIT,QB,6700.0,Ben Roethlisberger (15783280),20.79,17.842000000000006,22.969,28.0,15.552000000000001,20.214000000000002,25.05,16.452000000000005,20.714000000000002,25.05,375.5184396368119,291.6975053332753,239.28571428571428,3,2,6,3,2,5
Matt Ryan,ATL,QB,6300.0,Matt Ryan (15783284),20.85,18.910000000000004,21.471,24.578000000000003,15.860000000000001,18.126000000000005,21.478000000000005,16.760000000000005,18.726000000000003,21.478000000000005,333.1570597567424,293.41903031996645,256.3267963219139,5,3,7,3,3,6
Carson Wentz,PHI,QB,5700.0,Carson Wentz (15783291),19.92,16.470000000000006,19.378999999999998,22.843,14.720000000000002,17.523999999999997,20.858000000000004,15.820000000000004,18.424,21.558000000000003,346.0837887067394,294.1328241911348,249.52939631396927,11,5,8,3,3,8
Matthew Stafford,DET,QB,6000.0,Matthew Stafford (15783288),19.09,17.28,19.631,22.805,15.330000000000002,17.286,19.880000000000003,16.330000000000002,17.986,20.48,347.2222222222222,305.6390402934135,263.100197325148,10,5,9,4,4,9
Cam Newton,NE,QB,6200.0,Cam Newton (15783286),20.06,15.460000000000003,20.061999999999998,26.576,14.260000000000002,19.162000000000003,25.876,15.260000000000002,19.962,26.476000000000003,401.0349288486416,309.0419698933307,233.2931968693558,8,5,10,4,4,9
Andy Dalton,DAL,QB,5300.0,Andy Dalton (15783296),5.02,12.02,16.894,21.130999999999997,10.32,14.914,18.736,11.520000000000001,15.914,19.536,440.9317803660566,313.72084763821476,250.8163361885382,16,6,11,4,4,10
Philip Rivers,IND,QB,5600.0,Philip Rivers (15783292),15.73,14.869,17.674999999999997,19.77,12.964,15.5,17.62,13.964,16.400000000000002,18.32,376.62250319456587,316.8316831683169,283.2574607991907,13,6,12,5,5,11
Lamar Jackson,BAL,QB,7300.0,Lamar Jackson (15783277),21.32,17.96,22.53,26.609999999999996,16.66,21.430000000000003,25.71,17.66,22.23,26.31,406.45879732739417,324.01242787394585,274.3329575347614,4,2,13,5,2,7
Aaron Rodgers,GB,QB,7000.0,Aaron Rodgers (15783278),25.34,18.114999999999995,21.136,23.418,16.19,18.916,21.058,16.79,19.316000000000003,21.058,386.42009384488006,331.1884935654807,298.9153642497225,6,3,14,6,3,9
