,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
0,RB,Christian McCaffrey (15783338),Christian McCaffrey,15783338.0,RB/FLEX,9400.0,DET@CAR 11/22/2020 01:00PM ET,CAR,30.13
1,RB,Alvin Kamara (15783340),Alvin Kamara,15783340.0,RB/FLEX,9200.0,ATL@NO 11/22/2020 01:00PM ET,NO,27.71
2,RB,Dalvin Cook (15783342),Dalvin Cook,15783342.0,RB/FLEX,9000.0,DAL@MIN 11/22/2020 04:25PM ET,MIN,28.66
3,WR,Davante Adams (15783560),Davante Adams,15783560.0,WR/FLEX,8600.0,GB@IND 11/22/2020 04:25PM ET,GB,28.16
4,RB,Derrick Henry (15783344),Derrick Henry,15783344.0,RB/FLEX,8000.0,TEN@BAL 11/22/2020 01:00PM ET,TEN,19.7
5,WR,Julio Jones (15783562),Julio Jones,15783562.0,WR/FLEX,7500.0,ATL@NO 11/22/2020 01:00PM ET,ATL,19.11
6,WR,Keenan Allen (15783564),Keenan Allen,15783564.0,WR/FLEX,7400.0,NYJ@LAC 11/22/2020 04:05PM ET,LAC,19.11
7,WR,Michael Thomas (15783566),Michael Thomas,15783566.0,WR/FLEX,7300.0,ATL@NO 11/22/2020 01:00PM ET,NO,6.5
8,QB,Lamar Jackson (15783277),Lamar Jackson,15783277.0,QB,7300.0,TEN@BAL 11/22/2020 01:00PM ET,BAL,21.32
9,RB,Aaron Jones (15783346),Aaron Jones,15783346.0,RB/FLEX,7200.0,GB@IND 11/22/2020 04:25PM ET,GB,20.77
10,WR,A.J. Brown (15783568),AJ Brown,15783568.0,WR/FLEX,7200.0,TEN@BAL 11/22/2020 01:00PM ET,TEN,17.4
11,WR,Calvin Ridley (15783570),Calvin Ridley,15783570.0,WR/FLEX,7000.0,ATL@NO 11/22/2020 01:00PM ET,ATL,20.01
12,RB,Nick Chubb (15783348),Nick Chubb,15783348.0,RB/FLEX,7000.0,PHI@CLE 11/22/2020 01:00PM ET,CLE,17.76
13,QB,Aaron Rodgers (15783278),Aaron Rodgers,15783278.0,QB,7000.0,GB@IND 11/22/2020 04:25PM ET,GB,25.34
14,RB,Miles Sanders (15783350),Miles Sanders,15783350.0,RB/FLEX,6900.0,PHI@CLE 11/22/2020 01:00PM ET,PHI,16.33
15,WR,Terry McLaurin (15783572),Terry McLaurin,15783572.0,WR/FLEX,6900.0,CIN@WAS 11/22/2020 01:00PM ET,WAS,18.3
16,RB,Mike Davis (15783352),Mike Davis,15783352.0,RB/FLEX,6800.0,DET@CAR 11/22/2020 01:00PM ET,CAR,13.75
17,QB,Justin Herbert (15783279),Justin Herbert,15783279.0,QB,6800.0,NYJ@LAC 11/22/2020 04:05PM ET,LAC,26.24
18,RB,Kareem Hunt (15783354),Kareem Hunt,15783354.0,RB/FLEX,6700.0,PHI@CLE 11/22/2020 01:00PM ET,CLE,15.93
19,QB,Ben Roethlisberger (15783280),Ben Roethlisberger,15783280.0,QB,6700.0,PIT@JAX 11/22/2020 01:00PM ET,PIT,20.79
20,QB,Drew Brees (15783281),Drew Brees,15783281.0,QB,6600.0,ATL@NO 11/22/2020 01:00PM ET,NO,19.22
21,RB,James Conner (15783356),James Conner,15783356.0,RB/FLEX,6600.0,PIT@JAX 11/22/2020 01:00PM ET,PIT,14.46
