,Player,SACK_MAX,SACK_MIN,SACK_MID,INT_MAX,INT_MIN,INT_MID,FR_MAX,FR_MIN,FR_MID,FF_MAX,FF_MIN,FF_MID,TD_MAX,TD_MIN,TD_MID,SAFETY_MAX,SAFETY_MIN,SAFETY_MID,PA_MAX,PA_MIN,PA_MID,YDS AGN_MAX,YDS AGN_MIN,YDS AGN_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
0,Steelers,4.5,2.9,3.5,1.1,0.9,1.0,1.0,0.4,0.7,1.3,0.8,1.0,0.2,0.0,0.2,0.1,0.0,0.0,19.3,14.9,17.1,269.0,345.2,310.0,9.7,6.7,8.8,11,DST
1,Vikings,3.2,2.3,2.6,1.2,0.7,0.9,1.1,0.4,0.6,1.5,0.6,0.9,0.2,0.0,0.2,0.1,0.0,0.0,23.4,16.1,20.0,347.9,370.0,355.3,8.1,6.4,7.6,11,DST
2,Chargers,3.6,2.2,2.7,1.4,0.7,1.0,0.5,0.3,0.5,0.6,0.5,0.6,0.2,0.1,0.2,0.0,0.0,0.0,18.9,15.5,17.4,278.0,319.6,304.2,8.2,5.1,7.6,11,DST
3,Browns,3.3,2.5,3.0,1.2,0.7,1.0,0.9,0.6,0.7,1.3,0.9,1.1,0.2,0.1,0.2,0.0,0.0,0.0,22.5,20.6,21.6,332.2,354.9,343.0,8.4,6.6,7.4,11,DST
4,Team,4.5,2.6,3.3,1.5,0.7,0.9,0.8,0.5,0.7,1.5,0.9,1.2,0.2,0.0,0.1,0.1,0.0,0.0,23.5,20.3,22.3,330.0,366.2,346.7,8.9,6.6,7.4,11,DST
5,Dolphins,2.6,2.1,2.3,1.6,0.8,1.2,0.7,0.5,0.6,1.1,0.8,1.0,0.3,0.1,0.2,0.1,0.0,0.0,22.1,20.3,20.9,331.0,357.5,343.1,8.1,6.9,7.2,11,DST
6,Patriots,3.3,2.4,2.7,1.1,0.7,0.9,0.7,0.4,0.5,1.0,0.6,0.8,0.2,0.0,0.1,0.1,0.0,0.0,23.8,19.3,21.4,368.3,372.0,370.3,8.1,5.7,6.5,11,DST
7,Buccaneers,3.1,2.0,2.3,1.0,0.7,0.9,0.9,0.4,0.7,1.2,1.0,1.1,0.2,0.1,0.2,0.0,0.0,0.0,23.2,21.1,22.4,335.0,372.2,351.0,7.1,6.1,6.4,11,DST
8,Cardinals,3.2,2.5,2.9,1.0,0.7,0.8,0.6,0.3,0.5,1.0,0.5,0.8,0.2,0.0,0.1,0.1,0.0,0.1,29.8,24.1,27.2,366.0,392.0,380.9,6.8,5.2,6.4,11,DST
9,Saints,3.3,2.4,2.7,0.9,0.6,0.8,0.7,0.5,0.6,1.0,0.7,0.8,0.2,0.0,0.2,0.0,0.0,0.0,23.5,20.4,22.2,346.0,379.9,365.9,7.1,6.0,6.3,11,DST
10,Bengals,3.1,2.3,2.7,1.0,0.5,0.8,0.7,0.3,0.5,0.9,0.5,0.6,0.2,0.1,0.2,0.1,0.0,0.1,24.5,20.1,23.0,316.0,368.4,343.9,6.9,5.8,6.2,11,DST
11,Rams,3.3,1.9,2.5,1.0,0.5,0.8,0.9,0.5,0.6,1.3,0.7,0.9,0.2,0.0,0.1,0.1,0.0,0.1,26.3,21.7,24.1,324.0,357.9,346.1,7.6,4.9,6.1,11,DST
12,Eagles,3.2,1.9,2.3,1.0,0.8,0.9,0.7,0.3,0.6,0.9,0.8,0.9,0.2,0.1,0.2,0.0,0.0,0.0,25.5,20.8,24.0,320.1,340.6,333.2,6.6,5.4,6.1,11,DST
