,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
38,Ryan Izzo,NE,1.5,1.2,1.3,20.8,14.0,17.4,0.2,0.0,0.1,0.0,0.1,0.0,2.6,1.8,2.1,11,TE
39,Chris Herndon,NYJ,2.3,1.0,1.7,25.7,14.5,17.7,0.1,0.0,0.1,0.0,0.2,0.1,2.3,1.6,2.0,11,TE
40,Adam Shaheen,MIA,1.8,0.9,1.2,18.0,9.1,12.3,0.2,0.1,0.1,0.0,0.0,0.0,2.8,1.4,2.0,11,TE
41,Cameron Brate,TB,2.3,0.9,1.4,24.9,8.3,13.7,0.1,0.1,0.1,0.0,0.0,0.0,2.1,1.4,1.9,11,TE
42,Jesse James,DET,1.8,0.6,1.4,19.7,6.6,14.7,0.1,0.0,0.1,0.0,0.0,0.0,2.6,1.0,1.9,11,TE
43,Will Dissly,SEA,1.8,0.6,1.1,23.3,6.6,14.2,0.2,0.0,0.1,0.0,0.0,0.0,2.5,1.2,1.9,11,TE
44,Virgil Green,LAC,1.9,0.1,1.0,22.6,0.5,11.6,0.3,0.0,0.2,0.1,0.1,0.1,4.1,0.1,1.9,11,TE
45,Donald Parham,LAC,1.8,0.7,1.1,19.5,8.9,13.3,0.1,0.0,0.1,0.0,0.0,0.0,1.9,1.5,1.8,11,TE
46,Ryan Griffin,NYJ,1.9,1.1,1.4,19.2,10.3,13.2,0.1,0.0,0.1,0.0,0.0,0.0,1.9,1.5,1.8,11,TE
47,Foster Moreau,LV,1.8,0.8,1.2,17.3,8.6,12.0,0.2,0.0,0.1,0.0,0.0,0.0,2.2,1.4,1.8,11,TE
48,Troy Fumagalli,DEN,1.4,1.3,1.3,14.6,14.1,14.3,0.1,0.0,0.1,0.0,0.0,0.0,2.1,2.1,1.7,11,TE
49,Sean Culkin,BAL,1.2,1.2,1.2,13.3,12.9,13.1,0.1,0.0,0.1,0.0,0.0,0.0,2.0,2.0,1.6,11,TE
50,Maxx Williams,ARI,2.0,0.8,1.2,18.1,7.4,11.8,0.1,0.0,0.1,0.0,0.0,0.0,1.8,1.1,1.6,11,TE
51,Vance McDonald,PIT,1.9,0.6,1.2,18.5,5.3,12.4,0.1,0.0,0.1,0.0,0.0,0.0,2.5,0.9,1.6,11,TE
52,Ben Ellefson,JAC,1.3,1.2,1.2,13.6,13.5,13.5,0.1,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.5,11,TE
53,Jason Witten,LV,2.1,0.7,1.2,18.4,5.3,10.5,0.1,0.0,0.1,0.0,0.0,0.0,1.7,1.1,1.5,11,TE
54,Tyler Conklin,MIN,1.7,0.6,1.1,16.1,5.7,10.5,0.1,0.0,0.1,0.0,0.0,0.0,1.6,1.2,1.4,11,TE
55,Marcedes Lewis,GB,1.6,0.4,1.0,16.9,4.4,9.6,0.2,0.0,0.1,0.0,0.0,0.0,2.2,0.7,1.4,11,TE
56,Gabe Nabers,LAC,1.3,1.3,1.3,14.1,14.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,11,TE
57,Jace Sternberger,GB,1.7,0.6,1.0,18.7,6.0,10.2,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.8,1.4,11,TE
58,Farrod Green,IND,0.7,0.7,0.7,7.4,7.4,7.4,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.3,11,TE
59,Brycen Hopkins,LAR,0.7,0.7,0.7,7.3,7.3,7.3,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.3,11,TE
60,Hunter Bryant,DET,0.7,0.7,0.7,7.2,7.2,7.2,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.3,11,TE
61,Pharaoh Brown,HOU,1.6,0.6,0.9,17.9,6.2,9.8,0.1,0.0,0.1,0.0,0.0,0.0,1.3,1.0,1.3,11,TE
62,Jason Croom,PHI,0.7,0.7,0.7,7.1,7.1,7.1,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.3,11,TE
63,Caleb Wilson,PHI,0.7,0.7,0.7,6.9,6.9,6.9,0.1,0.1,0.1,0.0,0.0,0.0,1.3,1.3,1.3,11,TE
64,Xavier Grimble,BAL,1.3,1.3,1.3,13.9,13.9,13.9,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.3,11,TE
65,Luke Willson,BAL,1.5,0.7,1.1,12.6,6.7,9.7,0.1,0.0,0.1,0.0,0.0,0.0,1.3,1.3,1.3,11,TE
66,Chris Manhertz,CAR,1.3,0.3,0.8,15.3,3.4,8.8,0.1,0.0,0.0,0.0,0.0,0.0,1.4,0.5,1.1,11,TE
67,Adam Trautman,NO,1.6,0.1,0.8,18.0,0.8,8.5,0.1,0.0,0.0,0.0,0.0,0.0,1.4,0.1,1.1,11,TE
68,Colin Thompson,CAR,1.3,0.4,0.8,13.8,4.2,8.6,0.1,0.0,0.0,0.0,0.0,0.0,1.4,0.6,1.1,11,TE
69,Andrew Beck,DEN,0.4,0.4,0.4,5.0,5.0,5.0,0.1,0.1,0.1,0.0,0.0,0.0,1.1,1.1,1.1,11,TE
70,Nick Keizer,KC,1.6,0.3,0.9,17.1,2.7,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.1,11,TE
71,Nick Vannett,DEN,1.6,0.6,1.0,15.0,5.2,9.3,0.1,0.0,0.0,0.0,0.0,0.0,1.1,0.5,1.0,11,TE
72,Mason Schreck,CIN,1.0,1.0,1.0,10.6,10.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,TE
73,Cethan Carter,CIN,1.2,0.5,0.9,13.5,4.7,9.1,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,11,TE
74,Blake Bell,DAL,1.4,0.6,1.0,14.7,6.2,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,1.0,11,TE
75,Jake Butt,DEN,0.6,0.6,0.6,6.5,6.5,6.5,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,11,TE
76,Zach Gentry,PIT,1.2,0.1,0.7,13.0,0.5,7.0,0.1,0.0,0.0,0.0,0.0,0.0,1.4,0.1,0.9,11,TE
77,Jeremy Sprinkle,WAS,1.5,0.1,0.7,13.2,0.9,6.9,0.1,0.0,0.0,0.0,0.0,0.0,1.3,0.1,0.9,11,TE
78,Temarrick Hemingway,WAS,1.2,0.1,0.6,13.2,0.6,7.0,0.1,0.0,0.0,0.0,0.0,0.0,1.3,0.1,0.9,11,TE
79,Ricky Seals-Jones,KC,0.8,0.1,0.4,10.9,0.5,5.7,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.1,0.9,11,TE
80,Isaac Nauta,DET,1.2,0.3,0.7,13.7,2.8,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.9,11,TE
81,Geoff Swaim,TEN,1.6,0.2,0.9,13.3,2.2,7.4,0.1,0.0,0.0,0.0,0.0,0.0,1.3,0.3,0.9,11,TE
82,Jordan Thomas,NE,0.6,0.0,0.4,6.3,0.5,4.3,0.2,0.0,0.1,0.0,0.0,0.0,1.8,0.1,0.8,11,TE
83,Jakob Johnson,NE,0.4,0.4,0.4,2.0,2.0,2.0,0.1,0.1,0.1,0.0,0.0,0.0,0.8,0.8,0.8,11,TE
84,Jaeden Graham,ATL,0.8,0.1,0.5,9.8,0.5,6.1,0.1,0.0,0.0,0.0,0.0,0.0,1.6,0.1,0.8,11,TE
85,Luke Stocker,ATL,1.6,0.3,0.9,13.4,2.1,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.8,11,TE
86,Evan Baylis,ARI,0.7,0.2,0.4,7.0,2.1,4.6,0.1,0.0,0.1,0.0,0.0,0.0,1.3,1.3,0.8,11,TE
87,Tanner Hudson,TB,1.3,0.1,0.7,13.9,0.5,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,11,TE
88,Deon Yelder,KC,1.2,0.2,0.6,13.6,1.6,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,11,TE
89,Johnny Mundt,LAR,1.2,0.0,0.6,12.8,0.2,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,11,TE
